Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|*Mmmrrrrnnn*...
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|Tu sais, Charon, il paraît qu'Hermès, ton associé, a parié que je finirais un jour par te battre deux fois de suite, c'est vrai ? Je n'aimerais vraiment pas le décevoir, alors... sans rancune ?
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|*Nnnrrrraaaaaarrgggghhh *!!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|*Haaahhhhh*...
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|*Euh*, écoute, Charon, je peux tout expliquer. C'est juste que j'ai pris l'habitude de ramasser tout ce que je trouve dans le royaume de mon père. Je ne cherchais pas à te voler quoi que ce soit, je te jure !
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|Ce n'était pas un bruit de compréhension. Attends, pourquoi est-ce que tu brandis ta rame d'un air aussi menaçant ?
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Tu me testes, Charon, pas vrai ? Je veux dire, quand tu places un grand sac rempli d'argent bien en évidence sur mon chemin, à quoi tu t'attends, franchement ?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|Nrrnnhhh, hnnnn, hrrnn, *hrrrrrnnn*...
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Je vois, l'ami... eh bien, la prochaine fois que je te volerai quelque chose, ce sera juste ma façon de dire *« Charon, je souhaite me battre contre toi jusqu'à la mort, histoire de pimenter un peu les choses »*.
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|*Hrrrnnnggghh*...
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|*Grrnrnhh, rrraahhh *!
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|*Hrraaaahhhhhh *!!
BossCharonMiscStart04|Boss Charon Misc Start 04|Charon|Hrrn... *grrraaarrrggghh *!!
BossCharonMiscStart05|Boss Charon Misc Start 05|Charon|Rrnn... *hhrraaaarrrggghh *!!
BossCharonMiscStart06|Boss Charon Misc Start 06|Charon|Grrr... *nrrraarrrggghhh *!!
BossCharonMiscStart07|Boss Charon Misc Start 07|Charon|Urrh... *urraaarrrggghh *!!
BossCharonMiscStart08|Boss Charon Misc Start 08|Charon|Krrr... *krraarrrggghh *!!
BossCharonMiscStart09|Boss Charon Misc Start 09|Charon|Hhh, *hrreehhhhh *!!
BossCharonOutro01|Boss Charon Outro 01|Charon|Haahh, nrraugh, *haaaaah *!!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Zagreus|Je t'ai battu, l'ami ! Deux fois de suite. J'imagine qu'Hermès gagne son petit pari contre toi avec ça. Dis-lui *hrrrrrnnnggghh *de ma part !
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Charon|*Hrrrrrnnnggghh*...
CharonFirstMeeting|Charon First Meeting|Charon|*Ggeuhhhhhh*...
CharonFirstMeeting|Charon First Meeting|Zagreus|Ça alors, quelle coïncidence, cher Charon ! Je faisais juste une petite promenade, histoire de me détendre un peu, je ne... tiens, mais qu’est-ce que c'est que tout ça, tu as des choses à vendre ? Dans ce cas, je vais jeter un petit coup d’œil.
CharonNoFastTravel01|Charon No Fast Travel 01|Zagreus|*Euh*, Charon...? Tu as pensé à réfléchir à ma proposition de... tu sais, de m'emmener avec toi à la surface, par hasard ? Étant donné que c’est sur ton chemin.
CharonNoFastTravel01|Charon No Fast Travel 01|Charon|*Rhhuuaaarrggghhh*...
CharonShopMeeting02|Charon Shop Meeting 02|Zagreus|Content de vous voir, l’ami ! J’ai l’impression que vous vendez des objets intéressants, n’est-ce pas ?
CharonShopMeeting02|Charon Shop Meeting 02|Charon|*Urrrnn*gghhhhh...
CharonShopMeeting03|Charon Shop Meeting 03|Charon|*Haaahhhhhhhhh*...
CharonShopMeeting03|Charon Shop Meeting 03|Zagreus|Bonne journée à vous aussi, l’ami ! Jetons un petit coup d’œil à ce que vous avez.
CharonShopMeeting04|Charon Shop Meeting 04|Zagreus|Vous devez faire des arrêts fréquents dans les environs, hein, Charon ? La plupart des morts sont ici, dans l’Asphodèle, n’est-ce pas ?
CharonShopMeeting04|Charon Shop Meeting 04|Charon|Nnnnrrrrrhhh...
CharonShopMeeting05|Charon Shop Meeting 05|Zagreus|Charon, je suis dans l’Asphodèle ici, c’est ça ? J’ai toujours entendu dire que c’était une prairie recouverte de fleurs, plutôt que... ce paysage terrifiant.
CharonShopMeeting05|Charon Shop Meeting 05|Charon|Hhhhaaaaaaahhh...
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Zagreus|Salut, Charon. Dis, si quelque chose de vraiment horrible m’attend de l’autre côté de cette porte... fais-moi signe, d’accord ?
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Charon|Hhhaaaaaaahhh...
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Zagreus|Vous pouvez me renseigner sur les monstres que je vais rencontrer sur la prochaine île infernale, Charon ?
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Charon|*Hheeehhhhhhh*...
CharonHighRelationship01|Charon High Relationship 01|Zagreus|Eh bien, Charon, vous m'avez l'air dans une forme... olympique ! Quelque chose a changé, en vous, mais je ne sais pas quoi. Peut-être votre coupe de cheveux ?
CharonHighRelationship01|Charon High Relationship 01|Charon|*Urrraaarrhggghh*...
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Zagreus|Charon, vous ne m'en voulez pas, pour notre dernière dispute ? Comme vous m'avez donné une de vos Cartes de fidélité, je me dis que tout doit bien aller, mais... sait-on jamais...
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Charon|Krrr, *krraarrrggghhhh * !
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Zagreus|Sans rancune pour le combat à mort de la dernière fois, hein Charon ? Surtout que vous m'avez totalement anéanti. Moi, je vous taquinais juste, n'est-ce pas ?
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Charon|Nrraaarrrggghhh...!
CharonAboutHermes01|Charon About Hermes 01|Zagreus|Salut, Charon ! J’ai enfin rencontré Hermès, le dieu de la célérité et des voyages, qui amène les âmes des morts à votre barque. Il vous considère comme son associé. Ça fait un bail que vous travaillez tous les deux, n’est-ce pas ?
CharonAboutHermes01|Charon About Hermes 01|Charon|Hrrrrrrnnnnghhhhhhhh...
