Id|Description|Speaker|Text
AresWithDionysus01|Duo - Ares and Dionysus (1)|Ares|Ah, cher parent ! Je demandais justement au Seigneur Dionysos ici présent à quelle occasion les plus grands banquets des mortels ont lieu. Parce que j'ai ma petite idée sur le sujet, vois-tu...
AresWithDionysus01|Duo - Ares and Dionysus (1)|Dionysus|Ouais, ouais, c'est bon, t'as gagné, Arès. Y'a rien de mieux qu'un festin après une bonne guerre, c'est sûr ! À condition d'y avoir survécu ! Sinon, bah, j'imagine qu'ils ont plus qu'à festoyer là-dessous avec *toi*, Zag !
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Artemis|Oh génial, c'est toi, Zagreus ! Tiens, laisse-moi t'accorder de nouveaux Bienfaits, tout comme Dionysos ici présent, qui manifestement aimerait te tenir la jambe aussi longtemps qu'il a tenu la mienne !
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Dionysus|*Heh*, elle me dit que je suis qu'un gros lourd, que je devrais dégager, et d'autres méchancetés comme ça, mais bon, qu'est-ce que j'y peux, hein ?
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Aphrodite|Tu sais, mon trésor, mes pouvoirs se complimentent à merveille avec ceux de Dionysos, qui eux persuadent l'esprit que la beauté réside là où elle n'est en réalité pas du tout !
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Dionysus|*Ah, haha*, pas la peine de me flatter comme ça, chère Aphrodite ! La beauté est presque entièrement dans la tête ! Et dans les muscles, la mâchoire, le sourire... enfin bref, je t'apprends rien !
DionysusWithZeus01|Duo - Dionysus and Zeus (1)|Dionysus|Hé Zag, j'ai mon père là, il veut te parler. Sois cool, mec, fais genre que t'es d'accord avec tout ce qu’il te dit, OK ?
DionysusWithZeus01|Duo - Dionysus and Zeus (1)|Zeus|Ce Dionysos, toujours bien trop gentil dans les présentations, mais au moins il me montre le respect adéquat. Peut-être qu’un jour il pourra t'apprendre les coutumes de l’Olympe.
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*Euh*, Zag, *hum*... ton oncle est de passage. Pas papa, *euh*, je parle de l’autre. Il voulait juste savoir comment tu allais, tout ça...
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Poseidon|*Aha*, te voilà, mon p'tit neveu ! Alors, Dionysos te montre les ficelles ou quoi ? Bon, par contre, si tu veux savoir ce que c'est qu'un vrai banquet, c'est par *moi *que ça passe ! Enfin bref, prends ma bénédiction et *file *!
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*Oh*, euh, oui, mec, on est là-haut, on t’attend ! On sait que tu finiras par y arriver un jour !
DionysusWithAthena01|Duo - Dionysus and Athena (1)|Dionysus|Hé, Zag ! Quand tu seras là, ça sera vraiment super, mec. Je te promets ! Même Athéna ici présente se détendra un peu, elle détachera ses cheveux, mettra une tenue un peu plus relax... Ouais, ça va être un truc de *dingue * !
DionysusWithAthena01|Duo - Dionysus and Athena (1)|Athena|Parfois, je me dis qu'en vérité, c'est peut-être le seigneur Dionysos qui est le vrai dieu de la stratégie, car il semble étrangement toujours au courant de mon prochain coup. Enfin, quoi qu'il en soit, je tâcherai de rester concentrée sur ta situation. Pas sur son banquet.
DionysusWithAres01|Duo - Dionysus and Ares (1)|Dionysus|Tu sais, Zag, peut-être que quand tu seras là-haut, tu pourras faire en sorte qu'Arès se détende un peu ? Le mec, il arrête pas de plomber l'ambiance avec toutes ses histoires de sang, de coups tordus et d'autres trucs du genre, là !
DionysusWithAres01|Duo - Dionysus and Ares (1)|Ares|Voyons, seigneur Dionysos ! Je ne comprends pas en quoi de tels sujets sont perçus comme inconvenants pour un festin. Ne me dis pas qu'une guerre gagnée ne mérite pas d'être célébrée ?
DionysusWithAphrodite01|Duo - Dionysus and Aphrodite (1)|Dionysus|Écoute, Zag, tout le monde sait qu'en matière de festins, le meilleur, c'est bibi. Mais faut admettre que je serais rien sans l'aide de Dame Aphrodite !
DionysusWithAphrodite01|Duo - Dionysus and Aphrodite (1)|Aphrodite|Le vin a sa façon bien à lui de rendre les gens encore plus beaux qu'ils ne le sont déjà, n'est-ce pas, mon cher Dionysos ! Et cette beauté, ma foi, elle peut inspirer de longues histoires d'amour ! Et aussi des histoires d'amour plus... éphémères, la plupart du temps.
DionysusWithArtemis01|Duo - Dionysus and Artemis (1)|Dionysus|Zag, mec... J'étais en train de persuader notre bonne amie Artémis de venir à un de mes festins, mais... elle veut pas, elle est toute préoccupée. Sûrement à propos d'une chasse ?
DionysusWithArtemis01|Duo - Dionysus and Artemis (1)|Artemis|C'est ça, cher Dionysos, une partie de chasse ! Et cette partie de chasse-là demande beaucoup, *beaucoup *de calme, et *beaucoup *de concentration. Alors, si tu veux bien m'excuser...?
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Dionysus|Hé Zag, j'ai un service à te demander. Tu pourrais pas, genre, persuader Dame Déméter de se détendre un peu avec toute son histoire de *« ne rien laisser pousser » *?
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Demeter|Mon cher Dionysos, je suis d'avis que vous abstenir de boire du vin pendant un certain temps pourrait vous faire du bien. Dans tous les cas, ce n'est pas en m'amadouant que je vous accorderai une meilleure récolte.
DionysusAboutOlympianReunionQuest01|Dionysus About Olympian Reunion Quest 01|Zagreus|J'espère que vous ne serez pas déçu, l'ami. Au nom d'Hadès ! Olympe, ceci est un message officiel ! Je pense que vous allez adorer ceci, Seigneur Dionysos !
DionysusAboutOlympianReunionQuest01|Dionysus About Olympian Reunion Quest 01|Dionysus|Ouhla, attends une seconde, Zag. Je sais reconnaître une invitation quand j'en vois une, moi ! Et ça, c'est clairement une invitation. Une pour moi, et... pour les autres aussi ? Hoh, ça a l'air génial, tout ça ! Je sens qu'on va bien rigoler !
DionysusPostEpilogue01|Dionysus Post Epilogue 01|Dionysus|Écoute, Zag, je me souviens pas complètement de ce qui s'est passé à cette fête que t'as organisée pour nous tous, en bas, mais je peux te dire un truc : c'était *génial *! T'as *cassé la baraque*, mec ! On remet ça un de ces quatre, ouais ?
DionysusAboutZeus01|Dionysus About Zeus 01|Dionysus|Alors, Zag, t’as dû rencontrer mon père maintenant, tu sais, ton oncle Zeus ? Il est cool, il aime faire la fête et tout, mais... essaie de pas l’oublier, tu veux ?
DionysusAboutPoseidon01|Dionysus About Poseidon 01|Dionysus|*Oh-ho*, Zag, on dirait que t’as reçu un cadeau du vieux Poséidon ! C’est un bon parti, mais... tiens, j’espère qu’il te reste de la place !
