Id|Description|Speaker|Text
OrpheusWithEurydice01|Orpheus With Eurydice 01|Orpheus|Ça alors, Zagreus, quel bonheur de te voir ici. Eurydice et moi étions en train de rattraper tout le temps perdu engendré par notre séparation.
OrpheusWithEurydice01|Orpheus With Eurydice 01|Eurydice|C'est ça. Alors, si tu veux bien nous excuser, mon chou ? On a encore pas mal de choses à rattraper tous les deux. Mais tiens, avant que tu ne partes...!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Zagreus|Je n'ai jamais rien entendu de tel. Si vos talents respectifs de chanteurs sont indéniables, vous sonnez absolument merveilleux une fois réunis.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Quel merveilleux compliment, mon ami. Il est évident que les Moires en personne se sont arrangées pour qu'Eurydice et moi nous rencontrions, chantions ensemble, tombions amoureux l'un de l'autre... avant de nous séparer cruellement un long moment !
OrpheusWithEurydice02|Orpheus With Eurydice 02|Eurydice|Oh, je t'en prie, ne recommence pas avec ça, tu m'entends, Orphi ? On a toute notre vie dans l'au-delà devant nous ! Et beaucoup de chansons à rattraper.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Bien sûr, tu as raison, ma chère. Si tu veux bien nous excuser, Zagreus ? Notre passion nous appelle.
OrpheusWithEurydice03|Orpheus With Eurydice 03|Zagreus|Coucou vous deux, ça va ? Toujours en pleine discussion ? Ou en pleine création musicale ?
OrpheusWithEurydice03|Orpheus With Eurydice 03|Orpheus|Oh, tout va merveilleusement bien, mon ami. Je n'aurais jamais pensé revoir Eurydice, après...
OrpheusWithEurydice03|Orpheus With Eurydice 03|Eurydice|Orphi ne peut toujours pas s'empêcher de parler de ça, mon chou. Mais on progresse ! Merci de l'avoir fait venir ici. Je suis sûre qu'il avait besoin d'une bonne dose d'encouragement.
OrpheusWithEurydiceMiscChat01|Orpheus With Eurydice Misc Chat 01|Eurydice|Hé, c'est gentil de nous rendre visite, Majesté ! Tiens, c'est pour toi !
OrpheusWithEurydiceMiscChat02|Orpheus With Eurydice Misc Chat 02|Eurydice|Orphi et moi allons très bien grâce à toi. Sois prudent, mon chou !
OrpheusWithEurydiceMiscChat03|Orpheus With Eurydice Misc Chat 03|Eurydice|J'espère que tu trouveras toi aussi quelqu'un avec qui chanter, mon chou.
OrpheusWithEurydiceMiscChat04|Orpheus With Eurydice Misc Chat 04|Eurydice|Ne t'inquiète pas, Majesté. Je veillerai à ce qu'il retourne au travail à l'heure. Tu m'entends, Orphi ?
OrpheusWithEurydiceMiscChat05|Orpheus With Eurydice Misc Chat 05|Eurydice|Orphi et moi, on est un peu comme un vieux couple marié, mon chou.
OrpheusWithEurydiceMiscChat06|Orpheus With Eurydice Misc Chat 06|Eurydice|Si jamais tu trouves le bonheur là-haut, mon chou... ne te retourne pas.
OrpheusWithEurydiceMiscChat07|Orpheus With Eurydice Misc Chat 07|Eurydice|Ça ne va pas si mal ici, mon chou. J'espère qu'il en va de même pour toi.
OrpheusWithEurydiceMiscChat08|Orpheus With Eurydice Misc Chat 08|Eurydice|Comment dire, mon chou ? On aime répéter notre chanson préférée !
OrpheusWithEurydiceMiscChat09|Orpheus With Eurydice Misc Chat 09|Eurydice|Tiens donc, mais c'est le petit Hadès qui vient nous rendre visite !
OrpheusWithEurydiceMiscChat18|Orpheus With Eurydice Misc Chat 18|Eurydice|Tu vois bien qu'on est occupés, mon chou, non ? Alors, si tu veux bien nous excuser...?
OrpheusWithEurydiceMiscChat19|Orpheus With Eurydice Misc Chat 19|Eurydice|On vient tout juste de finir de manger ! Tiens, il en reste encore plein pour toi.
OrpheusWithEurydiceMiscChat20|Orpheus With Eurydice Misc Chat 20|Eurydice|La seule chose plus belle que de chanter, mon chou, c'est de chanter avec quelqu'un que tu aimes.
OrpheusWithEurydiceMiscChat21|Orpheus With Eurydice Misc Chat 21|Eurydice|Orphée répète pour le prochain concert qu'il donnera à Hadès père !
OrpheusWithEurydiceMiscChat22|Orpheus With Eurydice Misc Chat 22|Eurydice|Mais dis donc ! C'est qu'on était au beau milieu d'une chanson, là, mon chou !
OrpheusWithEurydiceMiscChat23|Orpheus With Eurydice Misc Chat 23|Eurydice|Orphi n'est peut-être pas très doué en cuisine, mais en tout cas, il sait chanter !
OrpheusWithEurydiceMiscChat24|Orpheus With Eurydice Misc Chat 24|Eurydice|Regarde, Orphi, on a un public ! Vas-y, chante de tout ton cœur !
OrpheusWithEurydiceMiscChat25|Orpheus With Eurydice Misc Chat 25|Eurydice|Ne fais pas attention à Orphi, mon chou. On ne peut pas l'arrêter quand il se met à chanter !
OrpheusWithEurydiceInTheBloodChat01|Orpheus With Eurydice In The Blood Chat 01|Eurydice|Tu connais cette chanson, mon chou ? Elle était sacrément populaire à l'époque !
OrpheusWithEurydiceInTheBloodChat02|Orpheus With Eurydice In The Blood Chat 02|Eurydice|On était justement en train de parler du bon vieux temps, Orphi et moi !
OrpheusWithEurydiceInTheBloodChat03|Orpheus With Eurydice In The Blood Chat 03|Eurydice|Je me suis dit qu'on pourrait changer un peu de genre musical, mon chou !
