Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. *Oh*. Je ne m’attendais pas à avoir de la visite. Tu étais juste en train de rôder dans le coin, l’air de rien, ou... tu as besoin d'aide pour quelque chose ?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...J’allais partir, Zagreus. Je passais seulement par là, non pas grâce à toi, et je me suis dit que j’allais récupérer les affaires que j'avais laissées ici. Je dois dire que tu as vraiment fait de cette chambre un enfer.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|...Elle est partie. Génial. Merveilleux ! J’imagine qu'on va pouvoir continuer à nous entretuer, alors.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Tu as encore oublié quelque chose dans ma chambre, Meg ?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Non. Il faut qu’on parle. Encore. Mes sœurs sont impliquées dans tout ça, maintenant. Tu as vraiment semé une sacrée pagaille.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Je suis désolé. Ma mère est là-haut, quelque part. Je ne m'arrêterai pas tant que je ne l’aurai pas retrouvée. Tu ne comprendrais pas.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Ça, tu n'en sais rien. Ce que j’essaie de dire, c’est que... maintenant que mes sœurs sont impliquées, les choses changent. J'ai un peu moins de pression sur les épaules, maintenant.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|...Où-est-ce que tu veux en venir ?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Je veux dire... que je sais que tu as besoin de trouver ta mère, Zagreus. J’ai mon rôle à jouer dans tout ça, mais laisse-moi voir si je peux faire quelque chose, au moins.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Meg...! Elle... *ah*.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Je sais. Je suis désolé. Mais c'est quelque chose que je dois faire. Tu ne pourrais pas comprendre.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Un peu moins de pression... attends, qu’est-ce que tu comptes faire ?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|Je veux dire... je sais que tu ne fais que ce que tu dois faire, Zagreus. Et mes sœurs et moi essaierons toujours de t'en empêcher. Mais je le fais seulement que parce que je *dois *le faire. Tu comprends ?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg... quelle surprise. Encore. Qu'est-ce qu'il y a ? Il y a un problème...? Attends. Pourquoi tu me regardes comme ça ?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zagreus, tu veux bien arrêter avec tes questions stupides et venir ici ? Tout de suite.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Je... tu veux vraiment... oh...
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Je pensais que tu n'allais jamais me demander... mais je suis content que tu l'aies fait.
