Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|Je te dis que tu te {#DialogueItalicFormat}trompes{#PreviousFormat}, Astérion ! Il n'est {#DialogueItalicFormat}pas {#PreviousFormat} de la famille royale, et {#DialogueItalicFormat}moi {#PreviousFormat} je ne m'inclinerais certainement pas devant lui ! Ce n'est qu'une divinité mineure et sans nom des profondeurs, et condamnée à ne pas en sortir !
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Minotaur|Moi aussi, j'ai déjà été admonesté par de telles paroles, majesté. Combien de fois avons-nous fait face à cet ennemi ? Et d'après moi, il vient de se battre courageusement.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|{#DialogueItalicFormat}Courageusement {#PreviousFormat} ? Tu trouves {#DialogueItalicFormat}courageux {#PreviousFormat} qu'il se cache derrière ces piliers, Astérion ? Nous discuterons de cette étrange erreur de jugement quand nous aurons gagné !
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|J'espère que tu es content de toi, rejeton des Enfers. Parce qu'Astérion est très fâché contre moi, ces derniers temps ! Il dit que je me trompe sur le compte des scélérats de ton espèce ! {#DialogueItalicFormat}C'est scandaleux {#PreviousFormat}!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Minotaur|Vous ne m'avez pas compris, mon roi. Nous avons encore beaucoup à apprendre de cet adversaire. Chaque fois, il revient avec un équipement différent... une arme différente, des bénédictions différentes, et ainsi de suite. Malgré nos efforts... nous avons du mal à nous adapter à ses stratégies.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|Et maintenant, tu dis que je ne sais pas me battre, Astérion ? Alors même que je n'ai eu aucune difficulté à {#DialogueItalicFormat}te {#PreviousFormat}terrasser dans ton labyrinthe ?! Bah, assez parlé, battons-nous !
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|Eh bien, vermine ! Viens donc nous affronter et profiter des ravages que tu as causés ! Nous ne faisons pas équipe ! Nous ne sommes que deux combattants payés pour être ici, maintenant.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Minotaur|Mon roi, je crois que vous exagérez. Essayez d'être plus raisonnable. Et de tenir un peu plus compte de mon point de vue. Je ne demande pas grand-chose.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|Tu me demandes l'impossible ! Mais soit, battons-nous... et perdons, car si nous ne sommes pas une équipe, alors que sommes-nous, Astérion...?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Minotaur|Je te prie d'excuser le Champion, minus. Il n'est pas dans son état normal, ces temps-ci. Mais je suis sûr qu'il continuera malgré tout de se battre contre toi jusqu'à ce que mort s'ensuive.
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Zagreus|Tant mieux, parce que j'étais vraiment inquiet, là. Hé, peut-être qu'il retrouvera ses esprits si je lui mets quelques claques ! Tu crois que ça marcherait ?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Minotaur|Je ne sais pas. J'ai essayé. Mais je sais qu'il vaut mieux ne pas te sous-estimer, alors... viens te battre.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|Je t'en prie, Astérion, combattons à nouveau ensemble. Je veux dire, comme avant ! Pardonne-moi pour mes récents emportements. Ce maudit démon ! Ses mensonges et sa perfidie ont vraiment un don pour me rendre malade. Ou du moins, ce qui s'en rapproche le plus ici-bas !
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Minotaur|Jurez-moi une chose, mon roi. Jurez-moi que vous vous débarrasserez de vos peurs concernant le lien qui nous unit. Ce minus ne le brisera jamais. Il ne le comprend même pas. Le seul à pouvoir le briser, c'est vous.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|Je... oh, Astérion, mon cher ami. Je vois, bien sûr... tu as raison, tu as raison. {#DialogueItalicFormat}Tu as raison {#PreviousFormat}! Je jure solennellement que je ne douterai plus jamais de notre fraternité ! Et que plus jamais je n'écouterai ce démon ! Allons-y, maintenant ! Ensemble pour l'éternité !!
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Le voilà de retour, Astérion ! Et cette fois, nous allons devoir le vaincre sans l’aide de nos armures divines ! Un défi digne de ce nom, tu ne trouves pas ?
