Id|Description|Speaker|Text
NyxFirstMeeting|Nyx First Meeting|Nyx|Ne perds pas espoir, mon enfant. De tels contretemps sont inévitables, mais peuvent être surmontés avec du temps et de l'effort. Tu es entré en contact avec la déesse Athéna. Elle tiendra sa promesse.
NyxFirstMeeting|Nyx First Meeting|Zagreus|J'ai confiance en toi, Nyx. Je te suis reconnaissant de nous avoir mis en contact. Je sais que tu as pris beaucoup de risques pour ça.
NyxFirstMeeting|Nyx First Meeting|Nyx|Ces risques ne me concernent en rien. Je m'attendais à ce que les Olympiens s'immiscent dans cette affaire, tôt ou tard. Ne leur révèle pas plus que ce qu'ils savent déjà. Nous sommes-nous bien compris ?
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Je suis ravie de pouvoir enfin te parler, mon enfant. Ainsi donc, la déesse Athéna a tenu parole. Vous deux avez été sages d'agir avec autant de discrétion.
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Ces risques ne me concernent en rien. Les Olympiens étaient voués à s'immiscer dans cette affaire. La seule question était de savoir comment.
NyxGrantsRespec|Nyx Grants Respec|Nyx|J’espère que le Miroir dans ta chambre a su se montrer utile, mon cher enfant...?
NyxGrantsRespec|Nyx Grants Respec|Zagreus|Plus que je n’aurais pu l’imaginer, Nyx. Tu avais dit qu’il pourrait faire autre chose une fois que je m'y serais habitué. Je pense que je suis prêt, maintenant.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Je le pense également. Dans ce cas, ton souhait sera exaucé.
NyxMiscMeeting02|Nyx Misc Meeting 02|Nyx|Avant que tu partes, mon enfant... ton père est plutôt de mauvaise humeur en ce moment. Il vaudrait peut-être mieux le laisser en paix.
NyxMiscMeeting04|Nyx Misc Meeting 04|Zagreus|Nyx, c’est peut-être une question étrange, mais... est-ce que tu sais quel genre de destin les Moires me réservent ? Ce sont bien tes filles, n’est-ce pas ?
NyxMiscMeeting04|Nyx Misc Meeting 04|Nyx|En effet, mon enfant, les Trois Moires sont mes filles. Cependant, je n'ai pas plus connaissance de leur besogne que les mortels naïfs qui vivent au-dessus de nous. Pas même les Olympiens ne connaissent le tissage des Moires.
NyxMiscMeeting05|Nyx Misc Meeting 05|Nyx|Que les ténèbres te guident, mon enfant. Cette Maison est trop petite pour toi, j’en suis maintenant certaine. Sache que je te protégerai si jamais tu devais revenir ici.
NyxMiscMeeting05|Nyx Misc Meeting 05|Zagreus|Je ne t'oublierai jamais, Nyx. Je le jure.
NyxBackstory01|Nyx Backstory 01|Zagreus|Quelque part, j'ai toujours su, tu sais. J'ai toujours su que tu n'étais pas ma mère biologique. Je veux dire, regarde Hypnos et Thanatos. C'était impossible de m'imaginer faire partie de la même famille *qu'eux*, tout le monde voyait bien que ce n'était pas le cas, et pourtant... quand j'ai enfin appris la vérité, ça a quand même été un choc.
NyxBackstory01|Nyx Backstory 01|Nyx|Pour ma part, j'ai toujours su que tu finirais par apprendre la vérité. Et j'ai craint les conséquences que pouvait engendrer une telle découverte. Je suis heureuse que tout cela soit passé. Mais, dis-moi. Je réalise que je t'appelle toujours {#ItalicFormat}mon enfant{#PreviousFormat}. Préfèrerais-tu que je cesse de t'appeler ainsi, désormais ?
NyxBackstory01|Nyx Backstory 01|Zagreus|Non, Nyx, s'il te plaît, c'est... ça me va. Tu ne m'as peut être pas mis au monde, mais tu as toujours pris soin de moi. Je n'en doute pas une seconde. De même, est-ce que tu es sûre que je peux continuer de t'appeler par ton nom ?
NyxBackstory02|Nyx Backstory 02|Zagreus|Nyx, tu dois savoir pourquoi Père a coupé les ponts avec les Olympiens, non ?
NyxBackstory02|Nyx Backstory 02|Nyx|C'est une question à laquelle seul ton père peut répondre, mon enfant. Je ne peux te dire plus que ce que tu sais déjà.
NyxAboutHades01|Nyx About Hades 01|Zagreus|J'ai quelque chose à te demander, Nyx. Quelle est cette dette que tu as envers mon père ? Pardonne mon indiscrétion, mais je vous ai entendu parler et... ça a été mentionné.
NyxAboutHades01|Nyx About Hades 01|Nyx|...J'étais là bien avant ton père. La responsabilité de régir cet endroit m'est revenue. Pourtant, je n'y arrivais pas seule. Je façonne les ténèbres et assure l'intégrité de ce domaine. Je suis moins encline à effectuer des recensements et à administrer des règles. J'ai rétrocédé ces responsabilités.
NyxAboutHades01|Nyx About Hades 01|Zagreus|C'était trop, même pour toi. Alors... quand mon père est arrivé... tu l'as accueilli ? Il t'a aidée ?
NyxAboutHades01|Nyx About Hades 01|Nyx|Au début, j'étais sceptique. Je voyais sa présence comme une cruelle farce du Destin. Mais... il a travaillé assidûment dès son arrivée ici. Il a très vite instauré l'ordre là où tout n'était que chaos. Je lui ai fabriqué cette Maison, et je l'entretiens encore à ce jour. Nous restons en partenariat, en interdépendance.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Il n'a jamais abusé de toi ? De ta générosité ?
NyxAboutHades01|Nyx About Hades 01|Nyx|Non, mon enfant, jamais. Il peut se montrer sec envers moi, comme tu as pu le remarquer, mais cela ne va jamais plus loin. Nous avons su trouver des solutions pour résoudre nos différends. Ceci dit, ta relation avec lui est plus... complexe que la mienne, j'en ai peur...
NyxAboutHades02|Nyx About Hades 02|Zagreus|Nyx, après tout ce que tu as fait pour m'aider, les Olympiens, le Miroir, le Contremaître, je... j'ai peur que Père finisse par tout découvrir et qu'il dirige sa colère vers toi. Je ne voudrais pas qu'il t'arrive quelque chose.
NyxAboutHades02|Nyx About Hades 02|Nyx|Il ne faut pas avoir peur pour moi, mon enfant. Je ne suis pas une subalterne que ton père a le pouvoir de punir au gré de ses envies. Je suis la Nuit, et sans moi, cette Maison s'effondrerait. Ton père le sait. Lui et moi avons donc certains objectifs communs. Nous sommes obligés de coopérer.
NyxAboutHades02|Nyx About Hades 02|Zagreus|Mais alors... s'il ne peut vraiment rien y faire, alors pourquoi encourager son mensonge ? Je veux dire, vis-à-vis de ma mère biologique ?
NyxAboutHades02|Nyx About Hades 02|Nyx|Pardonne-moi... mais je ne suis pas en mesure de t'expliquer. Tu comprendras un jour... quand tu rencontreras ta mère.
NyxAboutHades02_B|Nyx About Hades 02 B|Zagreus|Obligés de coopérer... Pas étonnant que je pensais que vous étiez mari et femme.
NyxAboutHades02_B|Nyx About Hades 02 B|Nyx|Ton père et moi... sommes parfois capables de nous convaincre l'un l'autre.
NyxAboutAthena01|Nyx About Athena 01|Zagreus|J'ai eu des nouvelles de la déesse Athéna, Nyx. On dirait qu'elle t'admire. Je pensais que les Olympiens ne nous appréciaient pas ?
