Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Oh, bonjour, Zagreus. J'ai cru comprendre que tu m'avais libéré de mon châtiment éternel... et donc, me revoici au service de ton père. Tu as ma gratitude.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Orphée, tu es de retour ! Évite juste de te remettre Père à dos comme tu l'as fait et tout se passera bien. D'ailleurs... je pense qu'il est plus en colère contre moi, en ce moment.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Je compatis, mon ami. Cela dit, si tu es venu me demander de chanter, eh bien, j’ai peur que ma réponse soit toujours la même que d'habitude.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|Oh, bonjour, Zagreus. Je me demandais justement si tu avais entendu parler d'autres musiciens de cour qui avaient perdu l'envie de chanter ? Ton père m’a demandé de m'expliquer, vois-tu, et honnêtement, ce n’est pas chose facile.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|Si ça peut te consoler, l’ami, je suis sûr que tous les musiciens de cour qui ont été au service du dieu des morts ont connu ce que tu traverses en ce moment.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|C’est effroyablement calme ici quand tu es dehors, tu sais ? Pour tout dire, cela me gêne un peu, étant donné mon statut de musicien de cour.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|Écoute, si jamais tu décides de jouer une note ou deux avec ta lyre, je suis sûr que personne n'y verra d'inconvénient. En tout cas, prends soin de toi, d'accord ?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Oh, bonjour, Zagreus. Tu as l’air un peu abattu, alors je me demandais si par hasard, un chant ne te ferait pas plaisir ?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Zagreus|Pourquoi pas {#DialogueItalicFormat}La Lamentation {#PreviousFormat} ? Tu jouais beaucoup celle-là, avant !
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Oh, tu veux que je joue ce morceau-là ? Hélas, je n’ai plus le cœur à le chanter. Mais je suis content qu’il te plaise.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Orphée, tu m'excuseras d'être aussi direct, mais je voulais absolument te poser la question. Pourquoi est-ce que tu ne veux pas chanter ? Tu étais une légende, l’ami ! Notre musicien de cour !
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Ah, eh bien, c’est parce que j’ai perdu ma muse, mon ami. Tout simplement. Cela ne t'est jamais arrivé, dans ta vie, de ne plus avoir la volonté de poursuivre tes passions ?
