Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|...Poursuis ton chemin, étranger. Il y a encore beaucoup d’ombres qui cherchent à en découdre avec toi, dehors.
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|Je ne fais que passer. Vous m'avez l’air moins belliqueux que les autres. Puis-je vous demander votre nom, monsieur ? Je m'appelle Zagreus.
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|Les noms sont faits pour être oubliés, étranger. Tu ne devrais pas être ici. Puissent les Moires t'être favorables... mais juste au cas où elles ne le sont pas, tiens, prends donc ceci.
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|Quelque chose ne va pas, monsieur ? Je veux dire, vous ne devriez pas être debout à vous battre pour la fierté et la gloire éternelle, tout ce genre de choses ?
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|À quoi bon ? Si quelqu’un pose la question, dis que nous nous sommes battus. Maintenant, va-t'en. D'ailleurs, je n'ai aucune raison de me battre avec toi. J'imagine que je vais simplement rester ici, confortablement installé, encore quelques millénaires. Passe une bonne journée, ou nuit… peu importe.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Encore à te donner tout le mal du monde dans l’Élysée, à ce que je vois... tu affrontes mes frères d’armes pour la gloire, je présume ?
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|J'essaye de rejoindre la surface. Mais vos frères d'armes me barrent la route. Pour la gloire, ou sur ordre de mon père.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Ton père...? {#DialogueItalicFormat}Ah{#PreviousFormat}, c’est donc ça, tu es le Prince. Tu dois donc voir, maintenant, ce que t'apporte ta lignée ici-bas : rien du tout. Tu ne vaux pas mieux que nous tous. Maintenant, pars.
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|Encore toi. Je t'ai dit de ne pas m’approcher. Ton père est peut-être le grand chef ici, mais ça ne signifie rien pour moi, tu m'entends ? Va donc lui dire qu’il peut m'envoyer dans les tréfonds du Tartare, si ça peut l’amuser. Ça me changerait un peu de ces pâturages.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Je n’ai pas été aimable la dernière fois, étranger. Pardonne mon manque de courtoisie. Ou pas. Dans tous les cas, je voulais te présenter mes excuses.
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|Ce n’est rien, monsieur. Mais si je pouvais faire quelque chose pour vous aider, vous me le diriez, n’est-ce pas ?
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Je doute que tu sois capable de me libérer de mon tourment... alors, retourne t'occuper de tes affaires, et laisse-moi m'occuper des miennes.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|Je te préviens, étranger : si tu continues de venir me rendre visite, je vais devoir te trouver un nouveau surnom.
PatroclusMeeting06|Patroclus Meeting 06|Zagreus|Inutile de vous donner cette peine, monsieur. Nous ne sommes que des connaissances. Moi non plus, je ne sais rien de vous.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|Tant mieux. Cet endroit est réservé aux plus grands héros Grecs. Est-ce que j’ai l’air d’un héros Grec ? Va donc plutôt discuter avec Thésée, ou je ne sais qui d'autre.
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|Dis-moi, étranger, si tu veux bien... comment se fait-il que tu n'arrêtes pas de me retrouver ? Moi qui pensais que cette clairière était l'endroit le plus reculé de l’Élysée.
PatroclusMeeting07|Patroclus Meeting 07|Zagreus|L'organisation en perpétuel changement des chambres des Enfers laissent beaucoup au hasard, vous savez. Pour moi, toutes nos rencontres ici ne sont que des coïncidences.
