Id|Description|Speaker|Text
AresWithPoseidon01|Duo - Ares and Poseidon (1)|Ares|Pardonne-moi, mon cher parent, mais je dois avouer que je regrette parfois de ne pas avoir pu faire plus ample connaissance avec ton père. Mon oncle, ainsi que mon propre père ici présent... n'ont pas tout à fait les mêmes dispositions que moi.
AresWithPoseidon01|Duo - Ares and Poseidon (1)|Poseidon|Peut-être que si tu étais moins étrange et que tu faisais quelques efforts pour paraître plus fréquentable, nous aurions plus de choses en commun, Arès ! Si tu as besoin de conseils à ce sujet, eh bien, n'hésite pas !
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Artemis|Tu as sûrement fait connaissance avec mon père et mon oncle maintenant, pas vrai, Zagreus ? Je ne sais pas lequel est le pire. *Euh*, je veux dire... lequel est supérieur ! Supérieur, bien que techniquement passant le plus clair de son temps dans les océans, sous l'Olympe, n'est-ce pas, mon oncle ?
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Poseidon|Oh, Artémis, inutile de vanter mes mérites devant le petit Hadès ! Et puis, que nous soyons dans la mer, au-dessus ou au-dessous importe peu pour nous autres dieux ! Vous êtes encore jeunes, tous les deux ! Continuez comme ça, et vous serez bientôt presque aussi grandioses que moi !
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Aphrodite|S'il y a une chose à savoir sur cette famille, mon trésor, c’est que nous avons tous nos petites excentricités. Mais malgré ça, nous nous serrons toujours les coudes, et c'est ainsi que l'amour qui nous unit perdure !
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Poseidon|Oh, *hoh *! Mais que vois-je là, p'tit Hadès ? On dirait bien que tu as de la *compagnie *! Bon, eh bien, je vous laisse discuter entre vous, alors. Ne vous inquiétez pas, ma bouche est aussi bien cousue que les voiles d'un navire de guerre !
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Aphrodite|Oh, mais je t'en prie, reste avec nous, Poséidon ! J'étais justement en train de lui expliquer à quel point tu es stupide, mais tu es sans doute le mieux placé pour ça ! Enfin bref, où en étais-je, mon trésor...?
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*Euh*, Zag, *hum*... ton oncle est de passage. Pas papa, *euh*, je parle de l’autre. Il voulait juste savoir comment tu allais, tout ça...
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Poseidon|*Aha*, te voilà, mon p'tit neveu ! Alors, Dionysos te montre les ficelles ou quoi ? Bon, par contre, si tu veux savoir ce que c'est qu'un vrai banquet, c'est par *moi *que ça passe ! Enfin bref, prends ma bénédiction et *file *!
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*Oh*, euh, oui, mec, on est là-haut, on t’attend ! On sait que tu finiras par y arriver un jour !
AthenaWithPoseidon01|Duo - Athena and Poseidon (1)|Athena|Quand j'ai informé le seigneur Zeus et d'autres membres de notre famille de votre existence, Zagreus, c'est oncle Poséidon qui s'est manifesté en premier en vous accordant la bienveillance de la mer et de la terre. N'est-ce pas, mon oncle ?
AthenaWithPoseidon01|Duo - Athena and Poseidon (1)|Poseidon|Exactement, Athéna, avec cette excellente mémoire qui te caractérise ! Parce que ce n'est pas tous les jours qu'on apprend que son triste frère Hadès a engendré un bon fils ! Il ignore la chance qu'il a ! Et *toi*, mon neveu, mérite tellement *mieux *!
PoseidonWithZeus01|Duo - Poseidon and Zeus (1)|Poseidon|Alors, p'tit Hadès, je vois que tu as rencontré mon frère Zeus ! On le désigne parfois comme le roi des dieux ! Il faut dire toutefois que sa puissance est loin d’égaler la mienne ! Et il est loin d'avoir ma classe, si je puis me permettre. Eh bien, je... *Oh * !
PoseidonWithZeus01|Duo - Poseidon and Zeus (1)|Zeus|Allons, mon frère... tu sais ce qui arrive à ceux racontant de telles choses à mon sujet, il me semble ! Je sais que le tact n’est pas la première de tes qualités, mais je te suggère malgré tout de faire attention à ce que tu dis à notre neveu.
PoseidonWithZeus01|Duo - Poseidon and Zeus (1)|Poseidon|*Bon*, *euh*, c'est bien ce que je disais, mon p'tit Hadès ! Zeus est le roi des dieux ! Et aussi le plus impressionnant, le plus puissant et, autant l'avouer, le plus *divin *de tous !
PoseidonWithAthena01|Duo - Poseidon and Athena (1)|Poseidon|Comme tu le vois maintenant, nous sommes une grande et intelligente famille, p'tit Hadès ! Mais ma nièce Athéna est la plus intelligente de tous. On a du mal à croire qu'elle n'ait pas d'enfants, dévouée et attentionnée envers nous tous comme elle est !
PoseidonWithAthena01|Duo - Poseidon and Athena (1)|Athena|Mon intelligence me vient sûrement de votre frère et de vous, ô oncle Poséidon. Et j'ajouterais que nous avons bien assez d'enfants dans cette famille, et qu'il n'est pas la peine d'en faire d'autres pour le moment.
PoseidonWithAres01|Duo - Poseidon and Ares (1)|Poseidon|Eh bien, p'tit Hadès, tu dois savoir que j'ai d'autres neveux ici, n'est-ce pas ? Par exemple, Arès, le dieu de la guerre ! Certaines guerres ont eu lieu en mer, n'est-il pas ?
PoseidonWithAres01|Duo - Poseidon and Ares (1)|Ares|En effet, mon cher oncle. Les mortels savent faire preuve de génie en matière de guerre. Plus que toute autre chose, elle les incite à progresser. Peut-être qu'un jour ils trouveront le moyen de faire la guerre en plein ciel.
PoseidonWithArtemis01|Duo - Poseidon and Artemis (1)|Poseidon|Ce que j'ai de spécial, mon neveu, c'est que je m'entends bien avec tout le monde ici, ce qui est plutôt rare ! Prends ma nièce Artémis, par exemple, elle ne supporte aucun humour ! Ce n'est pas avec cet air revêche que tu attireras un courtisan, gamine !
PoseidonWithArtemis01|Duo - Poseidon and Artemis (1)|Artemis|Oh, et ne serait-ce pas absolument malheureux, oncle Poséidon ? Je me demande quelle peut être la cause de ce mauvais regard qu'on m'adresse en permanence, ici. Zagreus a peut-être une idée.
PoseidonWithArtemis01|Duo - Poseidon and Artemis (1)|Poseidon|*Hahaha * ! Tu vois ce que je veux dire, mon neveu ?
PoseidonWithDemeter01|Duo - Poseidon and Demeter (1)|Poseidon|Ma sœur de lait, la déesse Déméter, malgré son air austère, aime souvent se moquer de moi, mon neveu ! La voilà justement !
PoseidonWithDemeter01|Duo - Poseidon and Demeter (1)|Demeter|Si tu as fini de jacasser, Poséidon, notre jeune Zagreus a des choses plus importantes à faire. Il a besoin de tes bénédictions, pas de ton opinion. N'est-ce pas, jeune pousse ?
PoseidonBeatTheseusQuestComplete|Poseidon Beat Theseus Quest Complete|Poseidon|*Ah ah ah * ! Je savais que je pouvais compter sur toi, mon neveu ! La récompense qu'a touchée l'ingrat Thésée n'était donc qu'un char ? Et ça ne lui a même pas permis de gagner ? Bien fait pour lui ! Lui qui se vantait de son temps que sa récompense était de loin la meilleure, *pff * !
PoseidonFishQuestComplete|Poseidon Fish Quest Complete|Poseidon|*Ha ha ha*, p'tit Hadès ! J'étais sûr que tu aurais ce qu'il faut pour éclaircir les rangs de ces traîtres d'habitants sous-marins qui ont fui mes océans pour rejoindre le domaine de ton père ! Je te souhaite une bonne pêche pour toujours !
PoseidonAboutOlympianReunionQuest01|Poseidon About Olympian Reunion Quest 01|Zagreus|Okay, c'est parti. Au nom d'Hadès ! Olympe ! Ceci est un message officiel ! Oncle Poséidon, j'espère qu'il parviendra jusqu'à vous.
PoseidonAboutOlympianReunionQuest01|Poseidon About Olympian Reunion Quest 01|Poseidon|Qu'est-ce que c'est, Neveu ? Eh bien, serait-ce une note ? Ou plutôt, un bout d'une note, qui m'est adressé, et possédant d'autres morceaux destiné aux autres ici ? *Ah*, c'est comme un trésor englouti, alors ! Je me dois d'en percer le mystère immédiatement !
PoseidonPostEpilogue01|Poseidon Post Epilogue 01|Poseidon|Tu sais, mon neveu, j'ai passé un fameux moment, en bas, avec ton père et... Perséphone était plus belle que jamais ! Je n'aurais *jamais *pensé la revoir ! Nous voilà donc tous enfin réunis ! Mais tu as une mission à accomplir, et nous, du haut de l'Olympe, serons heureux de t'aider !
PoseidonAboutZeus01|Poseidon About Zeus 01|Poseidon|Ah, mon neveu, je vois que mon très cher frère Zeus t'a déjà fait part de sa bénédiction foudroyante ! Eh bien, dommage pour lui, parce que tu vas très vite l’oublier après avoir essayé *ça *!
PoseidonAboutAthena01|Poseidon About Athena 01|Poseidon|*Ahh*, tu as déjà reçu une bénédiction d’Athéna, p'tit Hadès ! Elle est toujours sur ses gardes, celle-là, mais tiens, avec ça tu devrais pouvoir te la couler un peu plus douce, au cas où !
PoseidonAboutAphrodite01|Poseidon About Aphrodite 01|Poseidon|*Oh-oh*, tu as donc déjà vu Aphrodite, n’est-ce pas, mon neveu ? C’est compréhensible, mais avant toute chose, laisse-moi ajouter mon grain de sel !
PoseidonAboutAres01|Poseidon About Ares 01|Poseidon|Ohé, mon neveu ! Il paraît que tu as déjà reçu la bénédiction d’un de mes *autres *neveux, Arès ! Comme tu as pu le voir, nous ne sommes pas tous faits du même bois, bénies soient les Moires !
PoseidonAboutArtemis01|Poseidon About Artemis 01|Poseidon|Je sens que tu as reçu la marque de l’insaisissable Artémis, n’est-ce pas, mon neveu ? C’est la plus sauvage de nous tous, alors si elle t'apprécie, tant mieux !
PoseidonAboutDionysus01|Poseidon About Dionysus 01|Poseidon|Chaque fois que Dionysos organise un banquet, je finis toujours par me montrer ! Alors, fais de la place pour une autre bénédiction, et c'est parti !
PoseidonAboutHermes01|Poseidon About Hermes 01|Poseidon|P'tit Hadès, on dirait que tu va de plus en plus vite ! À un tel point que ça en devient troublant !! Je me demande d’où tu tires cette rapidité ! Tu t'es mis à la gymnastique aquatique ?!
PoseidonAboutHermes02|Poseidon About Hermes 02|Poseidon|Mon neveu, comment fais-tu pour explorer le royaume de ton cruel père à une telle vitesse ?! Il n'y a qu'un seul dieu de l’Olympe qui se déplace aussi rapidement ! Si on ne me compte pas ! Où donc est-il passé, celui-là ?
PoseidonAboutDemeter01|Poseidon About Demeter 01|Poseidon|Eh bien, p'tit Hadès, une sorte d'aura glaciale t'enveloppe, probablement une froide bénédiction de notre aînée, la Déesse Déméter. N'ai-je pas raison ? Personnellement, je pense que l'eau doit rester à son état liquide, mais qui suis-je pour juger ?
