Id|Description|Speaker|Text
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Megaera|...Si tu continues de l'aider, tu auras mille coups de fouet la prochaine fois qu'on se revoit. Et à mon retour, mieux vaudrait pour toi que ton petit caillou soit là-haut plutôt qu’ici ou tu en auras mille de plus.
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Sisyphus|J'ai compris, j'ai compris, madame. C’est plus qu’équitable, vraiment. Je ne vous décevrai pas ! À bientôt !
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Megaera|...Et je te conseille de t'y mettre tout de suite avec ton rocher, sale petit tricheur. Ne va surtout pas croire que je ne t'ai pas à l’œil.
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Sisyphus|J’apprécie votre vigilance, madame, et je ne manquerai sûrement pas d’amener Pierrot en haut de cette colline en un rien de temps, même si je n'y suis encore jamais parvenu !
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Megaera|...Et quand cette affaire avec le Prince sera terminée, on reprendra comme avant. Mais en attendant, je veux te voir pousser ton rocher sur cette colline.
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Sisyphus|C'est compris, madame. Soyez certaine que Pierrot, {#DialogueItalicFormat}ahem{#PreviousFormat}, je veux dire ce rocher, sera poussé avec diligence jusqu'au sommet, comme toujours ! Au revoir, maintenant !
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|...Et enfin, je t'interdis de continuer à venir en aide au Prince Zagreus. Est-ce que je me suis bien fait comprendre ?
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Sisyphus|Oh, mais absolument, Maître Thanatos, je n'oserai plus jamais y penser ! Mon esprit est bien trop occupé en ce moment à imaginer de nouvelles stratégies dans l'art de pousser des rochers, voyez-vous.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|Ça suffit ! Remets-toi au travail, et je me remettrai au mien.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Sisyphus|J'ai compris, Maître Thanatos, et je ferai ce que vous dites. Je n'aiderai plus le Prince Zagreus, et je ne plaisante pas cette fois.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Thanatos|Bien. Parce que si tu me mens encore une fois, c'en sera fini pour nous deux. Veille à ce que ça n'arrive pas.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|...Tu ferais mieux de m'écouter la prochaine fois, et de ne pas chercher à m'échapper. La mort peut être très désagréable, comme tu le sais sûrement déjà.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Sisyphus|C'est justement ça, Maître Thanatos. Je suis désolé, mais je n'ai jamais vraiment eu peur des dieux, voyez-vous. Pour autant que je puisse en juger, vos soucis sont très semblables à ceux des mortels. La peur de la mort en moins.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|Qu'est-ce que tu sais des soucis des dieux ? Maintenant, tu as l'éternité pour réfléchir à ce que tu as fait. Je repasserai peut-être te voir d'ici une ère ou deux, histoire de vérifier si tu as bien compris ta leçon.
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Bonjour, Prince Z. Je dois avoir l’air de tirer au flanc avec mon rocher, mais... j'essayais seulement de me relever. Les Érinyes ne me laissent pas souvent en paix, voyez-vous. D'ailleurs, où sont-elles passées ? Et... que faites-vous ici ?
SisyphusFirstMeeting|Sisyphus First Meeting|Zagreus|Oh, rien de spécial, je fais juste une petite promenade, c'est tout. Mais rendez-moi service : si vous voyez les Érinyes, dites-leur que je suis parti par où je suis venu, vous voulez bien...?
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Oh, bien sûr, entendu, Votre Altesse. Je vais retourner à mes occupations, maintenant. Prenez soin de vous.
SisyphusMeeting02_A|Sisyphus Meeting A 02|Sisyphus|Vous savez, Prince Z, je ne m’attendais pas à vous recroiser, pas après tout ce temps. Quelque chose ne va pas à la Maison ? Je n’ai pas eu beaucoup de compagnie ces derniers temps, c’est tout.
SisyphusMeeting02_A|Sisyphus Meeting A 02|Zagreus|Oh, il y a toujours quelque chose qui ne va pas à la Maison, monsieur, alors... je me suis dit que ça ne ferait de mal à personne si je faisais des rondes dans le Tartare un peu plus souvent.
SisyphusMeeting02_A|Sisyphus Meeting A 02|Sisyphus|Eh bien, je vous en remercie, et ce vieux rocher aussi. J’ai l’habitude de rester seul pendant de longues périodes, mais avoir des visiteurs de temps en temps ne me ferait certainement pas de mal, en effet !
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|Si je puis me permettre, Votre Altesse, je me demandais... qu'est-ce qui vous amène à nouveau ici ? La même chose que la dernière fois ?
SisyphusMeeting02|Sisyphus Meeting 02|Zagreus|Écoutez, je vais être franc avec vous, Sisyphe. Je quitte la Maison. J’en ai assez de vivre ici. Je suis sûr que vous comprenez. Je pars rejoindre la surface.
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|{#DialogueItalicFormat}Pfiou{#PreviousFormat}, en voilà un projet ambitieux, Prince. À vrai dire, si ce n’était pas vous qui en parliez, j’appellerais ça de la folie pure et simple. Mais vous, vous êtes assez fou pour avoir une chance d'y parvenir ! Eh bien, j’espère que vous réussirez. Bonne chance !
SisyphusMeeting03|Sisyphus Meeting 03|Sisyphus|Alors, Prince, comment se déroule votre projet d'évasion ?
SisyphusMeeting03|Sisyphus Meeting 03|Zagreus|Plutôt bien, tout compte fait. Il m’arrive de mourir, et c’est difficile à digérer, mais bon, c’est la vie.
SisyphusMeeting03|Sisyphus Meeting 03|Sisyphus|Ah, eh bien, ne baissez pas les bras. Moi, j’ai arrêté d’essayer de sortir d'ici depuis un moment déjà, mais si j’étais encore aussi jeune et intrépide que vous, je suis sûr que j'aurais continué.
SisyphusMeeting04|Sisyphus Meeting 04|Sisyphus|Bonjour, Votre Altesse. Quelque chose vous amène, ou bien vous ne faites que passer ? En tout cas, je suis ravi que nous ayons l'occasion de discuter ainsi.
SisyphusMeeting04|Sisyphus Meeting 04|Zagreus|Sisyphe, ne le prenez pas mal, mais… pourquoi est-ce que vous m'aidez ? Mon père vous a condamné à une éternité de tourment ici, et pourtant vous m’accueillez toujours avec le sourire.
SisyphusMeeting04|Sisyphus Meeting 04|Sisyphus|{#DialogueItalicFormat}Hah{#PreviousFormat} ! Allons, Prince Z, je suis comme ça, c'est tout ! Et puis, les dieux soient loués, vous n’êtes pas comme votre père ! Vous m’avez toujours semblé sympathique, et comme vous dites vouloir sortir, eh bien, disons que je peux vous comprendre.
SisyphusMeeting_AboutFury01|Sisyphus Meeting About Fury 01|Sisyphus|Vous savez, Prince, ça fait du bien de voir ces Érinyes moins souvent que d'habitude. La chef, je ne sais plus son nom, c'est de vous qu'elle s'occupe à présent, n’est-ce pas ?
SisyphusMeeting_AboutFury01|Sisyphus Meeting About Fury 01|Zagreus|Vous parlez de Mégère ? Oh, ça oui, elle s'occupe de moi. Elle a pour ordre de ne pas me laisser sortir du Tartare. J'imagine que ça vous donne une occasion de faire une pause, maintenant ! Il était grand temps qu’on vous en accorde une.
SisyphusMeeting05|Sisyphus Meeting 05|Zagreus|Hé, j'ai une question, Sisyphe : est-ce que vous avez vu les autres Érinyes, récemment ?
SisyphusMeeting05|Sisyphus Meeting 05|Sisyphus|Non, pas depuis un moment, maintenant que vous le dites ! Juste Mégère, la plus gentille d'entre elles, si l'on peut dire. Je vous tiendrai au courant si jamais je vois les deux autres !
SisyphusMeeting06|Sisyphus Meeting 06|Zagreus|Sisyphe, comment est-ce que vous pouvez supporter d’être condamné ici ? En plus, vous semblez toujours de bonne humeur.
