Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|J'vais être franc avec toi, mec. T'en as vraiment mis plein les yeux à quelqu'un de bien plus influent que moi, là, et donc... cette personne a une petite proposition à te faire, ça te tente ?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Laisse-moi deviner... on veut que je me fraye un chemin jusqu'à la surface, mais cette fois en signant le Pacte des Châtiments, histoire de rendre ma tâche encore plus traître qu'elle ne l'est déjà. Et si je réussis, on me récompensera en m’offrant une babiole sans intérêt. C'est ça ?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Faux ! On parle de quelque chose de gros cette fois, mec. Tu vois ce truc là-bas ? C'est ça, ta babiole. Quoi, t'as peur ?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Je savais que tu y arriverais, l’ami. Ta nouvelle récompense te plaît ? Pacte des châtiments... {#DialogueItalicFormat}Pacte des boniments{#PreviousFormat}... Peu importe, si tu veux mon avis. Bien sûr, ce n’était pas bien difficile, je suis quasi sûr que j’y serais arrivé moi aussi.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Attends, que je comprenne bien... Je me suis démené comme un fou dans cet enfer et tout ce que je gagne, c’est... une statue de toi ? Ne te méprends pas, je la trouve jolie, mais... Je ne sais pas trop ce à quoi je m'attendais.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Écoute, mon gars... Il y a eu un petit micmac quand on a passé la commande. Je leur ai demandé de fabriquer un truc qui me donnerait un air sympathique auprès de mes associés, et je ne sais comment on a abouti à ça. Mais les autres sont beaucoup mieux, tu vas voir !
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Thados, laisse-moi te poser une question. Est-ce que tu as vraiment commandé trois statues quasiment identiques de toi-même pour m’inciter à utiliser le Pacte des Châtiments ?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|J'suis choqué, mec ! T'as même pas encore vu la troisième, alors comment tu peux insinuer un truc pareil ?! Peut-être que j'me suis trompé sur ton compte. J'croyais que t'étais un vrai, moi !
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Tu dis juste ça pour me pousser à m'excuser et à déverrouiller la dernière de tes trois statues, je me trompe ?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|{#DialogueItalicFormat}Comment tu peux{#PreviousFormat}--? J'me ferais rembourser toutes ces statues ici et maintenant si je pouvais bouger...! Et si c'était possible de les faire rembourser...
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Écoute, je suis désolé pour cette histoire de statues, mon gars. Vraiment. Quand je les ai vues, j'ai carrément paniqué. Et après je me suis dit que t'arriverais jamais à les révéler, alors j'ai voulu te faire marcher, tu vois ?
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Zagreus|Tu n’aurais pas dû me sous-estimer, l’ami. Mais... Je n’aurais jamais dû dire ces choses horribles sur tes statues. Tu as dû te donner un mal de chien pour les amener ici.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Oh, tu peux le dire ! Alors on n'a qu'à dire qu'on est quittes. On a traversé beaucoup d'épreuves, tous les deux ! Cette expérience a été très enrichissante. Et maintenant, on se comprend mieux, hein ?
SkellyFirstMeeting|Skelly First Meeting|Skelly|T'en as une belle baraque, mon gars ! J'm'appelle Thados, toi ça va la vie ? Bon assez bavardé, j'ai un boulot à faire. Alors on y va ! Donne tout c'que t'as !!
SkellyFirstMeeting|Skelly First Meeting|Zagreus|Je ne me rappelle pas t'avoir embauché, l’ami. Qui est ton responsable ?
