Id|Description|Speaker|Text
InspectHouse01|Inspect House 01|Storyteller|{#DialogueItalicFormat}La Maison d’Hadès : ce repaire sombre et somptueusement aménagé est la demeure du roi des Enfers, mais également de sa progéniture à forte tête.
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|{#DialogueItalicFormat}Ce qui était autrefois un petit salon au sein de la Maison d’Hadès est aujourd’hui interdit d’accès, laissé sens dessus dessous depuis que le Cerbère à plusieurs têtes, en proie au désarroi suite à la disparition du Prince, a ravagé l’endroit.
InspectShades01|Inspect Shades 01|Storyteller|{#DialogueItalicFormat}Les ombres des morts errent sans cesse dans les couloirs de la Maison, à la recherche d'une oreille attentive à leurs interminables lamentations.
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|{#DialogueItalicFormat}Le salon de la Maison d'Hadès est en réalité un espace tout à fait lugubre en dépit de sa fonction première, laquelle étant d'apporter un peu de gaieté aux tristes habitants de la Maison.
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|{#DialogueItalicFormat}Une plaque commémorative orne l’un des murs du salon, célébrant et proclamant les hauts faits de ceux qui servent le Seigneur Hadès de manière exemplaire.
InspectCellar01|Inspect Cellar 01|Storyteller|{#DialogueItalicFormat}Les tonneaux de vin ancien cachés dans les recoins de la Maison du Seigneur Hadès... rares sont ceux qui ont consommé leur contenu enivrant, et plus rares encore sont ceux qui sont autorisés à s'en approcher.
InspectCellar01|Inspect Cellar 01|Storyteller|{#DialogueItalicFormat}Les tonneaux de vin robustes de la Maison d'Hadès sont maintenant presque entièrement vides, victimes de la soif combinée des Olympiens lors d'un certain festin.
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|{#DialogueItalicFormat}Un magnifique monument doré représentant le mont Olympe, construit minutieusement avec la pierre de la montagne sacrée, brille désormais pour l'éternité dans la pénombre de la Maison d'Hadès, en guise d'offrande de la part de la famille du Maître.
InspectMural01|Inspect Mural 01|Storyteller|{#DialogueItalicFormat}Une gigantesque mosaïque soigneusement réalisée immortalise le Roi des Enfers régnant sur l'énormité de son domaine, sous le regard admiratif de ses sujets chthoniens.
InspectThrone01|Inspect Throne 01|Storyteller|{#DialogueItalicFormat}Il est rare que le trône imposant du sinistre Seigneur Hadès reste ainsi inoccupé ; malgré cela, les habitants de la Maison continuent de vaquer à leurs occupations, n’osant guère demander pourquoi.
InspectHouseGarden01|Inspect House Garden 01|Storyteller|{#DialogueItalicFormat}Le jardin de la Reine Perséphone, dont l'accès était interdit au Prince tout au long de sa vie, s'étend enfin devant lui dans toute sa splendeur.
Flashback02|Flashback 02|Storyteller|{#DialogueItalicFormat}Il s’aventura vers l'imposant trône de son Seigneur et Père, s’attendant à se faire repérer, mais bien loin d'imaginer ce qu’il s’apprêtait à découvrir.
