Id|Description|Speaker|Text
Text|Text|Zagreus|... Je... Meg, je suis profondément flatté, et je tiens vraiment beaucoup à toi, mais... ce n’est pas ce que je veux de notre relation. J’ai peur de t'avoir donné de faux espoirs. Pardonne-moi. S'il te plaît, dis-moi que tu seras toujours mon amie...?
Text|Text|Megaera|...C'est vraiment tout ce que tu veux...? Être mon ami ? *Heh. * Tu es dur à comprendre parfois, Zag. Mais tu sais quoi, on a déjà essayé beaucoup de choses tous les deux, alors pourquoi pas ça ? Bon, eh bien, on se retrouve dehors, alors.
Text|Text|Megaera|...Tu es sûr ? Écoute, je... tout va bien, ne t'inquiète pas. Je te retrouve dehors, donc.
Text|Text|Zagreus|Oui. Parfois, il faut que je prenne un peu le temps. Heureusement que nous sommes en meilleurs termes, ces derniers temps. J’ai peur d’avoir été trop vite. Excusez-moi. Vous comptez beaucoup pour moi. Je ne veux rien faire qui vous fasse du mal. Ou à quiconque d’autre.
Text|Text|Thanatos|Je... oh. Je vois... je comprends. Toi aussi, tu comptes beaucoup pour moi, même si on s'est vraiment donné beaucoup de mal pour compromettre notre amitié ces derniers temps, pas vrai ? Enfin bref... prends soin de toi, Zag. À bientôt.
Text|Text|Zagreus|...Toi aussi. À bientôt.
Text|Text|Zagreus|Than... *ha ha ha*, je suis tellement content ! C’est juste que... tu sais que Mégère est passée ici avant toi, hein...?
Text|Text|Thanatos|*Tch. *Je connais Mégère depuis beaucoup plus longtemps que toi. À ton avis, qui m'a convaincu de venir ici ?
Text|Text|Zagreus|Hah ! C’est elle, c'est ça ? Tant mieux ! Tant mieux.
Text|Text|Thanatos|Tu es sûr ? Bon... je comprends. Je ferais mieux de retourner à mes responsabilités.
Text|Text|Zagreus|...À plus, Than.
Text|Text|Zagreus|Euh... écoutez... vous comptez pour moi. Tous les deux. Vraiment beaucoup. Je suis heureux qu'on soit si proches... que vous soyez si proches, plutôt qu'être à couteaux tirés comme avant. Mais je crois que ça fait encore un peu beaucoup pour moi, pour l'instant.
Text|Text|Megaera|...Tu es sûr ? Écoute... ne t'inquiète pas, ce n'est pas grave. Tu as déjà assez de pression sur les épaules comme ça. On se retrouve dehors, alors.
Text|Text|Thanatos|On se revoit plus tard, d’accord ?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Thanatos...! Je t'aurais bien invité ici, mais... tu es déjà là. Ça fait vraiment plaisir de te voir.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Dis-moi juste une chose, Zagreus. Tu le pensais vraiment quand tu as dit que... on devrait peut-être... prendre notre temps ?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|C'est juste que... je ne veux pas te forcer, Than. Je sais que ça fait beaucoup à digérer. Et je veux que tu saches... que ça n’a rien d’impulsif, pour moi. Je t'attendrai aussi longtemps qu'il le faudra.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|*Khh ! *Tu ne sais vraiment pas quelles pulsions écouter et quelles pulsions retenir. Tu dis que tu attendras, alors laisse-moi te demander : qu’est-ce que tu attends ? Qu'est-ce que tu attends, je suis déjà là. Non...?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Than...! *Ha ha ha*, oh, t'as raison !
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Hé, Than, écoute... dis quelque chose. Je n'aime pas quand tu restes longtemps silencieux comme ça. À quoi tu penses ?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|À beaucoup de choses. Et il va falloir t'y habituer, Zag. Enfin, je veux dire... ne vois pas mon silence comme une mauvaise chose, d’accord ? Je ferais mieux d'y aller, maintenant, je suis en retard sur mon travail, mais... on se revoit bientôt. Si ça te va, bien sûr.
