Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Mes sœurs et moi-même. Nous nous sommes concertées, et nous sommes parvenues à un accord, Zagreus. Comme tu peux le voir.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Mégère, Tis, vous êtes prêtes ?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*Mmeurtrrrier *!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Trois contre un. Tu ne trouves pas que ce n'est pas très fair-play ?
FurySistersUnion01|Fury Sisters Union 01|Megaera|Nous ne sommes plus là pour jouer. Nous te tuerons, coûte que coûte. Érinyes ! *Maintenant*.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Regarde, Tisiphone. Je crois que je t’ai trouvé un meurtrier.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|*Mmeuuurrr*trrre...
Fury3SisterUnionSingleSis01_A|Fury 3 Sister Union Single Sis 01 A|Tisiphone|*Mmmeuurtrieeerr*...!
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Mmmm... mmmeurtrier...*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|Hé, tu dois être une des sœurs de Mégère ! Ravi de faire ta connaissance. Je m’appelle Zagreus. Et pas *Meurtrier*, non. Pas du tout.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|Meurtrier... *mmmmeurtrrieeerrrrr...!*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|*Ahem*... écoute, j’ai peut-être fait des choses pas très jolies, mais je suis vraiment, absolument sûr de n’avoir commis aucun meurtre.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Mmmmmeurtrieerrrrrrrr*...!
Fury3PostEnding01|Fury 3 Post Ending 01|Zagreus|Je suis ici pour les affaires cette fois, Tisiphone, alors, *euh*... hors de mon chemin ! Même si j'imagine que le principe de ce métier est de faire face à tous les obstacles que Père dresse en travers de ma route, en fait.
Fury3PostEnding01|Fury 3 Post Ending 01|Tisiphone|Mmm, hrr-hrr-*hrrtrrre*...
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Zagreus|Oh, désolé que vous n'ayez pas pu venir à la fête, Tisiphone. J'imagine que vous n'auriez pas été forcément heureuse. Encore qu'Arès était là. Il a sûrement commis des meurtres, n'est-ce pas ?
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Tisiphone|Meurrtttrrrre ? Meurrttrrre. *Meurtttre *!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|*Mmmmeurrr*... trre...?
Fury3Encounter01|Fury 3 Encounter 01|Zagreus|*Euh*... je ne crois pas, non...? Pas meurtre. Pas meurtre !
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|*Mmmmeuurtrrre...*
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|Meurtre…? Meurtre, meurrrtre...!
Fury3Encounter02|Fury 3 Encounter 02|Zagreus|J’espérais vraiment pouvoir changer de sujet. C'est possible ?
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|Meuurtrier... *meuuurrtrier *!
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|Mmm... mmm... mmmrrrr...!
Fury3Encounter03|Fury 3 Encounter 03|Zagreus|Laisse-moi deviner. Meurtre ? Meurtrier, peut-être ? Un des deux.
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|Mmm, mmmeurtre... mmmeurtre !!
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|Mmmrrrrr... mmeurrr... trrre...
Fury3Encounter04|Fury 3 Encounter 04|Zagreus|Oh, pitié. Je ne suis pas un meurtrier. Tu n'es pas obligée de faire ça.
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|Meurtrier. Meuurrtrierrr...
Fury3Encounter05|Fury 3 Encounter 05|Tisiphone|Meurtrieeer... meurtre, meurtre, *meurtre *!
Fury3Encounter05|Fury 3 Encounter 05|Zagreus|J'imagine qu'on n'arrivera jamais à se faire comprendre. Tant pis...
Fury3Encounter05|Fury 3 Encounter 05|Tisiphone|Meurtrier. *Meurtrierrr*!!
Fury3Encounter06|Fury 3 Encounter 06|Tisiphone|Meurtre ? *Meurtre*...? Meurtre....
Fury3Encounter06|Fury 3 Encounter 06|Zagreus|Je ne comprends pas. Mais je ne suis pas celui que tu crois. Mon père t'a simplement envoyée m’arrêter, c’est tout.
Fury3Encounter06|Fury 3 Encounter 06|Tisiphone|Meurtrier... meurtrier ! *Meurtrier *!
Fury3Encounter07|Fury 3 Encounter 07|Tisiphone|Mrrr... meurr... trre... *meurrtrre *!
Fury3Encounter07|Fury 3 Encounter 07|Zagreus|Non, pas meurtre. Zagreus. Je m'appelle Zagreus. Tu peux dire ça, Tisiphone ? Pas meurtre. *Zagreus *!
Fury3Encounter07|Fury 3 Encounter 07|Tisiphone|Meurr... trri... *zerrr*...
Fury3Encounter08|Fury 3 Encounter 08|Tisiphone|Mm, meurrr... trri... zerrr !
Fury3Encounter08|Fury 3 Encounter 08|Zagreus|Tu as vraiment dit *meurtrizer *! On progresse ! Zagreus ! Je suis Zagreus, je ne suis pas un meurtrier ! Tu peux dire Zagreus ?
Fury3Encounter08|Fury 3 Encounter 08|Tisiphone|Trr... zerr... zahh... zahh, *graaahh *!
Fury3Encounter09|Fury 3 Encounter 09|Tisiphone|Zerr... znnhh... zrrrnggh...!
Fury3Encounter09|Fury 3 Encounter 09|Zagreus|Tu te souviens de moi, Tisiphone ? Je m'appelle Zagreus. Le Prince des Enfers ? Plutôt proche de Mégère, je dirais. Tu peux essayer de dire Zagreus encore une fois pour moi ?
Fury3Encounter09|Fury 3 Encounter 09|Tisiphone|Zrrnngh... zaahh... zahh... gree... mrrsss...?
Fury3Encounter10|Fury 3 Encounter 10|Tisiphone|*Zzaaahhh... trrr... err*... zzahh... trr.
Fury3Encounter10|Fury 3 Encounter 10|Zagreus|Oh, tu y es presque, Tisiphone ! Rappelle-toi, Zagreus ? C'est moi. Je ne suis pas ton ennemi, tu le sais, ça ? Je suis seulement Zagreus !
Fury3Encounter10|Fury 3 Encounter 10|Tisiphone|...Zzzzzaaahhh... gree... usss... zzaagreeusss ! *Zaagreuss *!!
Fury3Encounter11|Fury 3 Encounter 11|Tisiphone|*Zzzaaggreussss*... mm... meurrtrierr...
Fury3Encounter11|Fury 3 Encounter 11|Zagreus|Non. Attends, juste le début. Pas meurtrier. Juste Zagreus. Ou sinon... tiens, essayons... *contente *? Tu peux dire *contente *?
Fury3Encounter11|Fury 3 Encounter 11|Tisiphone|Mmrrr... *Zzzrrtrrierrr*...
Fury3Encounter12|Fury 3 Encounter 12|Tisiphone|Meurrtrre... Zzaagreusss... *meurtrrierrr*...
