Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...J'ai passé bien des jours à m'occuper de ce jardin... ou des nuits ? On perd toute notion de temps, ici. En tout cas, il a tenu plus longtemps que je ne l'aurais imaginé...
Ending01|Ending 01|Hades|...Perséphone... je...
Ending01|Ending 01|Persephone|Cerbère ! Tu m'as tellement manqué. Toujours aussi fidèle au poste, à ce que je vois !
Ending01|Ending 01|Hades|...Je suis désolé. Sache que je suis désolé.
Ending01|Ending 01|Persephone|Hadès... tu as l'air fatigué. Cela dit, je ne suis pas la seule personne auprès de qui tu devrais t'excuser.
Ending01|Ending 01|Hades|Je sais. Je sais, je... pourquoi es-tu revenue ? Si l'Olympe... si ta mère venait à le découvrir, même Zeus, même {#DialogueItalicFormat}lui {#PreviousFormat}ne saurait empêcher ce qui pourrait se produire !
Ending01|Ending 01|Persephone|{#DialogueItalicFormat}Oh{#PreviousFormat}, j'ai une petite idée de la façon dont nous pourrons nous occuper de ça. Mais j'aurai besoin de vous deux, toi et Zagreus, pour m'aider à travailler sur une solution. Ou sinon, si tu préfères, je peux tout simplement retourner d'où je viens, qu'est-ce que tu en penses ?
Ending01|Ending 01|Hades|Une solution ? Quoi, tu comptes les inviter ici pour un verre d'Ambroisie ? Même toi, tu ne peux pas réparer une famille brisée, Perséphone.
Ending01|Ending 01|Persephone|Tu as raison, Hadès ! Je ne peux pas. Certainement pas toute seule. Alors, est-ce que tu vas m'aider, oui ou non ?
Ending01|Ending 01|Hades|...Je ferai tout ce que tu me demanderas.
Ending01|Ending 01|Persephone|Dans ce cas, commence par parler avec ton fils.
Ending01|Ending 01|Hades|...{#DialogueItalicFormat}Mm{#PreviousFormat}. Zagreus ? Tu as déjà rencontré Perséphone, notre Reine. Je m'attends à ce que tu la traites avec déférence à tout instant !
Ending01|Ending 01|Zagreus|Woah, Père, tu m'as appelé par mon nom ! Quelle est cette étrange sensation ? Est-ce que c'est cette {#DialogueItalicFormat}déférence {#PreviousFormat}dont tu parlais à l'instant ?
Ending01|Ending 01|Persephone|Oh, ça suffit, vous deux. Ne me fais pas regretter d'être revenue ici, Hadès. Parle-lui sincèrement. De toi, pas de moi. Vas-y.
Ending01|Ending 01|Hades|Très bien. Je... Zagreus. Je sais qu'il y a eu des moments où... où j'ai laissé mes émotions déteindre sur toi. Je ne me suis que rarement montré patient avec toi. J'ai souvent douté de ton jugement, alors même que le mien était erroné. C'est donc ainsi que je m'excuse auprès de toi, mon fils. Je n'ai aucune excuse... et je ne demande aucun pardon.
Ending01|Ending 01|Zagreus|Et pour tous ces mensonges au sujet de Mère, tu t'excuses pour ça, aussi ? Tes sautes d'humeur et ta façon de te passer les nerfs sur moi... depuis longtemps, je ne m'attendais plus qu'à ce genre de choses venant de toi, et je t'ai toujours détesté pour ça. Mais j'ai toujours pensé... que tu étais quelqu'un d'honnête.
Ending01|Ending 01|Hades|Ta mère n'est pas venue ici délibérément lorsque nous nous sommes rencontrés pour la première fois. Quand elle est partie... croyant que tu étais mort-né... sa décision était définitive. J'ai cru qu'elle se porterait mieux sans nous, Olympiens compris. Vous tromper tous les deux... cela m'a fait terriblement mal. Mais c'était un mal nécessaire.
Ending01|Ending 01|Zagreus|Peut-être, mais ce n'était pas la peine de décharger tous ces tourments sur moi toute ma vie. Mais... je crois que je comprends. J'aurais juste voulu comprendre plus tôt. Et donc, euh... et maintenant ? Je me suis tellement habitué à piller ton domaine que je crois que ça va me manquer.
Ending01|Ending 01|Hades|À ce propos... tes {#DialogueItalicFormat}pillages {#PreviousFormat}ont révélé beaucoup de failles dans notre sécurité. Le genre de failles dont on ne fait jamais état dans les rapports. Notre réputation dépend de l'impossibilité de s'évader d'ici. Alors, pourrais-tu... continuer d'essayer de t'échapper ? Pas pour moi... mais pour ce royaume. Pour la Reine.
Ending01|Ending 01|Persephone|Zagreus... si tu continues de chercher à sortir d'ici... de l'extérieur, personne ne verra que quelque chose a changé.
Ending01|Ending 01|Zagreus|Juste une question, Père. Imaginons que j'accepte. La prochaine fois que j'arriverai à la surface... ce sera toujours toi qui m'y attendras ?
Ending01|Ending 01|Hades|Ah, fils. Si tu crois un seul instant que je vais me montrer plus tendre avec toi désormais, tu vas être déçu.
Ending01|Ending 01|Zagreus|Donc, je passe mon temps à me frayer un chemin jusqu'à la surface et à tuer mon père ?
Ending01|Ending 01|Hades|Tu as raison sur un seul de ces deux points !
Ending01|Ending 01|Persephone|Tu pourras peut-être aussi t'occuper de ma petite maison, tant que tu y seras ? Le jardin ne demande pas beaucoup de travail. J'aimerais juste qu'il reste bien entretenu, au cas où je ne pourrais plus supporter de vivre ici.
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Hahaha {#PreviousFormat}! Eh bien, j'imagine que je verrai ce que je peux faire.
Ending01|Ending 01|Persephone|Contente-toi de faire de ton mieux, et sache que moi aussi, j'ai du travail à faire. En fait, j'ai l'impression qu'on ne va pas en manquer de sitôt. Alors, on s'y met ?
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Après tout ce temps{#PreviousFormat}, mais ça ne fait que quelques jours ! Mais c'était bien. Père et Mère sont à nouveau ensemble, je me suis fait de nouveaux amis, et maintenant on a ce magnifique tableau ! Parfait. Tout va pour le mieux dans le meilleur des Enfers possible !
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Mais c’est alors qu’il découvrit cette lettre... écrite avec délicatesse d’une main et d’une voix que le Prince n’avait jamais vue ou entendue.
Flashback05|Flashback 05|Persephone|{#DialogueItalicFormat}'Hadès : je ne supporte plus de vivre ici. Alors, je pars, même si cela me tue. Je ne retournerai pas sur l'Olympe. Si j'ai bien une place dans ce monde, alors elle doit être quelque part entre les cieux et les Enfers. Peut-être sur la côte, avec un petit jardin. Prends bien soin de Cerbère ; il me manquera.'
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}C’est ainsi que Zagreus, le Prince des Enfers, assimila le contenu de cette lettre jusqu'alors tenue secrète, écrite de la main de sa mère.
