Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Ho dedicato così tanti giorni alla cura di questo giardino... o forse notti? È difficile capire la differenza, quaggiù. Ma si è mantenuto più a lungo di quando mi sarei aspettata...
Ending01|Ending 01|Hades|...Persefone... io...
Ending01|Ending 01|Persephone|Cerbero! Quanto mi sei mancato. Ligio al dovere come sempre, vedo.
Ending01|Ending 01|Hades|...Mi dispiace. Sappi che mi dispiace.
Ending01|Ending 01|Persephone|Ade... hai l'aria stanca. Ma non è a me che dovresti porgere le tue scuse.
Ending01|Ending 01|Hades|Lo so. Lo so, io... perché hai voluto tornare? Se l'Olimpo... se tua madre scoprisse quanto è accaduto, nemmeno Zeus, nemmeno *lui *potrebbe impedire quel che accadrebbe!
Ending01|Ending 01|Persephone|*Oh*, io ho già qualche idea su come risolvere le cose. Ma servirà che tu e Zagreus collaboriate, perché ciò avvenga. A meno che tu non preferisca che io torni da dove sono venuta?
Ending01|Ending 01|Hades|Risolvere le cose? Che vorresti fare, invitarli qui per un sorso d'Ambrosia? Nemmeno tu puoi ricomporre i cocci di un'intera famiglia, Persefone.
Ending01|Ending 01|Persephone|Hai ragione, Ade! Non posso. Di certo, non da sola. Perciò... intendi aiutarmi, o cosa?
Ending01|Ending 01|Hades|...Farei qualsiasi cosa tu mi chieda.
Ending01|Ending 01|Persephone|Quand'è così, parla con tuo figlio, tanto per cominciare.
Ending01|Ending 01|Hades|...*Mm*. Zagreus? Hai già incontrato Persefone, la nostra regina. Mi aspetto che tu le mostri il dovuto rispetto, senza eccezioni!
Ending01|Ending 01|Zagreus|Wow, padre, mi hai chiamato per nome! Che cos'è questa strana sensazione che sto provando? È forse quel \"rispetto\" di cui parli?
Ending01|Ending 01|Persephone|Oh, ma finitela, tutti e due. Non farmi pentire di essere tornata, Ade. Sii sincero con lui. Riguardo a te stesso, non a me. Forza.
Ending01|Ending 01|Hades|Sì. Io... Zagreus. So che vi sono stati momenti... in cui il mio umore ha agito a tuo discapito. Ti ho mostrato scarsa pazienza. Ho messo in dubbio le tue scelte, senza pensare alle mie. Ti chiedo scusa, figlio mio. Non ho scusanti, e non chiedo alcun perdono.
Ending01|Ending 01|Zagreus|E riguardo all'avermi mentito su mia madre, ti scusi anche di questo? Il tuo caratteraccio, il tuo sfogarlo su di me... a questo avevo fatto il callo, ormai. E ti ho detestato, sì. Ma avevo sempre creduto che... fossi onesto, almeno.
Ending01|Ending 01|Hades|Tua madre non venne qui di propria volontà, in origine. Quando partì... credendoti morto... la sua scelta fu definitiva. Pensai che la sua vita sarebbe stata migliore senza tutti noi, Olimpo incluso. Ingannarvi entrambi... mi dilaniò. Ma era la cosa giusta da fare.
Ending01|Ending 01|Zagreus|Be', non c'era alcun bisogno che sfogassi il tuo sentirti dilaniato su di me. Comunque, penso di capire. Vorrei solo aver capito prima. Perciò, ah... che si fa, ora? Sono talmente abituato alle mie scorribande per il tuo reame, che credo mi mancheranno.
Ending01|Ending 01|Hades|A tal proposito... le tue *scorribande *hanno svelato molte falle nella nostra sicurezza, del tipo che non risulta nei rapporti. La nostra fama si fonda sull'impossibilità di evadere. Ti andrebbe di... continuare a farlo? Non per me, ma per il regno. Per la regina.
Ending01|Ending 01|Persephone|Zagreus... se continuerai a tentare di scappare... manterrai le apparenze che nulla sia cambiato, capisci?
Ending01|Ending 01|Zagreus|Una domanda, padre. Poniamo che io accetti. Al mio prossimo sbucare in superficie... ti troverei comunque lì ad attendermi?
Ending01|Ending 01|Hades|Ah, ragazzo mio. Se credi per un solo istante che ti renderò la vita facile d'ora in avanti, ti sbagli davvero di grosso.
Ending01|Ending 01|Zagreus|Perciò, dovrei continuare ad arrampicarmi fino in superficie per ammazzare ripetutamente il mio stesso padre?
Ending01|Ending 01|Hades|Corretto per metà!
Ending01|Ending 01|Persephone|Magari potresti anche occuparti della mia casetta, mentre sei in zona? Il giardino non richiede molte cure, ma mi piacerebbe che restasse tutto in ordine... in caso questo posto mi facesse impazzire.
Ending01|Ending 01|Zagreus|*Ahahah*, be'! Vedrò che posso fare.
Ending01|Ending 01|Persephone|Fa' solo del tuo meglio. Anch'io ho molto lavoro che mi attende, del resto. Tutti noi ne abbiamo, direi. Sarà meglio iniziare, che ne dite?
Ending01|Ending 01|Zagreus|\"Dopo tutto questo tempo\"? Ma se è passato appena qualche giorno! È andata bene, comunque. Mia madre e mio padre sono di nuovo insieme, mi sono fatto qualche nuovo amico, ho questo bel quadro... una passeggiata. Tutto bene nell'Oltretomba!
InspectHouse01|Inspect House 01|Storyteller|*La Dimora di Ade: la tetra, sfarzosa residenza del re dell'Oltretomba offre rifugio non soltanto a lui, bensì anche alla sua ostinata progenie.*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*Quella che un tempo era una piccola sala all'interno della Dimora di Ade è oggi chiusa a chiave, dopo esser stata fatta a pezzi dal cane Cerbero, disperato per l'assenza del suo amato principe.*
InspectShades01|Inspect Shades 01|Storyteller|*Le ombre dei defunti si aggirano senza sosta per la Dimora, lamentando le proprie sofferenze a chiunque sia disposto a prestar loro orecchio.*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*La sala comune della Dimora di Ade è un luogo tetro e sconfortante, nonostante sia stato concepito allo scopo di rallegrare i tristi abitanti della casa.*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*Un tabellone commemorativo spicca sulle spoglie pareti della sala comune, celebrando i successi dei più zelanti fra i molti servitori del Sommo Ade.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Le antiche botti di vino celate nei recessi della Dimora del Sommo Ade... ben pochi ne hanno assaporato gli inebrianti contenuti, e ancor meno sono coloro cui è permesso avvicinarvisi.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Le poderose botti di vino della Dimora di Ade giacciono ora pressoché svuotate del proprio contenuto, avendo fatto fronte, nel corso di un leggendario banchetto, alla sete dell'intero Olimpo.*
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|*Una maestosa effigie dorata dell'Olimpo, scolpita con superba perizia nella pietra di quel sacro monte, riluce ora in eterno nella penombra della Dimora di Ade, quale omaggio al Padrone da parte dei suoi divini familiari.*
InspectMural01|Inspect Mural 01|Storyteller|*Un vasto mosaico, finemente realizzato, raffigura il re dell'Oltretomba nell'atto di ergersi sull'enormità del proprio regno, attorniato da torme di sudditi adoranti.*
InspectThrone01|Inspect Throne 01|Storyteller|*Di rado il Sommo Ade abbandona il proprio cupo e minaccioso trono; allo stesso modo, gli abitanti della Dimora si dedicano senza sosta ai propri compiti, senza osare chiederne lo scopo.*
InspectHouseGarden01|Inspect House Garden 01|Storyteller|*Il giardino della regina Persefone, precluso al principe per la sua intera esistenza, si rivela ora a lui in tutto il proprio splendore.*
Flashback02|Flashback 02|Storyteller|*Si avventura verso l'imponente trono del proprio illustre genitore, aspettandosi di poter essere colto in fallo, ma ignaro di ciò che realmente lo attende.*
Flashback03|Flashback 03|Storyteller|*Non sa di preciso che cosa stia cercando. Sa solo d'essersi sempre sentito fuori posto, in questa che dovrebbe essere la sua casa. Chi è, davvero? Il Sommo Ade non si cura di simili domande. Così, il principe Zagreus va in cerca di risposte.*
Flashback04|Flashback 04|Storyteller|*Il principe fruga tra gli oggetti personali del padre, trovando ben poco di rilevante. Registri contabili e documenti amministrativi; lettere dall'Olimpo da lungo tempo ignorate. Nessuna carta che menzioni suo figlio.*
Flashback05|Flashback 05|Storyteller|*D'un tratto, ecco la lettera... scritta con grafia elegante, da una mano e una voce che il principe non aveva mai visto né udito prima.*
Flashback05|Flashback 05|Persephone|*\"Ade, non posso più tollerare la mia vita in questo luogo. Ho deciso di andarmene, accada quel che accada. Non farò ritorno sull'Olimpo. Se esiste un luogo a cui appartengo, non si trova né tra gli dèi né tra i defunti. Forse è un posto in riva al mare, con un piccolo giardino. Prenditi cura di Cerbero; mi mancherà.\*
Flashback05|Flashback 05|Storyteller|*E così Zagreus, principe degli Inferi, ponderò i contenuti della misteriosa missiva, vergata dalla mano di sua madre.*
Flashback05|Flashback 05|Zagreus|Dalla mano di sua madre, di mia madre, aspetta, *cosa*?! Stai dicendo che questa Persefone è mia... madre...? Ma mio padre ha sempre detto che Nyx... quel bugiardo. Mi ha mentito. L'hanno fatto entrambi. Per tutta la mia vita!
