Id|Description|Speaker|Text
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Zeus|Non appena sarai giunto sull'Olimpo, Zagreus, dovremo trovar modo di accasarti, non ti pare? Sei un buon partito, dopotutto! Troverai che quassù c'è molta scelta, fatte le debite eccezioni... prendi la mia scaltra figlia Artemide: non intende proprio scegliersi un compagno!
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Artemis|Proprio così, Zagreus: malgrado i molti scolpiti pretendenti che mi pressano in modo imbarazzante per la mia mano, per chissà quale ragione, preferisco di gran lunga passare il mio tempo da sola nei boschi o con le mie amiche ninfe!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Artemis|*Tsk*, *ehm*, Zagreus... anziché salutarti come farei di solito, lascia che ti presenti il mio illustre, gentile, magnanimo e nobile padre, e più grande fra i tuoi zii, Zeus!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Zeus|*Ehm*, grazie dell'introduzione, figliola. Ora va', torna a giocare con le tue ninfette, o che so io, e lascia che assista il mio diletto nipotino! E lasciagli un po' del tuo flebile potere, se proprio devi.
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Artemis|Ormai conoscerai mio padre e mio zio, no, Zagreus? Non so chi tra i due sia peggiore. *Ah*, voglio dire... superiore! Superiore, benché tecnicamente trascorra gran parte del suo tempo in mare, al di sotto dell'Olimpo, dico bene, zio?
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Poseidon|Oh, Artemide, non c'è bisogno che tu mi lodi a tal punto di fronte a Zagreus! E comunque, star dentro, sopra, o sotto il mare non fa differenza, quando si è un dio! Voi due siete ancora giovani! Continuate così, e presto sarete grandi quasi quanto me!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Ehi, *ehm*, Zagreus! C'è una cosa che mi stavo chiedendo, ma non voglio che tu fraintenda, d'accordo? Oh, no. È lei.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Aphrodite|Oh, Artemide, ma sei proprio una frana! È il nostro piccolo deuccio dell'Oltretomba a farti questo effetto, o è solo a causa mia? *Hm-hm*, ne verrai a capo a tempo debito, ne sono certa!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Senti, che stavo... *ugh*, lascia perdere. Parleremo un'altra volta, immagino.
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Artemis|*Ehm*, Zagreus? Malgrado i miei istinti di cacciatrice, pare che stavolta io non sia riuscita a sfuggire ad Afrodite, e... ha insistito perché ci presentassimo a te allo stesso tempo, per chissà quale ragione...
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Aphrodite|Oh, suvvia, Artemide! Sarai più che abile nel nasconderti da un animale, magari, ma io ti vedo eccome. Perché non sei più onesta con te stessa, un'altra volta?
ArtemisWithAres01|Duo - Artemis and Ares (1)|Artemis|Zagreus, vorrei proprio che potessimo sentirti, così almeno potresti spiegare al nobile Ares che i miei poteri hanno scopi del tutto diversi dai suoi!
ArtemisWithAres01|Duo - Artemis and Ares (1)|Ares|Può darsi che le nostre abilità avessero fini differenti in origine, cara Artemide, ma che mi dici del risultato finale? Osserva che cosa accade quando si combinano nel nostro diletto consanguineo.
ArtemisWithAres02|Duo - Artemis and Ares (2)|Artemis|Zagreus, speravo proprio di poter condurre questa battuta in privato, come al nostro solito, ma purtroppo l'illustre Ares sente l'odore di uno strumento di caccia a chilometri di distanza!
ArtemisWithAres02|Duo - Artemis and Ares (2)|Ares|Ma mia cara Artemide, la caccia è un preludio alla guerra, non ti pare? Se i mortali non avessero imparato a cacciare, non sarebbero oggi altrettanto esperti nell'uccidersi a vicenda.
ArtemisWithAres02|Duo - Artemis and Ares (2)|Artemis|Senti, nobile Ares: che ne dici se ti concedo una mira migliore, e tu in cambio vai a importunare qualcun altro?
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Artemis|Oh, bene, sei tu, Zagreus! Tieni, lascia che ti offra qualche nuovo Dono insieme al nobile Dioniso, che di sicuro avrà piacere di stordirti di chiacchiere al mio posto!
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Dionysus|*Eh*, mi dice che parlo a voce troppo alta, di lasciarla in pace, un sacco di cattiverie del genere. Che ci vuoi fare, dico bene?
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Artemis|Oh, ehilà, Zagreus. Stavo giusto facendo un vano tentativo di persuadere Demetra a darci un taglio, con tutta questa neve. I mortali cominciano a non poterne più, e onestamente anch'io non riesco più a cacciare come prima!
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Demeter|I mortali sanno arrangiarsi, Artemide; è forse la loro unica qualità apprezzabile! In qualche modo supereranno questo nostro lungo inverno. Sarà meglio, dato che infuria a causa loro.
ArtemisAboutRamaAspect01|Artemis About Rama Aspect 01|Artemis|Ehm, Zagreus, hai poi provato a fare due chiacchiere con Coronacht? Ricorda, devi dire *vedo la tua corda tendersi per mano del settimo avatar! *Dovrebbe accadere qualcosa riguardo al sembiante di un qualche arciere divino, credo? Pensi di provarci presto, o no?
ArtemisAboutRamaAspect02|Artemis About Rama Aspect 02|Artemis|Ehi, ma guarda! Il mio messaggio ha fatto effetto! Riesco a vedere quell'arco lucente fin da quassù! Io non ho mai usato Coronacht, almeno non ancora. Ma se le Moire mi inviano visioni dei suoi possessori passati e futuri, be', immagino che prima o poi verrà il mio turno!
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Zagreus|Ti ho trovata, Cacciatrice. Nel nome di Ade! Olimpo, questo è un messaggio ufficiale! Specialmente rivolto a te, divina Artemide!
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Artemis|Un qualche tipo di messaggio indirizzato a me...! Oh, sembra ce ne sia uno per ognuno di noi, dunque. Per un attimo mi ero sentita un po' speciale! E ora mi costringi a controllare cos'hanno ricevuto gli altri. Grandioso!
