Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|*Mmmrrrrnnn*...
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|Ehi, Caronte, a quanto pare il tuo socio Ermes ha scommesso con te che sarei riuscito a batterti due volte di fila, giusto? Non voglio deluderlo, perciò... senza rancore?
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|*Nnnrrrraaaaaauugggghhh*!!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|*Haaahhhhh*...
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|*Ehm*, Caronte, aspetta, posso spiegare. Sono talmente abituato ad arraffare le ricchezze di mio padre, che ormai lo faccio senza riflettere. Non volevo derubarti, giuro!
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|Non mi è sembrato un verso magnanimo. Aspetta, perché brandisci il tuo remo in modo così minaccioso?
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Mi stai mettendo alla prova, ho ragione, Caronte? Insomma, se mi piazzi un mucchio di denaro così sotto il naso, che cosa ti aspetti che faccia?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|Nrrnnhhh, hnnnn, hrrnn, *hrrrrrnnn*...
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Siamo d'accordo, amico. D'ora in poi, derubarti sarà il mio modo di dire "\Caronte, che ne dici di un bel duello all'ultimo sangue per fare un po' di moto?\".
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|*Hrrrnnnggghh*....
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|*Grrnrnhh, rrraahhh*!
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|*Hrraaaahhhhhh*!!
BossCharonMiscStart04|Boss Charon Misc Start 04|Charon|Hrrn... *grrraaauuuggghh*!!
BossCharonMiscStart05|Boss Charon Misc Start 05|Charon|Rrnn... *hhrraaaauuuggghh*!!
BossCharonMiscStart06|Boss Charon Misc Start 06|Charon|Grrr... *nrrraauuuggghhh*!!
BossCharonMiscStart07|Boss Charon Misc Start 07|Charon|Urrh... *urraaauuuggghh*!!
