Id|Description|Speaker|Text
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|Qualsiasi cosa tu abbia udito riguardo alla cara Demetra, giovanotto, lascia che ti chiarisca le idee. È vero che è come una sorella, per me, ma solo di nome. Benché i suoi titanici genitori siano incorsi nello stesso fato dei miei.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|Quale inatteso candore da parte tua, Zeus, mio fratello adottivo! Si direbbe quasi che tu ti senta di dire la verità solo quando sai che io sono in ascolto.
AresWithDemeter01|Ares With Demeter 01|Ares|Il gelo della morte dona molto alla dea Demetra, non sei d'accordo, mio sanguinario congiunto? Di giorno in giorno pare più avvezza a brandirlo.
AresWithDemeter01|Ares With Demeter 01|Demeter|Alquanto inopportuno, nobile Ares. Rammenta che sono più anziana di te, e di gran lunga; le mie carestie avevano già mietuto decine di migliaia di mortali ben prima che simili pensieri ti sfiorassero.
ArtemisWithDemeter01|Artemis With Demeter 01|Artemis|Oh, ehilà, Zagreus. Stavo giusto facendo un vano tentativo di persuadere Demetra a darci un taglio, con tutta questa neve. I mortali cominciano a non poterne più, e onestamente anch'io non riesco più a cacciare come prima!
ArtemisWithDemeter01|Artemis With Demeter 01|Demeter|I mortali sanno arrangiarsi, Artemide; è forse la loro unica qualità apprezzabile! In qualche modo supereranno questo nostro lungo inverno. Sarà meglio, dato che infuria a causa loro.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Aphrodite|La venerabile Demetra, dea delle stagioni, *sceglie *di apparire tanto solenne e austera; riesci a crederci, tesoro? Ma se mi chiedi perché mai qualcuno vorrebbe tutte quelle rughe, non so proprio che risponderti.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Demeter|Oh, mia cara Afrodite... tu non riconoscerti la sostanza nemmeno se ti offrisse un mantello. Il modo in cui scegli di mostrarti rende più che palesi i tuoi intenti, così come i tuoi interessi.
DionysusWithDemeter01|Dionysus With Demeter 01|Dionysus|Ehi Zag, avrei un favore da chiederti: non è che potresti persuadere la dea Demetra a darsi una calmata, con questo \"non lasciar crescere nulla\" con cui è in fissa di recente?
DionysusWithDemeter01|Dionysus With Demeter 01|Demeter|Lasciami dire, mio illustre Dioniso, che astenerti dal vino per qualche tempo non potrebbe che giovarti. In ogni caso, io di certo non aiuterò la tua vendemmia.
AthenaWithDemeter01|Athena With Demeter 01|Athena|Porto al tuo cospetto la dea Demetra, cugino. Le ho spiegato che non v'era di che preoccuparsi, e che la situazione era già sotto controllo; ma nella sua infinita compassione, ha ugualmente preso a cuore la tua causa!
AthenaWithDemeter01|Athena With Demeter 01|Demeter|Oh, non necessito delle tue tiepide lusinghe, Atena cara. Col tuo impareggiabile intelletto, di certo capirai che i tuoi reali intenti mi sono più che palesi.
PoseidonWithDemeter01|Poseidon With Demeter 01|Poseidon|La mia cara sorella adottiva Demetra, nonostante il suo atteggiamento severo, scherza spesso con me, nipote! Oh, eccola che arriva!
PoseidonWithDemeter01|Poseidon With Demeter 01|Demeter|Se hai finito di blaterare, Poseidone, il nostro giovane Zagreus ha cose ben più importanti di cui occuparsi. Gli serve la nostra benedizione, non la tua opinione. Dico bene, giovane germoglio?
DemeterWithZeus01|Demeter With Zeus 01|Demeter|Ebbene, mio piccolo germoglio, hai incontrato sia il cosiddetto re dell'Olimpo, che me. Chi diresti che sia il vero sovrano di questa vetta innevata, tra i due?
DemeterWithZeus01|Demeter With Zeus 01|Zeus|Oh, *hah-hah-hah*, Demetra! Il tuo umorismo è tanto asciutto quanto la terra che stai lasciando seccare! Forse dovresti tornare a prendertene cura, dopo che ci saremo occupati del nostro giovane parente!
DemeterWithPoseidon01|Demeter With Poseidon 01|Demeter|Ah, mio tenero virgulto. Stavo giusto informando l'illustre Poseidone che il suo intero regno esiste solo perché ciò mi aggrada; tieni a mente, caro fratellastro, che se lo volessi potrei raggelare i tuoi oceani in un istante.
DemeterWithPoseidon01|Demeter With Poseidon 01|Poseidon|*Ah-hahahah! *Molto eloquente, venerabile dea Demetra! Una volta di più ho riconferma della tua vasta esperienza, sebbene io creda che chiunque preferisca oceani liquidi, non è così, nipote?!
DemeterWithAthena01|Demeter With Athena 01|Demeter|E pensare, mio piccolo germoglio, che la nostra stratega Atena nacque dal capo di Zeus! Non avrei mai creduto che da quella testa potesse emergere un intelletto rispettabile.
DemeterWithAthena01|Demeter With Athena 01|Athena|Ti prego di non badare all'illustre Demetra e al suo bonario umorismo, Zagreus. Lei e mio padre si scambiano spesso battute del genere, anche nei momenti più difficili.
DemeterWithAres01|Demeter With Ares 01|Demeter|Giovane Zagreus, al tuo arrivo sull'Olimpo assicurati di rammentare ad Ares che il suo potere è vano, senza il mio. La guerra necessita di un motivo, e assai sovente sono io a fornirlo.
DemeterWithAres01|Demeter With Ares 01|Ares|Non dubito che il tuo influsso sia di sprone all'impulso guerresco dei mortali, o dea Demetra. Se non altro, concordiamo entrambi che i nostri campi d'azione siano compatibili!
