Id|Description|Speaker|Text
AresWithDionysus01|Ares With Dionysus 01|Ares|Ah, diletto congiunto! Stavo giusto ponendo all'illustre Dioniso il seguente quesito: in quali circostanze si svolgono i più grandiosi banchetti dei mortali? Penso di conoscere già la risposta...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Ma sì, ma sì, Ares, te lo concedo: non c'è banchetto migliore di quello dopo una guerra! A patto di essere tra i sopravvissuti, ovvio! In caso contrario, immagino che finiscano col banchettare con *voi *laggiù, Zag!
ArtemisWithDionysus01|Artemis With Dionysus 01|Artemis|Oh, bene, sei tu, Zagreus! Tieni, lascia che ti offra qualche nuovo Dono insieme al nobile Dioniso, che di sicuro avrà piacere di stordirti di chiacchiere al mio posto!
ArtemisWithDionysus01|Artemis With Dionysus 01|Dionysus|*Eh*, mi dice che parlo a voce troppo alta, di lasciarla in pace, un sacco di cattiverie del genere. Che ci vuoi fare, dico bene?
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|I miei talenti vanno spesso a braccetto con quelli di Dioniso, tesorino, visto il suo potere di spingere la mente a scorgere beltà dove non ve n'è alcuna!
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Dionysus|*Ah-ahah*! non c'è bisogno di adularmi, dama Afrodite! La bellezza è negli occhi di chi guarda, dico io! E nei muscoli, nel mento, nel sorriso accattivante... e, be', insomma, che te lo dico a fare, ho ragione?
DionysusWithZeus01|Dionysus With Zeus 01|Dionysus|Ehi Zag, papà è qui e vorrebbe parlarti, tu mantieni la calma e annuisci, d'accordo?
DionysusWithZeus01|Dionysus With Zeus 01|Zeus|Quel Dioniso è sempre troppo generoso con le presentazioni, ma almeno mi mostra il rispetto che merito. Magari un giorno potrà istruirti circa le usanze dell'Olimpo.
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|*Ah*, Zag, *ehm*... tuo zio vuole dirti due parole. Non papà, *ehm*, l'altro, intendo dire, e insomma, vuole farti un saluto, sapere come stai, perciò...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|*Ah-hah*, eccoti qui infine, nipotino! Dioniso si sta mettendo in bella mostra, è così? Se vuoi far festa davvero, però, è con *me *che devi accompagnarti! E ora *va'*, con la mia benedizione!
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|*Oh*, a ogni modo noi siamo qui ad aspettarti, bello! Siamo più che certi che ce la farai, sai... prima o poi?
DionysusWithAthena01|Dionysus With Athena 01|Dionysus|Ehi, Zag, non appena arrivi quassù si farà festa, bello mio! Persino Atena si lascerà un po' andare, si scioglierà i capelli, capisci cosa intendo, si metterà qualcosa di più comodo, sì, sarà una cosa da *paura*!
DionysusWithAthena01|Dionysus With Athena 01|Athena|Può darsi che tra noi sia Dioniso il vero stratega, dato che sembra conoscere con tanto anticipo la mia prossima mossa. In ogni caso, cercherò di restare concentrata sulle tue necessità, anziché sul suo festino.
