Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|*Oh*! Il principe in persona, v-voi, volete parlare con... me?! Oh, wow, *oh wow!!*
DusaFirstMeeting|Dusa First Meeting|Zagreus|Io, *ah*, volevo solo dirti che la sala comune sembra come nuova, anzi... meglio! Spero non ti sia stato troppo disturbo sistemarla.
DusaFirstMeeting|Dusa First Meeting|Dusa|I-i-io, *aah*, devo andare a pulire il soffitto, io...!
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|Io, *ah*, vi auguro un soggiorno gradevole! Anche se non desiderate più vivere qui, Altezza!
DusaMiscMeeting02Extra|Dusa Misc Meeting 02 Extra|Zagreus|*Ehm*, Dusa? A quanto pare può darsi che continui a farmi vivo di tanto in tanto, come adesso. Ma... non disturbarti a riordinarmi la stanza, per favore. Non mi fermerò a lungo.
DusaMiscMeeting02Extra|Dusa Misc Meeting 02 Extra|Dusa|Oh, *ahahah*, d'accordo! Ma darò comunque uno sguardo al livello di disordine ogni tanto, in caso cambiaste idea. Ehm, allora, arrivederci!
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|*Ehm, Altezza*? C-credo che vostro padre sia piuttosto in collera al momento, perciò, ecco... girategli al largo, magari? O-oppure... potrei dirgli che vi trovate altrove?
DusaMiscMeeting03|Dusa Misc Meeting 03|Zagreus|È tutto a posto, Dusa. Non ho paura di lui, e neanche tu dovresti averne. Sei il miglior aiuto che sia mai riuscito a trovare.
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|S-sto, *ehm*, solo facendo il mio dovere, Altezza...!
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|Oh, *ehm*, ah, salve, Altezza! C'è qualcosa che posso fare per voi? Qualcosa da riordinare, magari, o... gradite forse qualcosa da bere? Se non ora, magari più tardi?
DusaMiscMeeting04|Dusa Misc Meeting 04|Zagreus|*Oh*! Sì, bere qualcosa insieme mi sembra un'idea magnifica, Dusa. Magari domani, se non riesco ad andarmene prima...?
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|*Eeeh*? Non intendevo... cioè, ecco, dimenticate tutto, per favore, scusate, addio!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|Ehm, *ah*, volevo scusarmi, perché... credo di non essermi comportata in modo appropriato, al nostro ultimo incontro. Amo questo lavoro con tutta me stessa, e prometto che farò sempre del mio meglio, perciò spero di avere un'altra occasione...?
DusaMiscMeeting05|Dusa Misc Meeting 05|Zagreus|Dusa, ti prego, non hai motivo di scusarti! Stai facendo un ottimo lavoro, davvero!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|Io... *cosa*? Non dite per scherzo, vero, Altezza? Io, oh... grazie, grazie mille!!
DusaPostFlashback01|Dusa Post Flashback 01|Dusa|Oh, *ehm*, salve... Vostra Altezza? V-vorrei che sapeste che, se riuscirete a uscire, mi... ehm, mancherete a tutti, ecco. Ok? Be', arrivederci...!
DusaDate01|Dusa Date 01|Zagreus|*Ehm*, signorina Dusa? Vorrei, *ah*, invitarti nella sala comune, se ti va? Ricordi quando mi hai chiesto se volevo bere qualcosa?
DusaDate01|Dusa Date 01|Dusa|*Aaah! *O-oh! D-davvero? Proprio ora, volete dire? I-io, ecco, i-in effetti è da un pezzo che non mi prendo una pausa...
DusaDate01|Dusa Date 01|Dusa|...E perciò, ecco, visto che non sono proprio una gorgone classica, non avendo un corpo, eccetera, ho faticato a trovare impiego! Almeno finché non sono stata accolta dal Sommo Ade e, be', ho incontrato voi, e... insomma, adoro questo lavoro!!
DusaDate01|Dusa Date 01|Zagreus|*Oh*! Capisco benissimo almeno la metà di ciò che provi.
DusaDate01|Dusa Date 01|Dusa|*<Sospiro> *I-io, io... g-grazie, Vostra Altezza. Principe. Principe Zagreus!
DusaDateAftermath01|Dusa Date Aftermath 01|Dusa|*Ehm*, A-Altezza, a volte mi sembrate così triste, quando riemergete dalla Vasca dello Stige... è tutto a posto? Perché se posso fare qualcosa, io...
DusaDateAftermath01|Dusa Date Aftermath 01|Zagreus|Oh, non è nulla di cui tu debba preoccuparti, Dusa. Sto solo facendo più fatica del previsto ad aprirmi una strada fuori da questo maledetto posto, se puoi scusare il mio linguaggio.
DusaDateAftermath01|Dusa Date Aftermath 01|Dusa|*Oh*, io... è sciocco, lo so, ma non credevo ci fosse qualcuno in grado di battervi, insomma... il *principe*! Più forte del grande Achille, più astuto di suo padre, più rapido di Ermes! E invece... anche voi avete problemi, proprio come me?
DusaDateAftermath01|Dusa Date Aftermath 01|Zagreus|Proprio così. E tutta quella roba che hai sentito sul mio conto non è per niente vera.
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|... argenteria riordinata, ripiani lucidati, candele sostituite, piatti lavati, pavimenti spazzati, barili ispezionati, vediamo, che altro... *oh*!! Il principe! Siete proprio voi!
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Zagreus|Sono proprio io! Dusa, sono colpito dal fatto che tu sia in grado di gestire questa sala comune tutta da sola. Qual è il tuo segreto?
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|*Ahahah*, segreto? Sono indietro sui lavori di due settimane, almeno! Per fortuna nessuno da queste parti dà molto peso al passare del tempo, e così non mi hanno ancora beccata... oh! Non è che farete la spia, vero?
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Zagreus|Certo che no. Su che cosa saresti indietro, poi? Questo posto non mi sembra più sgangherato del solito.
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|Be', è proprio questo il punto! La signorina Nyx mi assegnò a suo tempo il compito di rendere questo posto *degno del suo nome*, il che vuole dire che... c'è così tanto ancora da fare! Dev'essere tutto in ordine, chiedo scusa, devo andare, Altezza!
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Dusa|... ricucire i cuscini, aggiornare il menù, pulire la stufa, rifornire il bar, sbattere i tappeti, spolverare i soffitti, lucidare i pavimenti, pagare il Mediatore... oh!! Ehm, scusate, Altezza, sono molto indietro con le faccende, perciò, se non vi spiace...?
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Zagreus|Dusa! Aspetta, prima che tu voli via... deve pur esserci qualcosa che io possa fare per aiutarti con tutto questo? Per quanto tu sia straordinaria, la mole di lavoro di cui parli è più di quanto possa svolgere un solo individuo!
