Id|Description|Speaker|Text
HermesSecondPickUp|Hermes Second Pick Up|Hermes|Che si dice laggiù, cuginetto? Posso chiamarti così? Ho qui per te una cosa che dovrebbe rendere le tue battaglie all'ultimo sangue molto più spedite!
HermesExpectingZeus01|Hermes Expecting Zeus 01|Hermes|Scusa, capo, papà aveva questioni urgenti di cui occuparsi. Ci sono io, però! E ora che ti ho recapitato il messaggio, prendi anche questo.
HermesExpectingPoseidon01|Hermes Expecting Poseidon 01|Hermes|Sono qui per dirti che Poseidone è in arrivo, capo. A volte è un tantino lento. Ma vedrai che riuscirete a incontrarvi, alla fine!
HermesExpectingAthena01|Hermes Expecting Athena 01|Hermes|Aspettavi qualcun altro, capo? Una certa mia sorellastra, magari? Be', ti è andata male: sono arrivato prima io. Vuoi uno di questi, oppure no?
HermesExpectingAres01|Hermes Expecting Ares 01|Hermes|Appena ho sentito che volevi incontrare Ares, capo, sono accorso più in fretta che ho potuto! Non riuscirà mai a battermi sul tempo. Con quell'armatura addosso, poi!
HermesExpectingAphrodite01|Hermes Expecting Aphrodite 01|Hermes|Afrodite ha detto che arriverà un po' in ritardo, cuginetto, ma sono certo che capirai. E poi, ci sono qui io, no? Con lo spirito, a ogni modo.
HermesExpectingArtemis01|Hermes Expecting Artemis 01|Hermes|Volevo farti sapere che mia sorella Artemide ti sta cercando. Dovresti imbatterti in lei da un momento all'altro, ormai!
HermesExpectingDionysus01|Hermes Expecting Dionysus 01|Hermes|Temo che stavolta Dioniso non sia potuto venire, capo. Anche se la puntualità non è davvero mai stata il suo forte.
HermesExpectingDemeter01|Hermes Expecting Demeter 01|Hermes|Quel freschetto che ti aspettavi non viene da Demetra stavolta, capo! Ero solo io che ti sfrecciavo accanto. Produco una gradevole brezza, a quanto mi dicono!
HermesBeatCharonQuestComplete|Hermes Beat Charon Quest Complete|Hermes|Ce l'hai fatta, cuginetto! A suonarle al mio coriaceo socio in affari, intendo, che si ritiene piuttosto temibile anche tra gli dèi dell'Oltretomba! Non era del tutto certo che tu avessi i numeri per farcela, e in tutta onestà, nemmeno io!
HermesAboutPlume02|Hermes About Plume 02|Hermes|Ehi, sembra che quella piuma luccicante ti stia tornando utile, ho ragione? Continua così, e forse un giorno sarai veloce quasi la metà di me!
HermesAboutSkelly01|Hermes About Skelly 01|Hermes|Io ho la vista acuta, capo, e non ho potuto fare a meno di notare quel dente che ti porti appresso. So che vieni dalla terra dei morti, ma non ti sembra comunque un po' strano, come accessorio?
HermesAboutPersephoneMeeting01|Hermes About Persephone Meeting 01|Hermes|Ho saputo che ce l'hai finalmente fatta, cuginetto! I miei più vivi complimenti. Bravo! Il tuo segreto è al sicuro con me, ovviamente! Gli altri quassù credono che tu stia continuando come al solito. Ed è così, in effetti!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Ho sentito dire che una certa dea è tornata a casa, lì da voi, cugino! La chiamerei una splendida notizia, se non fosse che {#DialogueItalicFormat}non è {#PreviousFormat}una notizia; non ancora! Ma se mai volessi spargere la voce, sai chi chiamare!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Perciò, {#DialogueItalicFormat}tu {#PreviousFormat}continuerai a evadere da lì, ancora e ancora, così che {#DialogueItalicFormat}tuo padre {#PreviousFormat}possa trovare nuovi modi di rendere la fuga più impossibile, ho capito bene? Lavoretto interessante, cugino!
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Zagreus|Stavolta tocca a me giocare al messaggero. Nel nome di Ade! Olimpo, questo è un messaggio ufficiale! Ci sei, dio Ermes? Sono arrivato più in fretta che ho potuto.
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Hermes|Però, a quanto pare hai una missiva apposta per {#DialogueItalicFormat}me {#PreviousFormat}stavolta, che cosa speciale, eh, capo? Un qualche genere di invito, si direbbe. Sei sicuro che sia io il destinatario, visto che non sono ufficialmente coinvolto?
