Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|Benvenuto alla Dimora di Ade, dove... ehi, ma io ti {#DialogueItalicFormat}conosco{#PreviousFormat}! Se sei qui, vuol dire che sei morto là fuori, eh? Be', non prendertela. Capita quasi a chiunque di lasciarci la pelle, prima o poi!
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|Oh! Ehi. Ti chiederei com'è andata, ma dato che sei di nuovo qui, immagino di saperlo già, no? Be', entra pure!
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|Ah, bene! Già di ritorno, eh? Da queste parti ci siamo messi a scommettere su quanto saresti durato là fuori, e io ero {#DialogueItalicFormat}sicuro {#PreviousFormat}che saresti tornato in un {#DialogueItalicFormat}baleno{#PreviousFormat}!
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|Oh, ehilà! {#DialogueItalicFormat}Ehm{#PreviousFormat}, cioè, bentornato... di nuovo! Va' pure avanti! Penso che tuo padre sia furente per non so cosa.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|Wow, sei già morto almeno {#DialogueItalicFormat}cinque volte{#PreviousFormat}, giusto? Morire fa bene all'ecosistema quaggiù, perciò, ehm, grazie! Stai contribuendo a rendere l'Oltretomba un posto migliore!
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|Ottimo! Allora basta che continui così e andrà tutto per il meglio.
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|Fissare la Vasca dello Stige è divertente, sai? Amo vedere il sangue che si increspa, e in più, ogni tanto esce fuori qualcuno, proprio come hai fatto tu! Solo staff e ospiti d'onore, però. Io aggiorno il registro, e mi assicuro che il loro soggiorno sia gradevole!
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|{#DialogueItalicFormat}Ooh{#PreviousFormat}, stavolta eri arrivato fino ai Prati d'Asfodelo, eh? Grande! Insomma, poi sei morto comunque, ma non così in fretta come al solito, perciò... è già qualcosa, no?
HypnosRunProgress01_A|Hypnos Run Progress A 01|Hypnos|Ehi, wow, ce l'hai fatta! Stando alla mia lista sei morto, vediamo un po'... cinquanta volte {#DialogueItalicFormat}almeno{#PreviousFormat}! Più di chiunque altro da queste parti, ho idea!
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|Ehi, lascia che sia il primo a dirtelo: {#DialogueItalicFormat}congratulazioni{#PreviousFormat}! Sei morto ben cento volte da quando tengo il punteggio... ehm, il conto, voglio dire. Non vinci nulla, sia chiaro, ma il viaggio in sé è già una ricompensa o qualcosa del genere, no?
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|Non ci crederai mai, è una notiziona! Sei pronto? Tre... cento... {#DialogueItalicFormat}volte{#PreviousFormat}!! Esatto! Ecco quante volte sei morto! È tipo... un intero villaggio colpito da un terremoto, ma ogni singolo abitante eri tu!
HypnosRunProgress03|Hypnos Run Progress 03|Hypnos|Oh, non ci credo... ma la mia lista non mente mai! E qui dice che sei morto {#DialogueItalicFormat}cinquecento {#PreviousFormat}volte in tutto! {#DialogueItalicFormat}Cinquecento{#PreviousFormat}!! Non mi viene neanche in mente un numero più grosso!
HypnosMegDefeated01|Hypnos Meg Defeated 01|Hypnos|Di solito vegliare sulla Vasca dello Stige è piuttosto noioso, ma ultimamente c'è un gran viavai! Per dire, qualcuno è emerso da lì proprio poco fa! Avresti dovuto vedere la mia faccia quando ho realizzato che non eri tu!
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Ehi! Visto che continui a morire, non è che per caso ti sei imbattuto in mio fratello mentre eri in giro? Non lo vedo da secoli, chissà che sta combinando?
HypnosAboutThanatos01|Hypnos About Thanatos 01|Zagreus|So che c'è una grossa guerra in corso, e mio padre ha inviato Thanatos a fare un sopralluogo. Hai ragione, però, è un bel po' che non lo vedo. Ne sono cambiate di cose quaggiù, nel frattempo.
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Eccome! La sala comune ha riaperto i battenti, e poi, ehm... be', in ogni caso! Se vedi mio fratello là fuori, digli che qui abbiamo tutto sotto controllo!
HypnosAboutThanatos02|Hypnos About Thanatos 02|Hypnos|Ehi, hai visto? Mio fratello è tornato! È proprio qui, da qualche parte... credo! Buon vecchio Thanatos. È sempre così impegnato che... non mi rivolge mai la parola! Un po' come tuo padre con {#DialogueItalicFormat}te{#PreviousFormat}, immagino!
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|{#DialogueItalicFormat}Uaaah{#PreviousFormat}! Oh, hah, mi hai fatto prendere un colpo, stavo, sai... ehm... stavo solo...
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|Ehi, ah... insomma, va tutto bene, Hypnos?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|Oh, ma certo! Va tutto alla {#DialogueItalicFormat}grande{#PreviousFormat}. È solo... be', è per via di Thanatos. Ha detto certe cose, e... adesso non sono più tanto sicuro di star dando il massimo, capisci?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|Sono certo che non intendeva ferire i tuoi sentimenti. Aspetta, ma che dico? Lui è sempre stato parecchio duro con te, vero?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|Ehi, e se io non gli stessi più simpatico? Ha altri fratelli con cui parlare!
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|Oh, ehi! Ehm, è piuttosto imbarazzante, ma, ecco, {#DialogueItalicFormat}ah{#PreviousFormat}... grazie! Voglio dire, hai parlato di me con Thanatos, giusto? Mi sembrava che si comportasse in modo strano: è decisamente più gentile con me, ultimamente!
HypnosAboutThanatos04|Hypnos About Thanatos 04|Zagreus|Ma dai, Hypnos, io non c'entro proprio nulla. Da quel che ho visto, ti stai impegnando al massimo e accetti le critiche al tuo lavoro con grande professionalità. Penso che Thanatos apprezzi molto questo genere di cose. Come dargli torto?
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|Non saprei! Ma apprezzo comunque che tu ti sia scomodato per me, insomma... io sto solo qui a salutare e registrare i defunti! Tu, invece... sei proprio un vero amico!
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Hypnos|Ehi, eccoti qui! Senti, ma è proprio vera questa storia fra te e Thanatos?! Perché è venuto a dirmelo e io ho risposto {#DialogueItalicFormat}coooosaaa{#PreviousFormat}? Ma poi ho pensato: ha un sacco senso!
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Zagreus|Sono certo che qualsiasi cosa ti abbia detto è del tutto vera, Hypnos.
HypnosAboutSleeperSeat01|Hypnos About Sleeper Seat 01|Hypnos|Ehi, hai visto? Qualcuno mi ha regalato questa nuova fantastica poltrona per pisolini! Non che intenda sdraiarmi in orario di lavoro! Sono perfettamente in grado di dormire in piedi!
HypnosPostFlashback01|Hypnos Post Flashback 01|Zagreus|Ehi, Hypnos, non è che riusciresti a farmi entrare in quella porta chiusa a chiave in fondo al corridoio?
HypnosPostFlashback01|Hypnos Post Flashback 01|Hypnos|Oh, {#DialogueItalicFormat}ahahah{#PreviousFormat}. Sei in vena di battute, eh? Lo sai che non posso più farti entrare nelle stanze private del capo, visto che hai tradito la sua fiducia e tentato la fuga! Spiacente, ordini dall'alto!
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|Ehi, hai visto?! La regina è tornata! Certo, però, che ce ne ha messo di tempo!
HypnosPostEnding01|Hypnos Post Ending 01|Zagreus|Ehi, vacci piano, Hypnos. È di mia madre che stai parlando!
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|Eh? Sul serio! Ma {#DialogueItalicFormat}dai{#PreviousFormat}! Allora neanche la {#DialogueItalicFormat}tua {#PreviousFormat}mamma passa mai del tempo con te! Abbiamo qualcosa in comune!
HypnosPostEnding02|Hypnos Post Ending 02|Hypnos|Aspe', aspe' aspe', cos'è questa storia che tu {#DialogueItalicFormat}lavori {#PreviousFormat}qui, adesso? Pensavo ti avessero licenziato, e che fosse per questo che te n'eri andato!
HypnosPostEnding02|Hypnos Post Ending 02|Zagreus|Hypnos... credi davvero che io sia morto tutte queste volte solo perché ero triste per essere stato licenziato?
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Hypnos|Ho sentito che la festa che avete dato qui è stata davvero uno spettacolo! Tutti gli dèi riuniti nello stesso posto, a mangiare, bere e non uccidersi a vicenda! Mi sarebbe piaciuto vederlo.
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Zagreus|Avresti dovuto esserci, Hypnos! Non che io abbia notato la tua assenza, ma... cos'è successo? Avevi altre faccende da sbrigare?
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Hypnos|Ho dormito tutto il tempo!
HypnosAutograph01|Hypnos Autograph 01|Zagreus|Ehi, Hypnos. Questo è per tutti i benevoli consigli che mi hai dato. È un ricordino da un certo mostro sovradimensionato con la testa di toro e un'ascia bipenne al fianco. Spero ti piaccia.
HypnosAutograph01|Hypnos Autograph 01|Hypnos|Cos'abbiamo qui? La calligrafia è un po' confusa, ma dice... no, non ci credo! \"A Hypnos, il mio più grande fan. Resta vigile. Asterio\". C'è... c'è anche il disegnino di un toro. Tu... io... wow. {#DialogueItalicFormat}Wow{#PreviousFormat}!
HypnosConsolation01|Hypnos Consolation 01|Hypnos|{#DialogueItalicFormat}Ooh{#PreviousFormat}, qui dice che un Bruto Reietto ti ha fatto fuori, che peccato! Sono lenti, ma picchiano giù parecchio duro. Hai provato a scansarti?
HypnosConsolation01_B|Hypnos Consolation B 01|Hypnos|Stando alla mia lista, sei stato di nuovo rispedito qui a suon di legnate da uno di quei Bruti Reietti! Quel trucchetto di spostarsi dalla loro traiettoria non ha funzionato, eh...?
HypnosConsolation02|Hypnos Consolation 02|Hypnos|Sembra che una Strega Reietta ti abbia colpito a morte, eh? Mi dispiace per te. Hai provato a colpirle prima tu?
HypnosConsolation02_B|Hypnos Consolation B 02|Hypnos|Sei incappato in una Fattucchiera, eh? Hanno molto più talento di quelle streghe da quattro soldi sparse per il Tartaro, perciò tuo padre le tiene al calduccio su nell'Asfodelo, a quanto pare!
HypnosConsolation02_C|Hypnos Consolation C 02|Hypnos|{#DialogueItalicFormat}Ooh{#PreviousFormat}! Fulminato da un'Ammaliatrice, eh? Il regno di tuo padre è proprio zeppo di streghe, vero? La magia dev'essere parecchio rischiosa per i mortali. E anche per te, a quanto vedo!
HypnosConsolation03|Hypnos Consolation 03|Hypnos|{#DialogueItalicFormat}Aah{#PreviousFormat}, pare che tu sia saltato in aria su una di quelle trappolacce lasciate in giro da un'Urna Reietta, eh? Hai provato a non camminarci sopra, magari?
HypnosConsolation04|Hypnos Consolation 04|Hypnos|{#DialogueItalicFormat}Ooh, wow{#PreviousFormat}, Megera in persona ti ha battuto l'ultima volta, eh? Roba intensa! D'altronde è veloce, e forte, e bella, e... ehm... comunque, spero che le Moire ti trattino meglio, la prossima volta!
HypnosConsolation04_B|Hypnos Consolation B 04|Hypnos|{#DialogueItalicFormat}Hah{#PreviousFormat}, Megera ti ha fatto fuori un'altra volta! È una vera furia quella, eh? Una volta, ho provato a fermarla mentre andava da tuo padre. Non si è neanche girata a guardarmi! {#DialogueItalicFormat}<Sospiro...>
HypnosConsolation04_C|Hypnos Consolation C 04|Hypnos|Sei stato {#DialogueItalicFormat}sbattuto {#PreviousFormat}dalla Furia Megera! {#DialogueItalicFormat}Eh{#PreviousFormat}?! Ho sempre voluto dirlo. Sbattuto, sai, come un uovo? Visto come ti ha strapazzato usando quella frusta, come minaccia di fare anche con me ogni volta che provo a parlarle?
HypnosConsolation05|Hypnos Consolation 05|Hypnos|Sei stato infilzato ben bene da una Trappola Pungente, eh? Che sfortuna! Hai provato a non stare lì impalato quando escono le punte?
HypnosConsolation06|Hypnos Consolation 06|Hypnos|{#DialogueItalicFormat}Ooh{#PreviousFormat}, pare che stavolta sia stata una di quelle Trappole Lanciadardi a farti fuori. Chissà che {#DialogueItalicFormat}male{#PreviousFormat}! Hai provato a ripararti dietro qualcosa?
HypnosConsolation07|Hypnos Consolation 07|Hypnos|{#DialogueItalicFormat}Ohiohi{#PreviousFormat}, pare che un'urna esplosiva ti abbia spappolato in mille pezzi! Ci conserviamo le anime più incarognite, sai, ma se solo le sfiori per sbaglio... {#DialogueItalicFormat}BUM{#PreviousFormat}! Hah!
HypnosConsolation08|Hypnos Consolation 08|Hypnos|{#DialogueItalicFormat}Wooow{#PreviousFormat}, sei stato ucciso da uno di quei Granatieri Esangui! Quegli scheletri sono una forza! Mi ero sempre chiesto che succederebbe se uno se ne stesse fermo ad aspettare che tutte quelle bombe esplodano!
