Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|...Ti ripeto che ti {#DialogueItalicFormat}sbagli{#PreviousFormat}, Asterio! Ti pare che {#DialogueItalicFormat}quello {#PreviousFormat}sia di sangue reale? {#DialogueItalicFormat}Io {#PreviousFormat}lo sono, e non ravviso alcuna somiglianza! Non è che un dio minore, dimenticato e senza nome, nato dalle tenebre e destinato a rimanervi!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|Vi fu un tempo in cui le stesse parole furono rivolte a me, sire. Quante volte abbiamo affrontato questo avversario, ormai? E ogni volta ha lottato con coraggio, a mio parere.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|{#DialogueItalicFormat}Coraggio{#PreviousFormat}?! Nascondersi dietro una colonna tu me lo chiami {#DialogueItalicFormat}coraggio{#PreviousFormat}, Asterio?! Dovremo discutere di questo tuo bizzarro errore di giudizio, dopo aver conquistato la vittoria!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Spero tu sia soddisfatto del tuo operato, essere immondo. Asterio è in collera col sottoscritto, ora! Sostiene che io ti abbia giudicato ingiustamente! Quale {#DialogueItalicFormat}scempiaggine{#PreviousFormat}.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|Tu non mi ascolti, sire. Abbiamo ancora molto da imparare su questo avversario. Ogni volta è diversamente equipaggiato. Armi, abilità divine, eccetera... malgrado i nostri sforzi, è arduo prevedere le sue tattiche.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|E ora insinui perfino che io non sappia come si combatte, Asterio? Nonostante abbia facilmente avuto la meglio su di {#DialogueItalicFormat}te{#PreviousFormat}, nel labirinto?! Basta così, passiamo ai fatti!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Ebbene, insetto! Vieni a sfidarci, se proprio devi, e trai pieno vantaggio dalla discordia che hai seminato! Non siamo più una squadra! Solo due combattenti, per puro caso allo stesso tempo in questa arena.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|Sire, la tua reazione è del tutto eccessiva. Sii ragionevole, e tieni in maggior considerazione il mio punto di vista. Non mi sembra di chiedere troppo.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Mi chiedi l'impossibile! Ma ora basta. Combattiamo... e perdiamo, ne sono certo, poiché se non siamo una squadra, allora che cosa siamo, Asterio...?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|Devi scusare il silenzio del Campione, piccoletto. Non è molto in sé, di questi tempi. Ma sono certo che si batterà comunque con te fino alla morte.
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Zagreus|Ah, meno male! Per un momento mi ero seriamente preoccupato. Magari posso farlo tornare in sé a suon di legnate, che ne dici?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|Non saprei... ci ho già provato. Ma ormai ho imparato a non sottovalutarti. In guardia, allora.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|Ti imploro, Asterio: torna a lottare al mio fianco come un tempo! Perdona le mie recenti trasgressioni. Quell'empio demonio! I suoi subdoli inganni mi fanno ribollire il sangue, o qualsiasi cosa scorra in queste membra spettrali!
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Minotaur|Promettimi una cosa, sire: lasciati alle spalle ogni timore riguardo al nostro legame. Il piccoletto non potrà mai spezzarlo. Nemmeno lo comprende. L'unico a poterlo infrangere sei tu stesso.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|Io... oh, Asterio, amico mio. Capisco, ma certo, certo, hai ragione. {#DialogueItalicFormat}Hai ragione{#PreviousFormat}! Giuro sul mio onore che mai più metterò in dubbio la nostra fratellanza! Né presterò altro ascolto a questa immonda creatura! Insieme, ora e sempre!!
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Guarda, Asterio: è tornato! E questa volta dovremo sconfiggerlo senza l'aiuto della nostra divina armatura! Una degna sfida, non trovi?
TheseusPactReverted01|Theseus Pact Reverted 01|Minotaur|Attento a non sottovalutarlo, sire. Ci ha già dimostrato di sapere il fatto suo.
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Sciocchezze, amico mio! Come si può sottostimare chi non è degno di stima alcuna?! Insieme, ora, {#DialogueItalicFormat}all'attacco{#PreviousFormat}!
TheseusWithAsterius01|Theseus With Asterius 01|Minotaur|È qui, sire. Armatura in attivazione. È una fortuna che il tuo carro sia stato riparato in tempo.
TheseusWithAsterius01|Theseus With Asterius 01|Theseus|Sciocchezze, amico mio! Sconfiggeremmo quest'infima creatura dell'Averno con o senza la protezione aggiuntiva di cui adesso godiamo! All'attacco!
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Theseus|Altolà, demonio! Non muoverai altri passi verso la luce del giorno, finché ci sono io a impedirlo.
