Id|Description|Speaker|Text
NyxFirstMeeting|Nyx First Meeting|Nyx|Non disperare, figlio mio. Simili imprevisti sono inevitabili, e li supererai con la giusta pazienza e dedizione. Hai già preso contatti con la dea Atena. Vedrai che terrà fede al proprio impegno.
NyxFirstMeeting|Nyx First Meeting|Zagreus|Ti credo, Nyx. E ti ringrazio per averci messi in contatto. So che hai corso un rischio notevole, a esporti così.
NyxFirstMeeting|Nyx First Meeting|Nyx|Il rischio non riguarda me. Ma supponevo che si sarebbero interessati alla questione anche da soli, prima o poi. Non rivelare loro più di quanto già sappiano. Siamo intesi?
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Mi allieta poter finalmente discutere con te, figlio mio. E così, la dea Atena ha tenuto fede alla parola data. Tu e lei siete stati saggi a operare con tanta discrezione.
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Non ero io a mettermi a rischio. Era inevitabile che si sarebbero interessati alla questione. L'unica incognita era in qual modo.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Confido che lo Specchio nelle tue stanze sia di tuo gradimento, figlio mio...?
NyxGrantsRespec|Nyx Grants Respec|Zagreus|Più di quanto io potessi immaginare, Nyx. Hai detto che poteva fare anche altro, una volta che ci avessi preso confidenza, giusto? Penso di essere pronto, ora.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Ritengo anch'io che tu lo sia. Sia fatto come desideri, dunque.
NyxMiscMeeting02|Nyx Misc Meeting 02|Nyx|Prima che tu vada, figlio mio... tuo padre è d'umore assai turbato, al momento. Meglio lasciarlo stare.
NyxMiscMeeting04|Nyx Misc Meeting 04|Zagreus|Nyx, forse è una domanda sciocca, ma... hai idea di che cos'abbiano in serbo per me le Moire? Sono figlie tue, no?
NyxMiscMeeting04|Nyx Misc Meeting 04|Nyx|Le tre Moire sono sangue del mio sangue, figlio, questo è vero. Tuttavia, il loro ordito mi è ignoto tanto quanto lo è agli ingenui mortali in superficie. Neppure all'Olimpo è concesso conoscere il disegno del Fato.
NyxMiscMeeting05|Nyx Misc Meeting 05|Nyx|Che la Tenebra ti guidi, figlio. Questa Dimora è ormai troppo piccola per te, questo mi è ora chiaro. Se dovessi tornare, ti terrò al sicuro.
NyxMiscMeeting05|Nyx Misc Meeting 05|Zagreus|Non ti dimenticherò, Nyx. Lo giuro.
NyxBackstory01|Nyx Backstory 01|Zagreus|In qualche modo l'ho sempre saputo. Che... non eri la mia vera madre, intendo. Voglio dire, guarda Hypnos e Thanatos. Non c'è verso che io sia parente {#DialogueItalicFormat}loro{#PreviousFormat}, era sotto gli occhi di tutti, eppure... averne prova certa è stato comunque un colpo.
NyxBackstory01|Nyx Backstory 01|Nyx|A mia volta, ho sempre saputo che prima o poi lo avresti scoperto. E temevo per ciò che sarebbe accaduto una volta giunto il momento. Sono grata che sia già passato. Tuttavia, vorrei sapere... io continuo a chiamarti \"figlio\". Preferiresti che mi astenessi da ciò, d'ora innanzi?
