Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|...Procedi pure, straniero. Là fuori è pieno di anime che non vedono l'ora di scontrarsi con te.
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|Sono solo di passaggio. Tu mi sembri meno battagliero degli altri. Posso chiedere il tuo nome, signore? Io sono Zagreus.
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|I nomi esistono per essere dimenticati, straniero. Non dovresti trovarti qui. Possano le Moire assisterti nel tuo cammino, ma in caso contrario... ecco. Perché non prendi questo?
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|Qualcosa non va, signore? Voglio dire... non dovresti essere là fuori a combattere per eterna gloria e onore, o roba del genere?
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|A quale scopo? Se qualcuno ce lo chiede, diciamo pure di aver già combattuto. A me non interessa. Ora va', e lasciami qui a trascorrere in pace gli infiniti millenni che mi restano. Passa una buona giornata... o nottata che sia.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Ancora all'opera nei Campi Elisi, vedo. Combatti contro i miei compagni d'arme in cerca di gloria, presumo?
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|Veramente sarei diretto in superficie. I tuoi compari mi stanno solo rallentando, che sia per la gloria o per ordine di mio padre.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Tuo padre...? *Ah*, ora capisco. Sei il principe di questo regno, non è così? Sarai ben conscio, allora, di quale sia la tua eredità. Non credo tu abbia destino migliore di chiunque tra noi, qui. Va', ora.
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|Di nuovo tu. Ti ho detto di starmi alla larga. Tuo padre qui è un pezzo grosso, ma per me questo non conta, intesi? Vattene, e digli che può anche gettarmi nelle profondità del Tartaro, per quel che m'importa. Almeno sarebbe più eccitante di questo tedio.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|L'ultima volta sono stato scortese con te, straniero. Perdona la mia avventatezza. Oppure no, come preferisci.
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|Fa niente, signore. Ma se c'è qualcosa che io possa fare per te, ti prego di dirmelo, d'accordo?
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Non hai l'autorità per affrancarmi da questa condizione, temo. Torna pure a occuparti dei tuoi affari, e lasciami ai miei.
