Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Ho dedicato così tanti giorni alla cura di questo giardino... o forse notti? È difficile capire la differenza, quaggiù. Ma si è mantenuto più a lungo di quando mi sarei aspettata...
Ending01|Ending 01|Hades|...Persefone... io...
Ending01|Ending 01|Persephone|Cerbero! Quanto mi sei mancato. Ligio al dovere come sempre, vedo.
Ending01|Ending 01|Hades|...Mi dispiace. Sappi che mi dispiace.
Ending01|Ending 01|Persephone|Ade... hai l'aria stanca. Ma non è a me che dovresti porgere le tue scuse.
Ending01|Ending 01|Hades|Lo so. Lo so, io... perché hai voluto tornare? Se l'Olimpo... se tua madre scoprisse quanto è accaduto, nemmeno Zeus, nemmeno *lui *potrebbe impedire quel che accadrebbe!
Ending01|Ending 01|Persephone|*Oh*, io ho già qualche idea su come risolvere le cose. Ma servirà che tu e Zagreus collaboriate, perché ciò avvenga. A meno che tu non preferisca che io torni da dove sono venuta?
Ending01|Ending 01|Hades|Risolvere le cose? Che vorresti fare, invitarli qui per un sorso d'Ambrosia? Nemmeno tu puoi ricomporre i cocci di un'intera famiglia, Persefone.
Ending01|Ending 01|Persephone|Hai ragione, Ade! Non posso. Di certo, non da sola. Perciò... intendi aiutarmi, o cosa?
Ending01|Ending 01|Hades|...Farei qualsiasi cosa tu mi chieda.
Ending01|Ending 01|Persephone|Quand'è così, parla con tuo figlio, tanto per cominciare.
Ending01|Ending 01|Hades|...*Mm*. Zagreus? Hai già incontrato Persefone, la nostra regina. Mi aspetto che tu le mostri il dovuto rispetto, senza eccezioni!
Ending01|Ending 01|Zagreus|Wow, padre, mi hai chiamato per nome! Che cos'è questa strana sensazione che sto provando? È forse quel \"rispetto\" di cui parli?
Ending01|Ending 01|Persephone|Oh, ma finitela, tutti e due. Non farmi pentire di essere tornata, Ade. Sii sincero con lui. Riguardo a te stesso, non a me. Forza.
Ending01|Ending 01|Hades|Sì. Io... Zagreus. So che vi sono stati momenti... in cui il mio umore ha agito a tuo discapito. Ti ho mostrato scarsa pazienza. Ho messo in dubbio le tue scelte, senza pensare alle mie. Ti chiedo scusa, figlio mio. Non ho scusanti, e non chiedo alcun perdono.
Ending01|Ending 01|Zagreus|E riguardo all'avermi mentito su mia madre, ti scusi anche di questo? Il tuo caratteraccio, il tuo sfogarlo su di me... a questo avevo fatto il callo, ormai. E ti ho detestato, sì. Ma avevo sempre creduto che... fossi onesto, almeno.
Ending01|Ending 01|Hades|Tua madre non venne qui di propria volontà, in origine. Quando partì... credendoti morto... la sua scelta fu definitiva. Pensai che la sua vita sarebbe stata migliore senza tutti noi, Olimpo incluso. Ingannarvi entrambi... mi dilaniò. Ma era la cosa giusta da fare.
Ending01|Ending 01|Zagreus|Be', non c'era alcun bisogno che sfogassi il tuo sentirti dilaniato su di me. Comunque, penso di capire. Vorrei solo aver capito prima. Perciò, ah... che si fa, ora? Sono talmente abituato alle mie scorribande per il tuo reame, che credo mi mancheranno.
Ending01|Ending 01|Hades|A tal proposito... le tue *scorribande *hanno svelato molte falle nella nostra sicurezza, del tipo che non risulta nei rapporti. La nostra fama si fonda sull'impossibilità di evadere. Ti andrebbe di... continuare a farlo? Non per me, ma per il regno. Per la regina.
Ending01|Ending 01|Persephone|Zagreus... se continuerai a tentare di scappare... manterrai le apparenze che nulla sia cambiato, capisci?
Ending01|Ending 01|Zagreus|Una domanda, padre. Poniamo che io accetti. Al mio prossimo sbucare in superficie... ti troverei comunque lì ad attendermi?
Ending01|Ending 01|Hades|Ah, ragazzo mio. Se credi per un solo istante che ti renderò la vita facile d'ora in avanti, ti sbagli davvero di grosso.
Ending01|Ending 01|Zagreus|Perciò, dovrei continuare ad arrampicarmi fino in superficie per ammazzare ripetutamente il mio stesso padre?
Ending01|Ending 01|Hades|Corretto per metà!
Ending01|Ending 01|Persephone|Magari potresti anche occuparti della mia casetta, mentre sei in zona? Il giardino non richiede molte cure, ma mi piacerebbe che restasse tutto in ordine... in caso questo posto mi facesse impazzire.
Ending01|Ending 01|Zagreus|*Ahahah*, be'! Vedrò che posso fare.
Ending01|Ending 01|Persephone|Fa' solo del tuo meglio. Anch'io ho molto lavoro che mi attende, del resto. Tutti noi ne abbiamo, direi. Sarà meglio iniziare, che ne dite?
Ending01|Ending 01|Zagreus|\"Dopo tutto questo tempo\"? Ma se è passato appena qualche giorno! È andata bene, comunque. Mia madre e mio padre sono di nuovo insieme, mi sono fatto qualche nuovo amico, ho questo bel quadro... una passeggiata. Tutto bene nell'Oltretomba!
Flashback05|Flashback 05|Storyteller|*D'un tratto, ecco la lettera... scritta con grafia elegante, da una mano e una voce che il principe non aveva mai visto né udito prima.*
Flashback05|Flashback 05|Persephone|*\"Ade, non posso più tollerare la mia vita in questo luogo. Ho deciso di andarmene, accada quel che accada. Non farò ritorno sull'Olimpo. Se esiste un luogo a cui appartengo, non si trova né tra gli dèi né tra i defunti. Forse è un posto in riva al mare, con un piccolo giardino. Prenditi cura di Cerbero; mi mancherà.\*
Flashback05|Flashback 05|Storyteller|*E così Zagreus, principe degli Inferi, ponderò i contenuti della misteriosa missiva, vergata dalla mano di sua madre.*
Flashback05|Flashback 05|Zagreus|Dalla mano di sua madre, di mia madre, aspetta, *cosa*?! Stai dicendo che questa Persefone è mia... madre...? Ma mio padre ha sempre detto che Nyx... quel bugiardo. Mi ha mentito. L'hanno fatto entrambi. Per tutta la mia vita!
Flashback05|Flashback 05|Storyteller|*Uhhh, ehm, fu così che il principe scoprì, inavvertitamente, il mistero della propria nascita. E fu per un caso del tutto fortuito, che ciò accadde...*
AchillesWithPersephone01|Duo - Achilles and Persephone (1)|Persephone|...Onorata d'incontrarti, prode Achille, nostra guardia reale! Lieta di sapere a chi rivolgermi, se la situazione dovesse prendere una brutta piega. Hai istruito tu mio figlio nell'arte della guerra, dunque?
AchillesWithPersephone01|Duo - Achilles and Persephone (1)|Achilles|È così, Vostra Grazia. Il suo talento mi ha assai colpito. Se solo aveste potuto vedere di persona i suoi progressi, sono certo che ne sareste stata molto fiera.
AchillesWithPersephone01|Duo - Achilles and Persephone (1)|Persephone|Ma io *sono *fiera! Sai, eri già famoso in superficie quando vivevo sull'Olimpo. Non ho dubbi che la tua leggenda sia giunta ancora più lontano, nel frattempo!
AchillesWithPersephone01|Duo - Achilles and Persephone (1)|Achilles|Oh, ne dubito... ma grazie per le gentili parole, Vostra Grazia.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Nyx|...Persefone, mia regina... è passato troppo tempo. Ma il tempo è stato molto gentile con te, vedo. È un onore rivederti.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Persephone|Oh, ti prego, Nyx! Niente formalità tra noi, va bene? È bello anche per me vederti, amica mia. Le giornate in superficie erano assai diverse, ma le notti... quelle mi ricordavano i momenti trascorsi quaggiù.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Nyx|Momenti felici, voglio sperare.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Persephone|Momenti felici, senza dubbio! Agli altri preferisco non pensare!
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Nyx|Siamo tutti lieti di riaverti qui. Temo tuttavia che sarà difficile, per te, riabituarti alla cosa. Per tutti noi, a dire il vero.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Persephone|Be', essendomi costruita una casetta con le mie sole forze, in superficie, penso di potermela cavare! Un po' come te, no?
ThanatosWithPersephone01|Duo - Thanatos and Persephone (1)|Thanatos|Regina Persefone. Tutti noi siamo entusiasti del vostro ritorno. Se c'è qualcosa che io possa fare per aiutarvi a riacquistare confidenza con la Dimora, non esitate a chiedere.
ThanatosWithPersephone01|Duo - Thanatos and Persephone (1)|Persephone|Oh, grazie infinite, Thanatos! Te lo farò sapere, se mai avessi bisogno di qualcosa. Cielo, quanto sei cresciuto! Mi pare di capire che ti sia preso cura di mio figlio, mentre io ero via?
ThanatosWithPersephone01|Duo - Thanatos and Persephone (1)|Thanatos|Vostro figlio è... più che in grado di badare a sé stesso, a essere sinceri. Ma cerco comunque di dargli una mano, non si sa mai. Domando scusa, ora, mia regina. Qualcuno mi attende in superficie.
ThanatosWithPersephone02|Duo - Thanatos and Persephone (2)|Thanatos|...Grazie della vostra benedizione, regina Persefone. Vostro figlio e io... siamo sempre stati assai legati, ma tutta questa storia ci ha resi inseparabili, oserei dire.
