Id|Description|Speaker|Text
AresWithPoseidon01|Ares With Poseidon 01|Ares|Ebbene, mio infernale consanguineo, debbo dire che a volte vorrei essere in più stretti rapporti con tuo padre, se posso essere del tutto franco. Mio padre e mio zio, qui... hanno inclinazioni troppo distanti dalle mie.
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|Forse se non fossi tanto strambo e facessi uno sforzo per risultare più affabile, Ares, avremmo più cose in comune, tu e io! Se ti servono consigli su come fare, non farti problemi a chiedere!
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|Ormai conoscerai mio padre e mio zio, no, Zagreus? Non so chi tra i due sia peggiore. {#DialogueItalicFormat}Ah{#PreviousFormat}, voglio dire... superiore! Superiore, benché tecnicamente trascorra gran parte del suo tempo in mare, al di sotto dell'Olimpo, dico bene, zio?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|Oh, Artemide, non c'è bisogno che tu mi lodi a tal punto di fronte a Zagreus! E comunque, star dentro, sopra, o sotto il mare non fa differenza, quando si è un dio! Voi due siete ancora giovani! Continuate così, e presto sarete grandi quasi quanto me!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Se c'è una cosa da sapere sulla nostra famiglia, tesorino, è che ognuno di noi ha le proprie piccole stravaganze. Malgrado ciò, restiamo sempre uniti e il nostro amore reciproco non vacilla mai!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Poseidon|Oh-{#DialogueItalicFormat}hoh{#PreviousFormat}! Che cos'abbiamo qui, piccolo Ade? Hai {#DialogueItalicFormat}compagnia{#PreviousFormat}, a quanto vedo! Be', vi lascio soli, allora. Le mie labbra sono più serrate dello scafo di una galea da guerra!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Oh, resta pure, Poseidone! Stavo giusto spiegando quanto tu sia idiota, ma una dimostrazione pratica vale più di mille parole! A ogni modo, caro, che stavo dicendo...?
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Ah{#PreviousFormat}, Zag, {#DialogueItalicFormat}ehm{#PreviousFormat}... tuo zio vuole dirti due parole. Non papà, {#DialogueItalicFormat}ehm{#PreviousFormat}, l'altro, intendo dire, e insomma, vuole farti un saluto, sapere come stai, perciò...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|{#DialogueItalicFormat}Ah-hah{#PreviousFormat}, eccoti qui infine, nipotino! Dioniso si sta mettendo in bella mostra, è così? Se vuoi far festa davvero, però, è con {#DialogueItalicFormat}me {#PreviousFormat}che devi accompagnarti! E ora {#DialogueItalicFormat}va'{#PreviousFormat}, con la mia benedizione!
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Oh{#PreviousFormat}, a ogni modo noi siamo qui ad aspettarti, bello! Siamo più che certi che ce la farai, sai... prima o poi?
AthenaWithPoseidon01|Athena With Poseidon 01|Athena|Quando ho informato della tua esistenza il mio regale padre e il resto della famiglia, Zagreus, è stato nostro zio Poseidone il primo a scattare in piedi e a mettere il suo dominio sul mare e sulla terra al tuo servizio. Dico bene, zio?
AthenaWithPoseidon01|Athena With Poseidon 01|Poseidon|La memoria non ti tradisce, Atena! Non capita tutti i giorni di scoprire che il mio tetro fratello Ade ha prodotto un erede tanto degno! Non si rende conto di quanto gli sia andata bene! E a {#DialogueItalicFormat}te{#PreviousFormat}, nipote, andrà ancora meglio {#DialogueItalicFormat}quassù{#PreviousFormat}!
PoseidonWithZeus01|Poseidon With Zeus 01|Poseidon|E così, piccolo Ade, hai incontrato mio fratello Zeus, talvolta noto come re di tutti gli dèi! Benché, sotto molti aspetti, non sia potente quanto me! Né tanto affascinante. Voglio dire, io... {#DialogueItalicFormat}oops{#PreviousFormat}--!
PoseidonWithZeus01|Poseidon With Zeus 01|Zeus|Sai, fratello... ti facevo abbastanza saggio da non sparlare sul mio conto. So che la comune cortesia ti è alquanto estranea, ma fossi in te baderei a quel che dici in presenza del nostro caro nipote.
PoseidonWithZeus01|Poseidon With Zeus 01|Poseidon|{#DialogueItalicFormat}Ah{#PreviousFormat}, {#DialogueItalicFormat}ehm{#PreviousFormat}, come stavo dicendo, piccolo Ade: mio fratello Zeus è il re di tutti gli dèi! Il più maestoso, possente e, ehi, diciamolo, il più {#DialogueItalicFormat}divino {#PreviousFormat}di noi tutti!
PoseidonWithAthena01|Poseidon With Athena 01|Poseidon|Avrai ormai capito che siamo una famiglia di gente molto sveglia, piccolo Ade! E mia nipote Atena è la più sveglia fra noi. Non diresti mai che non abbia figli propri, dal modo in cui si prende cura di noi tutti!
PoseidonWithAthena01|Poseidon With Athena 01|Athena|Di certo ho ereditato la mia intelligenza da tuo fratello e da te, illustre zio Poseidone. Fra parentesi, è mia opinione che in famiglia vi siano già bambini più che a sufficienza, senza bisogno di produrne altri, per il momento.
PoseidonWithAres01|Poseidon With Ares 01|Poseidon|Allora, piccolo Ade! Saprai già che ho altri nipoti quassù, dico bene? Il dio della guerra Ares, tanto per fare un esempio! E molte guerre celebri si sono svolte per mare, non è forse vero?
PoseidonWithAres01|Poseidon With Ares 01|Ares|È certamente vero, diletto zio Poseidone. I mortali sfoggiano grande ingegno nel campo della guerra; essa sprona il loro progresso più di ogni altra cosa. Chissà, forse un giorno si daranno battaglia perfino nei cieli di mio padre.
PoseidonWithArtemis01|Poseidon With Artemis 01|Poseidon|Di me devi sapere, nipote, che quassù vado d'accordo con tutti, nessuno escluso! Un talento raro, a quanto pare! Prendi mia nipote Artemide: non sa stare neppure al più innocuo scherzo! Non ti sarà facile trovare marito con un broncio simile, ragazza!
PoseidonWithArtemis01|Poseidon With Artemis 01|Artemis|Oh, sarebbe una disgrazia, non farmici pensare, zio. Mi chiedo quale può mai essere la causa di questo mio perpetuo malumore. Forse lo sa Zagreus, che ne dici?
PoseidonWithArtemis01|Poseidon With Artemis 01|Poseidon|{#DialogueItalicFormat}Ahahah{#PreviousFormat}! Visto che intendo, nipote?
PoseidonWithDemeter01|Poseidon With Demeter 01|Poseidon|La mia cara sorella adottiva Demetra, nonostante il suo atteggiamento severo, scherza spesso con me, nipote! Oh, eccola che arriva!
PoseidonWithDemeter01|Poseidon With Demeter 01|Demeter|Se hai finito di blaterare, Poseidone, il nostro giovane Zagreus ha cose ben più importanti di cui occuparsi. Gli serve la nostra benedizione, non la tua opinione. Dico bene, giovane germoglio?
