Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Sarò sincero, amico. Sei entrato nelle grazie di qualcuno che sta ai piani alti, e... questo qualcuno ha una piccola proposta per te, mi segui?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Fammi indovinare... devo letteralmente ammazzarmi fino ai confini dell'Oltretomba, usando il Patto della Pena nelle mie stanze per rendere il tutto ancora più insidioso, e alla fine, se ne esco vivo, mi premieranno con qualche inutile cianfrusaglia?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Sbagliato! Stiamo parlando di qualcosa di davvero grosso, amico... la vedi quella cosa laggiù? \"Cianfrusaglia\". Cos'è, hai paura?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Lo sapevo che ce l'avresti fatta, amico. Ti piace il tuo nuovo premio? \"Patto della Pena\", fammi il {#DialogueItalicFormat}piacere{#PreviousFormat}! Che differenza vuoi che faccia? Ovviamente quella lì è la più facile da ottenere, mi sa che avrei potuto guadagnarmela pure io.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Aspetta, fammi capire. Mi sono spaccato la schiena per tutto l'inferno e ritorno, e il mio premio è... una tua statua? Non fraintendermi, è uno schianto, ma... non so cosa mi aspettassi.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Senti, bimbo, c'è stato un piccolo disguido quando abbiamo fatto l'ordine, va bene? Gli avevo chiesto una statua che mi mettesse in buona luce coi miei committenti, e questo è il risultato. Ma le altre sono venute molto meglio, vedrai!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Skelios, fammi capire una cosa. Hai sul serio commissionato tre statue praticamente identiche con sopra la tua faccia solo per indurmi a usare il Patto della Pena?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|Ehi, qui mi offendi, amico! Ancora non hai visto la terza, e allora come puoi insinuare una cosa del genere?! Forse mi sbagliavo su di te. Credevo davvero che tu fossi il prescelto!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Stai solo cercando di ottenere le mie scuse in modo da poter sbloccare l'ultima di tre statue identiche, vero?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|{#DialogueItalicFormat}Come puoi dire{#PreviousFormat}...? Guarda, me le farei rimborsare seduta stante, se solo potessi muovermi! E se fosse prevista una politica per i rimborsi.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Ascolta, mi spiace di aver fatto un casino con le tue statue, bimbo. Sul serio. Quando le ho viste, mi è venuto il panico. Ma poi ho pensato: tanto non le vedrà mai, no? E così ho fatto finta di niente, sai.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Zagreus|Non avresti dovuto sottovalutarmi, amico. Ma... non avrei dovuto parlar male delle tue statue. Devi esserti preso un bel disturbo, per farle arrivare fin qui.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Oh, puoi dirlo forte, amico! Allora che dici, siamo pari? Insomma, ne abbiamo passate tante, tutti e due! Ho imparato molto da questa esperienza, e ora ci capiamo un po' meglio, no?
SkellyFirstMeeting|Skelly First Meeting|Skelly|Bel posticino hai qui, bimbo! Come va? Il mio nome è Skelios. Ma basta coi convenevoli! Sono qui per lavorare, io. Perciò, be', fatti sotto! Fammi vedere che sai fare!!
SkellyFirstMeeting|Skelly First Meeting|Zagreus|Non rammento d'aver visto il tuo nome sul libro paga. Chi è il tuo supervisore?
SkellyFirstMeeting|Skelly First Meeting|Skelly|{#DialogueItalicFormat}Oh-hoh{#PreviousFormat}, io non faccio nomi, amico! Neanche se mi prendi a botte. Provaci, dai!
SkellyMiscMeeting01|Skelly Misc Meeting 01|Zagreus|Immagino di non poterti convincere a reagire, stavolta?
SkellyMiscMeeting01|Skelly Misc Meeting 01|Skelly|Neanche per sogno, bimbo! Mi pagano per prenderle, non per darle! E allora dammele, su!!
SkellyMiscMeeting02|Skelly Misc Meeting 02|Skelly|Ehi, mica male. Sei migliorato, amico! Anche mi pagano apposta per dirtelo! Però non mi pagano per non dirti quell'ultima parte...
SkellyMiscMeeting02|Skelly Misc Meeting 02|Zagreus|Senti, devi proprio spiegarmelo: che te ne fai di uno stipendio, in ogni caso?
SkellyMiscMeeting02|Skelly Misc Meeting 02|Skelly|Questi, amico, sono soltanto affari miei! E comunque, non sta bene parlare sempre di soldi. Riprendi a pestarmi fino a ridurmi in polvere, piuttosto!
SkellyHintMeeting01|Skelly Hint Meeting 01|Skelly|Fatti dare un consiglio, bimbo. Se incontri un tizio come me là fuori, ficcagli un coltello nella schiena senza pensarci due volte, prima che ti rispedisca in lacrime dal tuo paparino.
SkellyHintMeeting02|Skelly Hint Meeting 02|Skelly|Devo ammettere che stai diventando forte, bimbo. Forte abbastanza da sbattere uno come me contro il muro e ridurmi in briciole, {#DialogueItalicFormat}bam{#PreviousFormat}! Quando fai a botte, ricorda: le pareti sono tue amiche!
SkellyHintMeeting02|Skelly Hint Meeting 02|Zagreus|Sbattere la gente al muro. Saggio come al solito, amico.
SkellyHintMeeting03|Skelly Hint Meeting 03|Skelly|Ehi, amico, sta' attento a dove butti quelle tue pietruzze! Se le lanci, poi le raccogli, capito? Ma se qualcuno ti dà noia, allora hai il mio permesso di tirargliene una dritta nell'occhio!
SkellyHintMeeting03|Skelly Hint Meeting 03|Zagreus|Penso che mirerò perlopiù al torso. Gli occhi sono molto più difficili da colpire, a quanto ne so.
SkellyHintMeeting04|Skelly Hint Meeting 04|Skelly|Sei piuttosto svelto, sai, bimbo? Assicurati solo di usare a dovere quel tuo scatto per disorientare i nemici, invece di startene imbambolato!
SkellyHintMeeting04|Skelly Hint Meeting 04|Zagreus|Scattare a tutto spiano, anziché star fermo. Non è il peggior consiglio che potessi darmi, immagino.
