Id|Description|Speaker|Text
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}Ah, ahahah{#PreviousFormat}! Il momento è infine giunto, Asterio. È qui! Dico bene, spregevole, infima creatura dell'averno? Preparati a essere travolto!!
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Zagreus|Oh, ma è una vera ingiustizia... quello è un Tau-Lambda Macedone con carrozzeria in bronzo! Cosa ci fa un fanfarone come te sul carro più grandioso mai fabbricato?
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}Pah{#PreviousFormat}! Non meriti risposta. Ti basti sapere che io e Asterio siamo stati nuovamente premiati per le nostre gesta, e non esiteremo a usare la nostra meritata ricompensa contro di {#DialogueItalicFormat}te{#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|Intende metterci l'uno contro l'altro, Asterio: lo leggo in quei suoi occhi scompagnati! Non riesco a liberarmi dall'idea che, un giorno o notte di questi, mi ritroverò da solo, mentre tu...? Mentre tu ti schieri al fianco di quel {#DialogueItalicFormat}demone{#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Zagreus|Seriamente, Asterio, considerala una proposta ufficiale. Preferirei di gran lunga averti come alleato, che come avversario. Non sono certo di poter dire lo stesso di Teseo, ovviamente.
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|{#DialogueItalicFormat}Subdolo verme{#PreviousFormat}! Sapevo che avresti impiegato qualche sinistro trucchetto, per sopperire alle tue carenze nell'arte del combattimento! Esistono bassezze alle quali tu non sia disposto a ricorrere?!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|...Ti ripeto che ti {#DialogueItalicFormat}sbagli{#PreviousFormat}, Asterio! Ti pare che {#DialogueItalicFormat}quello {#PreviousFormat}sia di sangue reale? {#DialogueItalicFormat}Io {#PreviousFormat}lo sono, e non ravviso alcuna somiglianza! Non è che un dio minore, dimenticato e senza nome, nato dalle tenebre e destinato a rimanervi!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|Vi fu un tempo in cui le stesse parole furono rivolte a me, sire. Quante volte abbiamo affrontato questo avversario, ormai? E ogni volta ha lottato con coraggio, a mio parere.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|{#DialogueItalicFormat}Coraggio{#PreviousFormat}?! Nascondersi dietro una colonna tu me lo chiami {#DialogueItalicFormat}coraggio{#PreviousFormat}, Asterio?! Dovremo discutere di questo tuo bizzarro errore di giudizio, dopo aver conquistato la vittoria!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Spero tu sia soddisfatto del tuo operato, essere immondo. Asterio è in collera col sottoscritto, ora! Sostiene che io ti abbia giudicato ingiustamente! Quale {#DialogueItalicFormat}scempiaggine{#PreviousFormat}.
