Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Io e le mie sorelle abbiamo avuto modo di discutere, e siamo giunte a un accordo, Zagreus. Come puoi vedere.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megera, Tissi, siete pronte?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*Aaassassinoo*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Tre contro uno. Non mi pare tanto leale, tu che ne dici?
FurySistersUnion01|Fury Sisters Union 01|Megaera|La lealtà non c'entra più nulla, ormai. Ti uccideremo, costi quel che costi. Erinni! *Ora*.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|In guardia, Tisifone. Credo di averti trovato un assassino.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|*Aasssas*sinioooo...
Fury3SisterUnionSingleSis01_A|Fury 3 Sister Union Single Sis 01 A|Tisiphone|*Aaasssasssinooo*...!
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Aaaa... assssassino...*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|Ehi, tu devi essere una delle sorelle di Meg! Piacere di conoscerti, finalmente! Mi chiamo Zagreus. Non \"Assassino\". Decisamente non assassino.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|Assassino... *assssasssinooooooo...!*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|*Ehm*... ascolta, avrò anche fatto alcune cose di cui non vado fiero, ma sono assolutamente certo di non aver assassinato nessuno.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Aaaassssasssinooooooo*...!
Fury3PostEnding01|Fury 3 Post Ending 01|Zagreus|Stavolta sono qui in veste ufficiale, Tisifone, perciò, *ehm*... fammi strada! Anche se immagino che il mio lavoro a questo punto sia lasciare che tu provi a fermarmi, giusto?
Fury3PostEnding01|Fury 3 Post Ending 01|Tisiphone|Aaa, ahh-hah-*hassinioo*...
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Zagreus|Oh, mi dispiace che tu non sia potuta venire alla festa alla Dimora, Tisifone. Non penso fosse il tuo genere di compagnia, comunque... anche se Ares qualche assassinio l'avrà pur commesso, giusto?
