Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Ho dedicato così tanti giorni alla cura di questo giardino... o forse notti? È difficile capire la differenza, quaggiù. Ma si è mantenuto più a lungo di quando mi sarei aspettata...
Ending01|Ending 01|Hades|...Persefone... io...
Ending01|Ending 01|Persephone|Cerbero! Quanto mi sei mancato. Ligio al dovere come sempre, vedo.
Ending01|Ending 01|Hades|...Mi dispiace. Sappi che mi dispiace.
Ending01|Ending 01|Persephone|Ade... hai l'aria stanca. Ma non è a me che dovresti porgere le tue scuse.
Ending01|Ending 01|Hades|Lo so. Lo so, io... perché hai voluto tornare? Se l'Olimpo... se tua madre scoprisse quanto è accaduto, nemmeno Zeus, nemmeno *lui *potrebbe impedire quel che accadrebbe!
Ending01|Ending 01|Persephone|*Oh*, io ho già qualche idea su come risolvere le cose. Ma servirà che tu e Zagreus collaboriate, perché ciò avvenga. A meno che tu non preferisca che io torni da dove sono venuta?
Ending01|Ending 01|Hades|Risolvere le cose? Che vorresti fare, invitarli qui per un sorso d'Ambrosia? Nemmeno tu puoi ricomporre i cocci di un'intera famiglia, Persefone.
Ending01|Ending 01|Persephone|Hai ragione, Ade! Non posso. Di certo, non da sola. Perciò... intendi aiutarmi, o cosa?
Ending01|Ending 01|Hades|...Farei qualsiasi cosa tu mi chieda.
Ending01|Ending 01|Persephone|Quand'è così, parla con tuo figlio, tanto per cominciare.
Ending01|Ending 01|Hades|...*Mm*. Zagreus? Hai già incontrato Persefone, la nostra regina. Mi aspetto che tu le mostri il dovuto rispetto, senza eccezioni!
Ending01|Ending 01|Zagreus|Wow, padre, mi hai chiamato per nome! Che cos'è questa strana sensazione che sto provando? È forse quel \"rispetto\" di cui parli?
Ending01|Ending 01|Persephone|Oh, ma finitela, tutti e due. Non farmi pentire di essere tornata, Ade. Sii sincero con lui. Riguardo a te stesso, non a me. Forza.
Ending01|Ending 01|Hades|Sì. Io... Zagreus. So che vi sono stati momenti... in cui il mio umore ha agito a tuo discapito. Ti ho mostrato scarsa pazienza. Ho messo in dubbio le tue scelte, senza pensare alle mie. Ti chiedo scusa, figlio mio. Non ho scusanti, e non chiedo alcun perdono.
Ending01|Ending 01|Zagreus|E riguardo all'avermi mentito su mia madre, ti scusi anche di questo? Il tuo caratteraccio, il tuo sfogarlo su di me... a questo avevo fatto il callo, ormai. E ti ho detestato, sì. Ma avevo sempre creduto che... fossi onesto, almeno.
Ending01|Ending 01|Hades|Tua madre non venne qui di propria volontà, in origine. Quando partì... credendoti morto... la sua scelta fu definitiva. Pensai che la sua vita sarebbe stata migliore senza tutti noi, Olimpo incluso. Ingannarvi entrambi... mi dilaniò. Ma era la cosa giusta da fare.
Ending01|Ending 01|Zagreus|Be', non c'era alcun bisogno che sfogassi il tuo sentirti dilaniato su di me. Comunque, penso di capire. Vorrei solo aver capito prima. Perciò, ah... che si fa, ora? Sono talmente abituato alle mie scorribande per il tuo reame, che credo mi mancheranno.
Ending01|Ending 01|Hades|A tal proposito... le tue *scorribande *hanno svelato molte falle nella nostra sicurezza, del tipo che non risulta nei rapporti. La nostra fama si fonda sull'impossibilità di evadere. Ti andrebbe di... continuare a farlo? Non per me, ma per il regno. Per la regina.
Ending01|Ending 01|Persephone|Zagreus... se continuerai a tentare di scappare... manterrai le apparenze che nulla sia cambiato, capisci?
Ending01|Ending 01|Zagreus|Una domanda, padre. Poniamo che io accetti. Al mio prossimo sbucare in superficie... ti troverei comunque lì ad attendermi?
Ending01|Ending 01|Hades|Ah, ragazzo mio. Se credi per un solo istante che ti renderò la vita facile d'ora in avanti, ti sbagli davvero di grosso.
Ending01|Ending 01|Zagreus|Perciò, dovrei continuare ad arrampicarmi fino in superficie per ammazzare ripetutamente il mio stesso padre?
Ending01|Ending 01|Hades|Corretto per metà!
Ending01|Ending 01|Persephone|Magari potresti anche occuparti della mia casetta, mentre sei in zona? Il giardino non richiede molte cure, ma mi piacerebbe che restasse tutto in ordine... in caso questo posto mi facesse impazzire.
Ending01|Ending 01|Zagreus|*Ahahah*, be'! Vedrò che posso fare.
Ending01|Ending 01|Persephone|Fa' solo del tuo meglio. Anch'io ho molto lavoro che mi attende, del resto. Tutti noi ne abbiamo, direi. Sarà meglio iniziare, che ne dite?
Ending01|Ending 01|Zagreus|\"Dopo tutto questo tempo\"? Ma se è passato appena qualche giorno! È andata bene, comunque. Mia madre e mio padre sono di nuovo insieme, mi sono fatto qualche nuovo amico, ho questo bel quadro... una passeggiata. Tutto bene nell'Oltretomba!
Flashback05|Flashback 05|Storyteller|*D'un tratto, ecco la lettera... scritta con grafia elegante, da una mano e una voce che il principe non aveva mai visto né udito prima.*
Flashback05|Flashback 05|Persephone|*\"Ade, non posso più tollerare la mia vita in questo luogo. Ho deciso di andarmene, accada quel che accada. Non farò ritorno sull'Olimpo. Se esiste un luogo a cui appartengo, non si trova né tra gli dèi né tra i defunti. Forse è un posto in riva al mare, con un piccolo giardino. Prenditi cura di Cerbero; mi mancherà.\*
Flashback05|Flashback 05|Storyteller|*E così Zagreus, principe degli Inferi, ponderò i contenuti della misteriosa missiva, vergata dalla mano di sua madre.*
Flashback05|Flashback 05|Zagreus|Dalla mano di sua madre, di mia madre, aspetta, *cosa*?! Stai dicendo che questa Persefone è mia... madre...? Ma mio padre ha sempre detto che Nyx... quel bugiardo. Mi ha mentito. L'hanno fatto entrambi. Per tutta la mia vita!
Flashback05|Flashback 05|Storyteller|*Uhhh, ehm, fu così che il principe scoprì, inavvertitamente, il mistero della propria nascita. E fu per un caso del tutto fortuito, che ciò accadde...*
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. *Oh*. Non mi aspettavo di ricevere visite. Stavi solo curiosando in giro, oppure c'è qualcosa che posso fare per te?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...Me ne stavo giusto andando, Zagreus. Dato che a causa tua mi trovavo in zona, ho pensato di venire a riprendermi le mie cose. Devo dire che questo posto l'hai proprio lasciato andare in rovina.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|...Se n'è andata. Fantastico. Meraviglioso! Deduco che ricominceremo a ucciderci a ripetizione, allora.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Hai di nuovo scordato qualcosa nelle mie stanze, Meg?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|No. Dobbiamo parlare, di nuovo. Le mie sorelle sono coinvolte in tutto questo, ora. Stai creando un bel po' di problemi.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Mi dispiace. Mia madre è là fuori, da qualche parte, e io non avrò pace finché non la troverò. Tu non capiresti.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Pensala come vuoi. Quello che sto cercando di dirti è... la presenza delle mie sorelle cambia le cose. Non sono più la sola responsabile.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Di che stai parlando?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Sto dicendo che... so che devi trovare tua madre, Zagreus. Mi è stato assegnato un ruolo in tutto questo, ma vedrò se posso intervenire, in qualche modo.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Meg...! Lei... *ah*.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Lo so. E mi dispiace. Ma questo è qualcosa che devo fare. Tu... non capiresti.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|La sola responsabile... un momento, che intenzioni hai?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|Sto dicendo che... so che stai solo seguendo la tua strada, Zagreus. E io e le mie sorelle cercheremo sempre di fermarti. Ma lo faccio solo perché sono obbligata. Mi capisci?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg... che sorpresa. Di nuovo. Che c'è? Qualche problema? Un attimo. Perché mi guardi in quel modo?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zagreus, non avresti intenzione di piantarla con le tue domande idiote e venire qui, di grazia? Adesso.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Ah, io... intendi proprio... oh...
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Credevo non me l'avresti mai chiesto. Ma sono felice che tu l'abbia fatto.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Ehm, Meg, io... quello che sto cercando di dire è... nessun rancore, vero...?
