Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|Oh, guarda, Zagreus: ecco l'intrepida Atena, prima della mia stirpe a tenderti la mano, nella sua scaltrezza. Tanto pronta all'azione che hai accostato Zagreus ancor prima d'informarmi, mia cara!
ZeusWithAthena01|Zeus With Athena 01|Athena|Padre, vorrei poter risolvere simili questioni con maggior solerzia e discrezione, così che solo le più cruciali giungano al tuo regale orecchio. Benché di certo sia Zagreus che io ti siamo profondamente grati per il tuo intervento.
ZeusWithAres01|Zeus With Ares 01|Zeus|Nipote! Per mia divina autorità, il mio spesso incompreso figliolo, Ares, ti concederà ora un piccolo pegno del proprio potere. Ci sarà utile, vedrai!
ZeusWithAres01|Zeus With Ares 01|Ares|Sarà esattamente come tu dici, padre. I tuoi desideri coincidono coi miei.
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Giovanotto, so che ti piacerebbe incontrare l'avvenente Afrodite faccia a faccia... oppure in altro modo, ma deciderai una volta arrivato! Potrà decidere, non è così, mia cara Afrodite?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|Che cosa odono le mie orecchie, Sommo Zeus?! Mi è parso un commento alquanto sconcio, da parte *tua*! Mi sconvolge che un così fulgido modello di condotta riservi a *me *simili parole!
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|Non appena sarai giunto sull'Olimpo, Zagreus, dovremo trovar modo di accasarti, non ti pare? Sei un buon partito, dopotutto! Troverai che quassù c'è molta scelta, fatte le debite eccezioni... prendi la mia scaltra figlia Artemide: non intende proprio scegliersi un compagno!
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Proprio così, Zagreus: malgrado i molti scolpiti pretendenti che mi pressano in modo imbarazzante per la mia mano, per chissà quale ragione, preferisco di gran lunga passare il mio tempo da sola nei boschi o con le mie amiche ninfe!
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|Qualsiasi cosa tu abbia udito riguardo alla cara Demetra, giovanotto, lascia che ti chiarisca le idee. È vero che è come una sorella, per me, ma solo di nome. Benché i suoi titanici genitori siano incorsi nello stesso fato dei miei.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|Quale inatteso candore da parte tua, Zeus, mio fratello adottivo! Si direbbe quasi che tu ti senta di dire la verità solo quando sai che io sono in ascolto.
ZeusAboutLuciferAspect01|Zeus About Lucifer Aspect 01|Zeus|Come procede il risveglio di Exagryph per mezzo della frase che ti ho impartito, giovanotto? Me ne occuperei di persona, se potessi! Ricorda, è *vedo la tua superba caduta dai cieli alle fiamme*.
