Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|…幾日も、幾夜も、この庭の手入れをして過ごしたわ…もっとも、ここでは昼夜の区別なんてなかったけれど。まだ枯れずに残っていたのね。
Ending01|Ending 01|Hades|…ペルセポネ、その…
Ending01|Ending 01|Persephone|ケルベロス！会いたかった… よしよし、お利口さんね。
Ending01|Ending 01|Hades|…すまなかった。詫びる言葉もない…
Ending01|Ending 01|Persephone|ハデス… ずいぶん疲れた顔をして。\nでも、あなたが謝るべき相手は私だけではないはずよ。
Ending01|Ending 01|Hades|わかっている… だが… なぜ戻ったのだ？\nオリュンポスに… おまえの母御に事のいきさつが\n知れたら、この冥界は、ただでは済まぬ… \nそうなれば、たとえゼウスでも手の打ちようがない。
Ending01|Ending 01|Persephone|私に考えがあるの。ただし、\nあなたとザグレウスにも、協力してもらいますからね。\nそれとも、今来た道を引き返したほうがいいかしら？
Ending01|Ending 01|Hades|考えだと？連中を招いて、アンブロシアでも\n振る舞うつもりか？ペルセポネ、さすがのおまえにも、\nひとたび切れた家族の絆を結び直すことはできぬ。
Ending01|Ending 01|Persephone|ええ、あなたの言うとおりよ。私だけでは無理。\nだから、あなたに協力をお願いしているの。
Ending01|Ending 01|Hades|…おまえが望むならば、\nいかなることにも応じる所存だ。
Ending01|Ending 01|Persephone|なら、まずはザグレウスと話を。
Ending01|Ending 01|Hades|...*うむ*。ザグレウスよ、すでに承知と心得るが、\nペルセポネは、この冥界の王妃だ。\n御前では、礼を欠くことのなきよう。
Ending01|Ending 01|Zagreus|父上に名前で呼んでもらえるなんて！なんとも言えない気持ちです。これが父上の言う、「礼節」というものの作用ですか？
Ending01|Ending 01|Persephone|ふたりとも、やめて！\nハデスも、せっかくの機会を台無しにしないで。\nもっと素直に向き合ってちょうだい。\n私のことではなく、自分のことを話すの。
Ending01|Ending 01|Hades|…ザグレウスよ。私はたしかに、おのれの苛立ちを\nおまえにぶつける嫌いがあった。気長に見守ってやる\nこともせず、おまえの判断を頭ごなしに否定することも\n常であった。みずからの誤った判断を棚に上げ…\n弁解の余地もない。許しを乞うつもりもない。
Ending01|Ending 01|Zagreus|母上について嘘をついたことは、謝ってくれないん\nですか？父上の短気も、怒りのはけ口にされることも、今ではもう慣れっこです。もちろん腹は立ちますけど。\nでも… 父上は、嘘だけはつかないと思っていた。
Ending01|Ending 01|Hades|おまえの母親は、望んで冥界へ赴いたのではなかった。\nその後この地を去った際も、その意志は固かった。私も\nわが元妃は冥界とも、オリュンポスとも、関わらぬのが幸せと考えたのだ。結果ふたりを欺くこととなり、\n私も懊悩した。だが、こうするよりなかった…
