Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|ザグレウス、顔を見られてよかった。近頃は\n多忙を極めているようだが、私で力になれる\nことがあれば、いつでも頼ってほしい。\nとはいえ、私が案ずるまでもなさそうだが。
AchillesGrantsCodex|Achilles Grants Codex|Achilles|亡者との戦いにも、じきに慣れてくるだろう。\n私とも十分稽古を重ねたが、実戦に勝るものはない。\nおまえには、これを渡しておこう。
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|これは… 師匠が大切にしていた、「冥界の書」…！\n受け取れません！
AchillesGrantsCodex|Achilles Grants Codex|Achilles|おまえには、戦いのみならず、歴史を学ぶ心も\n持ってもらいたい。空白のページを埋める仕事を、\n引き継いでほしいのだ。
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|俺が不在の間に、ケルベロスが\n酒場で暴れたそうですね。\nあまり酷く仕置きされていないといいんですが…
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|まるで台風のあとの葡萄畑のような有様だった。\n冥王陛下は当然激怒されたが、飼い犬に怒りを\nぶつけるような方ではない。ただ、デューサは\n気の毒だ… 今、後始末に追われている。
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|やっぱりそうですか… デューサのことは、\n気がかりでした。ただでさえ、父上に\nいつクビにされるかとビクビクしてるのに…
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|最近、館が活気づいてきたように思う。\n古い設備は修繕され、新たな調度品も増えた。\nすべては、おまえの計らいだな？
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|たいしたことはしてませんが、師匠に気に入って\nもらえたなら、よかった。俺は発注するだけで、\n改装作業自体は、宮大工任せですが。
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|だが、費用を負担しているのはおまえだ。この館は\n豪華だが、冥王陛下が手入れに頓着しなくなって\n久しい。住み心地がよくなり、ありがたいことだ。
AchillesMiscMeeting01|Achilles Misc Meeting 01|Achilles|その調子で励め。私は生前、有能な者たちを多数\n目にしてきた。苦境に打ち勝つ素質を備えた者は、\n一目見ればわかる。私の戦いぶりをまねて、\n敵をねじ伏せろ。
AchillesMiscMeeting01|Achilles Misc Meeting 01|Zagreus|かつての師匠のように、戦ってみせます。\nとはいえ、俺の前に立ちはだかる亡者の大半は、\n師匠の手でタルタロスに送られた者でしょうが…
AchillesMiscMeeting02|Achilles Misc Meeting 02|Zagreus|中庭で武具を見つけたんですが、\n誰かからの贈り物でしょうか？\n誰に礼を言うべきか、師匠はご存じですか？
AchillesMiscMeeting02|Achilles Misc Meeting 02|Achilles|心当たりはないが…\nもしわかったら、私から伝えておこう。
AchillesMiscMeeting03|Achilles Misc Meeting 03|Achilles|ザグレウス、おまえの敵は、亡者の群れでも、\n冥王陛下でもない。この冥界そのものだ。\n足を踏み入れるたびに区画の配置が変わり、\nなんぴとも逃がさぬ仕組みになっている。\nおまえも気づいているだろう。
AchillesMiscMeeting03|Achilles Misc Meeting 03|Zagreus|冥界そのものが、敵… か。\n不意を突かれないよう、気を引き締めて進みます！
AchillesMiscMeeting04|Achilles Misc Meeting 04|Achilles|おまえの居室の外に並ぶ、封印されし武具の数々…\nあれを持ち出しても、冥王陛下は気づかぬだろう。\nあの方にとっては、兄弟、姉妹たちと肩を並べ戦った\n日々を想起させる遺物… 今となっては、見るのも\n疎ましいはずだ。おまえが引き継ぐにふさわしい。
AchillesMiscMeeting04|Achilles Misc Meeting 04|Zagreus|かつてティタンを葬り去った武具ですね… \nうまく使えば、冥界からの脱出も叶うかもしれない。\n助言に感謝します。
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Zagreus|師匠、双拳マルフォンを手に入れました。\nこの武具を身につけて以来、すさまじい闘志が\nみなぎるのを感じています。素手で戦って、\nどんな武具にも勝る破壊力を発揮できるなんて…
