Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|ザグレウス。\n妹たちと話し合い、互いに協力することにした。
FurySistersUnion01|Fury Sisters Union 01|Alecto|メガイラ、ティシポネ、準備はいいかい？
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*殺シィ…！*
FurySistersUnion01|Fury Sisters Union 01|Zagreus|三対一か… ちょっと卑怯じゃないか？
FurySistersUnion01|Fury Sisters Union 01|Megaera|お互い、いまさら公正な戦いに\nこだわる意味がどこにある？\nおまえを殺すためなら、私は手段を選ばない。\nわれわれエリニュス三姉妹が相手をしてやる。
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|見ろ、アレクト。時間通りに現れただろう？
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|メガイラ、その男の血を流せ！
Fury2SisterUnion01|Fury 2 Sister Union 01|Alecto|メガイラ、ティシポネ、準備はいいね？
Fury2SisterUnionSingleSis01|Fury 2 Sister Union Single Sis 01|Alecto|ごらん、ゴミの神のお出ましだ。\nさっくり掃除してやろう。
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Alecto|ごらん… あの生意気な得意顔。気取った立ち姿。\n何もかも気に入らないね！メグ、あんたまさか、\nこいつに手加減するつもりじゃないだろうね？
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Megaera|私たち姉妹が、互いの顔色をうかがって\n事に当たったことなど、あったか？\nこの男を殺すという目的さえ果たせれば、\n何も問題ないはずだ。
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Alecto|言われてみれば、たしかにそうだ。\nそれじゃ、さっさと殺しちまおうじゃないか！
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Alecto|ごらん？このゴミ、性懲りもなく、また現れたよ。\nせっかくの床が、また血で汚れちまう。赤い血の坊や、\n麗しのメガイラと戦う準備はできてるかい？
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Megaera|アレクトはザグを誤解している。\nそう悪いところばかりでもない。\nこの仕事を片づける上では、どうでもよいことだが。
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Alecto|あんたらふたりにはヘドが出るよ。\n腑抜けたこと言ってる暇があったら、\n今度こそこいつの息の根をきっちり止めな！
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|あんた、盟約に同意したね…？したんだろ！？\n正直に答えな！
Fury2PactReaction01|Fury 2 Pact Reaction 01|Zagreus|たしかにしたが… それであんたに文句を言われる筋合いはない。
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|あたしはね、ひとりで仕事するのが好きなんだよ！\nそれが、あんたのおかげでこのざまだ！\n文句のひとつも言う権利があるよ。\nついでに、あんたを殺す権利もね…！
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|やれやれ… やっと静かになったよ。あんたが余計な\n“盟約”とやらに同意したせいで、あたしはまた、\n姉と妹と一緒に働かされる羽目に遭った。\nこの“お礼”は、たっぷりさせてもらうからね…
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Zagreus|どうせ、俺を痛めつける口実ができれば、\nなんでもいいんだろ？
