Id|Description|Speaker|Text
ZeusWithAphrodite01|Duo - Zeus and Aphrodite (1)|Zeus|ザグレウスよ、おまえも、麗しのアフロディテに\nまみえることを夢見ておるだろう。無論、会うか否かは\nザグレウスがいつかオリュンポスにたどり着いた際に、\nみずから決めればよい。そうであろう、アフロディテ？
ZeusWithAphrodite01|Duo - Zeus and Aphrodite (1)|Aphrodite|まあ！ゼウス様が、そんな無粋なことをおっしゃる\nなんて… 私たち皆が手本とするお方ですのに。\nこの愛の女神アフロディテに、\n本気でそんなことをおっしゃるのですか？
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Ares|貴君がオリュンポスを訪れる日を、心待ちにしている。貴君と私が共に探究する、戦の業。\nそれを重んじる神は、数少ない。
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Aphrodite|それでも、何柱かは存在するわ… そうでしょう、\nアレス様？ザグレウス、急ぐことはないわ。\n慌てずゆっくりいらっしゃい。
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Ares|愛が戦を招く… アフロディテ嬢と私は、さような戦の数々について、とめどなく語り合うことができる。貴君も、おのれが戦う理由について、考えをめぐらせる一時があるのでは？無論、戦に理由など不要ではあるが。
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Aphrodite|アレス様、そのような言葉で、\n若き王子の心を惑わすことなどございませんわ。\n彼の望むままに祝福を授け、愛と戦の談義は、\nふたりきりでゆっくりいたしましょう。
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|ザグレウス！その… ずっと聞きたかったことが\nあって… でも、誤解しないでもらいたいんだけど…\nその… うわ、めんどくさいのが来た…
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Aphrodite|あらあら。アルテミスったら、\nもじもじしちゃって、かわいいわ。ふふふ。\n冥界の王子様のせいかしら？それとも、私のせい？\n大丈夫よ、いずれちゃんと、わかるときがくるから！
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|だから、そういうんじゃなくて…\nあー、もう！何言おうとしたかわからなくなった！\nザグレウス、また今度ね。
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Artemis|狩人として恥ずかしいんだけど…\nどうしても、アフロディテの追跡をまけなくて…\n何を企んでるのか知らないけど、あたしとふたりで、\nザグレウスに会いたいって言うんだよね…
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Aphrodite|まあ、アルテミスったら！\n獣から身を隠すことはできても、私にはお見通しよ。\n今度からは、もっと自分の気持ちに正直になることね。
AphroditeWithZeus01|Duo - Aphrodite and Zeus (1)|Aphrodite|ザグレウス、オリュンポスの頂に御座す叔父様が、\nあなたにご用ですって。私たちふたりに\n任せてもらって、なんの問題もないのにね…
AphroditeWithZeus01|Duo - Aphrodite and Zeus (1)|Zeus|ザグレウス、女神アフロディテは、引きも切らぬ\n求愛者たちの名簿の管理で多忙なようだ。\nアフロディテよ、この者に祝福を授けたら、すぐに\nこの場を辞してよい。ここからは私が引き継ごう。
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Aphrodite|私たちオリュンポスの一族はね、みんなそれぞれ、\n一癖も二癖もあるの。それでも深い絆で結ばれていて、お互いちゃんと愛し合っているのよ。
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Poseidon|おっと、失礼！おじゃま虫は退散しよう。\nおふたりさん、ごゆっくり！\nなに、誰にも言いはしないから、安心してくれ！
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Aphrodite|いいのよ、ポセイドン、そこにいて。\nちょうど今、あなたがとってもおバカさんだって、\nザグレウスに説明してあげてたところだもの。\n実演してもらえて助かるわ。\nえっと… なんの話だったかしら？
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Aphrodite|あなたは神の子、いわゆる「副神」とされている。\n私たちオリュンポスの神の、親戚のようなものね。\nオリュンポスにはお高くとまった神もいて、\n必要以上に事を面倒にしたがるのよ。
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Athena|アフロディテ。いまの発言、もう一度聞かせて\nもらおうか。私の面と向かって、同じことを言えるか？
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Aphrodite|アテナ。あなたの面と向かったら、\n同じことを言うだけじゃ済まないわ。\nその顔を、いろいろ“お直し”してあげたくなっちゃう。うふふ。
AphroditeWithAthena02|Duo - Aphrodite and Athena (2)|Aphrodite|聞いて、ザグレウス。アテナと私って、\nときどき意見が衝突しちゃうの。アテナは\nなんでも難しく考えすぎるところがあるけれど、\n私は心のままに生きているからかしら。
