Id|Description|Speaker|Text
ZeusWithAres01|Zeus With Ares 01|Zeus|ザグレウス！わが権限をもって、\n息子のアレスに力添えをさせよう。\nアレスはなにかと誤解されがちな神だが、\nその力は必ずや、おまえの役に立とう！
ZeusWithAres01|Zeus With Ares 01|Ares|御意に。父上の望みは、私の望みゆえ。
AresWithPoseidon01|Ares With Poseidon 01|Ares|誤解を恐れず率直に述べれば… 貴君の父君と、\nより近しい関係であればと願うことが、時折ある。\nオリュンポスに座すわが父上ゼウスと\nポセイドン伯父上は… 私とは相いれぬ面も多いゆえ。
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|アレス、それはおまえが変わり者だからだ。\nもっと気さくに振る舞うよう努力すれば、\nわれわれと共通する面も増える！\n俺の助言が欲しければ、いつでも力になるぞ！
AresWithAthena01|Ares With Athena 01|Ares|貴君だけに、折り入って話があったのだが、あいにく…
AresWithAthena01|Ares With Athena 01|Athena|…あいにく、オリュンポスの神には、口に出すのも\nはばかられる悪業を好む者もいるのだ、ザグレウス。\nわが異母弟には、容易に心を開かぬように。\nさあ、先を急ぐがいい。
AresWithAthena01|Ares With Athena 01|Ares|…姉上はそうやって、隙あらば私の話をさえぎる。\n私の任ずる事柄への口出しは無用。\nわが眷属にいかような助力をするかは、\n私の自由にさせていただきたい。
AresWithAthena01|Ares With Athena 01|Athena|おまえがおのれの自由にせぬことなど、\nありはしないだろう。くれぐれも、われわれの足を\n引っ張るようなまねだけは控えてもらいたい。
AresWithAphrodite01|Ares With Aphrodite 01|Ares|貴君がオリュンポスを訪れる日を、心待ちにしている。貴君と私が共に探究する、戦の業。\nそれを重んじる神は、数少ない。
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|それでも、何柱かは存在するわ… そうでしょう、\nアレス様？ザグレウス、急ぐことはないわ。\n慌てずゆっくりいらっしゃい。
AresWithAphrodite02|Ares With Aphrodite 02|Ares|愛が戦を招く… アフロディテ嬢と私は、さような戦の数々について、とめどなく語り合うことができる。貴君も、おのれが戦う理由について、考えをめぐらせる一時があるのでは？無論、戦に理由など不要ではあるが。
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|アレス様、そのような言葉で、\n若き王子の心を惑わすことなどございませんわ。\n彼の望むままに祝福を授け、愛と戦の談義は、\nふたりきりでゆっくりいたしましょう。
AresWithDionysus01|Ares With Dionysus 01|Ares|今、ディオニュソスに尋ねていたところだ。\n人間たちの開く宴のうち、いかなる状況下に\n開かれるものが、最も盛大かと。私が思うに、それは…
AresWithDionysus01|Ares With Dionysus 01|Dionysus|ああ、わかってる、わかってる。アレスの\n言うとおりさ。戦のあとに開かれる宴に勝るものは\nない！ただし、勝った側の場合だ。負けた側は冥界で、\nザグと杯を交わすことになるからな！
AresWithDemeter01|Ares With Demeter 01|Ares|死に際の寒さほど、女神デメテルに\nふさわしきものはない… そうは思わぬか？\nデメテル自身も、死を司る女神としての働きが\n板についてきたようだ。
AresWithDemeter01|Ares With Demeter 01|Demeter|アレス、あなたはお忘れのようですが、私はあなたよりずっと古い時代から、季節の女神として君臨している\nのです。私が起こした飢饉で、これまでにいったい\nどれだけの命が潰えたとお思いですか？
AresKillQuestComplete|Ares Kill Quest Complete|Ares|貴君が奪った命の数は、10000に上った。\nこの私でさえ興奮を覚える戦果だ。称賛に値する。
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Zagreus|よし… ハデス神の名において、\nオリュンポスの神に、言づてを捧げん！戦神アレス、\n内容を解したならば、われらの申し出を受諾し給え。
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Ares|これは… 私宛ての招待状か。\n印を見るかぎり、オリュンポスの神々全員に\n関係する内容のようだ…じつに興味深い。\n可及的速やかに、解読にかかるとしよう。\nだがその前に、私からも、これを。
