Id|Description|Speaker|Text
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|ザグレウス、おまえは若く、男振りもよい。\nオリュンポスに到達した暁には、ふさわしき伴侶を\n見つけてやらねばな。幸い、候補には事欠かぬ。\nただし… わが娘アルテミスは例外だ。あれは\n誰に言い寄られても、決して伴侶を持とうとせぬ。
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|容姿じまんの求婚者たちからしょっちゅう\n言い寄られたり、失礼なことを言われたりするけど、\nあたしはひとりが好き。さみしくなったときは、\n友だちのニンフたちと森で過ごす方がぜんぜんいいよ。
ArtemisWithZeus01|Artemis With Zeus 01|Artemis|コホン！ザグレウス殿… こちらにおわしますは、\n慈悲深き、寛大なる、偉大なる、わが父にして、\nそなたの叔父上… ゼウス王なり！
ArtemisWithZeus01|Artemis With Zeus 01|Zeus|…仰々しい紹介、ご苦労。ここはもういいから、\nニンフたちと遊んできなさい。その前にどうしてもと\n言うなら、わが甥にささやかな祝福のひとつでも\nかけてやるといい。
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|ザグレウスは、あたしの父さんと伯父さん、\nもう知ってるよね？ふたりとも神としては最低…\nじゃなくて！ふたりとも、“偉い”！毎日、朝から晩まで\nオリュンポスの麓の海に潜りっぱなしでも「偉い」よ！\nそうでしょ、伯父さま？
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|アルテミス、ジュニアに俺の偉大さを宣伝する必要\nなどないぞ！普段海中にいようと、海を見下ろして\nいようと、海底のさらに下にいようと、神格には\n関係ない！おまえたちは、まだ若い！日々努力して\nいれば、俺とほぼ同列程度に偉大な神になれる！
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|ザグレウス！その… ずっと聞きたかったことが\nあって… でも、誤解しないでもらいたいんだけど…\nその… うわ、めんどくさいのが来た…
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|あらあら。アルテミスったら、\nもじもじしちゃって、かわいいわ。ふふふ。\n冥界の王子様のせいかしら？それとも、私のせい？\n大丈夫よ、いずれちゃんと、わかるときがくるから！
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|だから、そういうんじゃなくて…\nあー、もう！何言おうとしたかわからなくなった！\nザグレウス、また今度ね。
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|狩人として恥ずかしいんだけど…\nどうしても、アフロディテの追跡をまけなくて…\n何を企んでるのか知らないけど、あたしとふたりで、\nザグレウスに会いたいって言うんだよね…
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|まあ、アルテミスったら！\n獣から身を隠すことはできても、私にはお見通しよ。\n今度からは、もっと自分の気持ちに正直になることね。
ArtemisWithAres01|Artemis With Ares 01|Artemis|あたしたちにも、ザグレウスの声が\n聞こえたらいいのにね。そうすればアレスにも、\n私の力は狩り専用で、戦用の力とは違うって、\nわかってもらえそうなんだけど。
ArtemisWithAres01|Artemis With Ares 01|Ares|アルテミス、われらの力には、かつては別の用途が\nあったのかもしれぬ。しかし、それが今日別の用途に\n変化したとて、異を唱えるのは筋違い。わが眷属に\nわれらの総力を付与し、その結果をただ見守るのみだ。
ArtemisWithAres02|Artemis With Ares 02|Artemis|狩りに出かける前に、ザグレウスとふたりで\n話したかったのに。大勢で群れるの、好きじゃないし。…アレスは、狩りの道具がチラッとでも見えたら、\nすぐに首をつっこんでくるから…
ArtemisWithAres02|Artemis With Ares 02|Ares|アルテミス、狩りは戦の序章なり。\n人間たちが狩りを知らねば、\n互いに殺し合う技に長けることもなかったであろう。
ArtemisWithAres02|Artemis With Ares 02|Artemis|アレス… あたしの射撃の力がほしいなら、\nいくらでも貸すから、あっちへ行って。
ArtemisWithDionysus01|Artemis With Dionysus 01|Artemis|ザグレウス！ちょうどよかった！ディオニュソスと\n話してると、耳にタコが100個ぐらいできそうで…\nザグレウスも、話聞いてあげて。ディオニュソスと\nあたしで、いつもと違う祝福、授けてあげるから！
ArtemisWithDionysus01|Artemis With Dionysus 01|Dionysus|なんだなんだ？オレがそんなにうるさいって？\n黙れって？なんでそんなこと言うんだよー、\n酷いじゃないかー、なあ？酷いと思わないか？
ArtemisWithDemeter01|Artemis With Demeter 01|Artemis|ザグレウス、おつかれさま！デメテルに、そろそろ\n雪をやませてほしいってお願いしてたんだけど、\n全然聞いてくれなくて。人間たちもウンザリしてるし、こんなに積もってちゃ、狩りもしにくいし…
ArtemisWithDemeter01|Artemis With Demeter 01|Demeter|アルテミス、人間たちは器用なものです。\n彼らの、数少ない長所のひとつと\n言ってよいでしょう。終わりなき冬を\n乗り切るすべも、おのずと見いだすでしょう。\nなにしろ、みずから招いたことなのですから。
ArtemisAboutRamaAspect01|Artemis About Rama Aspect 01|Artemis|ザグレウス、コロナハトに話しかけてみた？\nこの前も言ったけど、「われは見る。第7の化身の腕に\n引かれる、そなたの姿を」って言うと、なにかいいこと\nあるみたい。聖なる射手の態が覚醒する、\nとかじゃないかな。近いうちに、唱えてみたら？
ArtemisAboutRamaAspect02|Artemis About Rama Aspect 02|Artemis|あたしが教えた呪文、本当に効果あったんだね！\nここからでも、その弓の光が見える。あたしはまだ\nコロナハトを使ったことはないけど、過去か未来の\n使い手の幻影を運命の三女神が見せてくれたって\nことは… いつかチャンスがめぐってくるのかも！
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Zagreus|これは、狩りの女神の印だな。よし…\nハデス神の名において、オリュンポスの神に、\n言づてを捧げん！女神アルテミスよ、受け取り給え！
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Artemis|え… あたし宛ての手紙！？…なんだ、全員分あるのか。あたしだけ特別かと思ったのに。しかも、他のみんなといっしょに呼び出し？勘弁してほしいなぁ…
ArtemisPostEpilogue01|Artemis Post Epilogue 01|Artemis|この前、館にお呼ばれしたときは、正直、楽しかった。ザグレウスにも、ハデス伯父さんにも、英雄アキレウスにも会えたし！騙されてたことは、正直ちょっと\nモヤモヤするけど… どうせそのうち忘れちゃうから、\nいいよ。これからも、あたしの助けが必要でしょ？
ArtemisAboutZeus01|Artemis About Zeus 01|Artemis|雷神ゼウスは、私の父さんだよ。雷の力、\n授けてもらったんだね。父さん、世話好きだから。
ArtemisAboutPoseidon01|Artemis About Poseidon 01|Artemis|ポセイドン叔父さんの力、授けてもらったんだね。\nあれがザグレウスのお父さんの弟だなんて…\n「きちんと敬いなさい」、って言われるけど、\n敬えるところがないよ。
ArtemisAboutAthena01|Artemis About Athena 01|Artemis|もうアテナに会ったの？あんなゴテゴテした鎧より、\nあたしの弓のほうがずっといいと思うけど…\nま、人の好みはそれぞれだしね。
ArtemisAboutAres01|Artemis About Ares 01|Artemis|アレスと仲よくしてるみたいじゃない。あいつは\n誰にも心を開かないって、みんな言ってるのに…\nま、くれぐれも用心してつきあうことだよ。
ArtemisAboutAphrodite01|Artemis About Aphrodite 01|Artemis|もうアフロディテに会ったの…？あの女神の\nやりそうなことだね… ヘタに関わると\nトラブルに巻き込まれるから、油断は禁物だよ。
ArtemisAboutDionysus01|Artemis About Dionysus 01|Artemis|飲んだくれでスケベなディオニュソスが、ザグレウスと友だち…？何かの間違いでしょ…？
ArtemisAboutHermes01|Artemis About Hermes 01|Artemis|ザグレウス、ずいぶんすばやくなったね。\nヘルメスから祝福を受けたでしょ？\nでも、最近ヘルメス、見かけないんだよね…\n最後に見たの、いつだっけ…
ArtemisAboutDemeter01|Artemis About Demeter 01|Artemis|デメテルまで、ザグレウスに協力してくれることに\nなったんだ？意外！でも、いろいろ助かると思うよ。ま、機嫌損ねないようにだけ注意ね。\nそれはあたしもだけど！
ArtemisBackstory01|Artemis Backstory 01|Artemis|ザグレウスのこと、ちょっと心配なんだよね。\nなんでそんなに、がむしゃらに戦うの？\nせっかちなだけかと思ってたけど…\n何かに駆り立てられてるみたい。\nザグレウスの本当の目的は、何…？
ArtemisRunProgress01|Artemis Run Progress 01|Artemis|ザグレウスはこれまでに、6つ以上の危険な\n区画を強引に正面突破した。暴れまわる音が、\nオリュンポスまで聞こえてきたよ。\nキミの狩りの手法は、型破りだね。
ArtemisRunProgress02|Artemis Run Progress 02|Artemis|ザグレウスがオリュンポスに着くまで、\nちゃんとそばにいてあげるから。\nでも、着いたら特別あつかいはしないよ？\nうちの家族とまとめて無視するから、そのつもりで。
ArtemisAboutVermin01|Artemis About Vermin 01|Artemis|最近、地上の近くで、害獣狩りをしたでしょ？それってもう、ほとんど本物の狩りといってもいいよね。\n楽しかったでしょ？
ArtemisAboutVermin02|Artemis About Vermin 02|Artemis|害獣狩りも、だいぶ板についてきたね。\nもっと戦い応えのある強敵を\n相手にできる日も、近いんじゃない？
ArtemisVsMeg01|Artemis Vs Meg 01|Artemis|タルタロスで待ち構えてるエリニュスに、手を焼いて\nいるみたいだね。あのコには、狩人の才がある。\nザグレウスの弱点なんてお見通しだと思ってるはず。\n戦術がワンパターンにならないように気をつけて。
ArtemisVsAchilles01|Artemis Vs Achilles 01|Artemis|「冥王ハデスがトロイ戦争の英雄を配下に迎えた」って噂を聞いたんだけど… 何か知ってる？もしアキレウスに会うことがあったら、「アルテミスが崇拝してる」\nって、伝えてもらえる？
ArtemisVsAchilles02|Artemis Vs Achilles 02|Artemis|ザグレウスって、アキレウスからじきじきに\n戦術の指南を受けたんだってね？あの戦いぶり…\nどうりでね！あのひと大英雄なんだから、\nくれぐれも失礼のないようにね。
ArtemisPostFlashback01|Artemis Post Flashback 01|Artemis|あたしはオリュンポスで家族と暮らしてるけど、\nいつも孤独だった。境遇こそ違うけど、\nザグレウスの気持ちは、理解できるよ。
ArtemisHighAffinity01|Artemis High Affinity 01|Artemis|ザグレウスはオリュンポスを気に入るんじゃないかな。\nおいしいごちそうはあるし、空気はきれいだし、\n冥界よりずっと明るいよ。…最高でしょ？
ArtemisHighAffinity02|Artemis High Affinity 02|Artemis|ザグレウスがオリュンポスに来たら、ふたりで\n狩りに行かない？あたしは基本、ひとりが好きだけど、ザグレウスとこんなふうに話すのは楽しくて。
ArtemisHighAffinity03|Artemis High Affinity 03|Artemis|この山の頂で家族と顔をつき合わせてるのはうんざり。\n森のニンフたちと狩りに出てるほうがずっと楽しいよ。\nザグレウスなら、気持ち、わかるでしょ？
