Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|…
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|聞いたぞ？俺がおまえに2連勝できるか、\nヘルメスと賭けをしてるって？上等じゃないか。\nヘルメスの期待には応えたい。悪く思わないでくれよ？
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|…！！
BossCharonEncounter01|Boss Charon Encounter 01|Charon|…
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|待ってくれ、悪気はなかった！父上の所領に転がってるものは、つい、勝手に拾う癖がついていて… おまえから盗もうなんて気は…！
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|ダメだ、通じてないな… ん？その櫂は…？\nなんでそんな、武具みたいな構え方をしてる…？
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|わかったぞ。カロン、おまえ、俺を試してるんだな？\nそんなふうに大金をこれ見よがしに置いておくなんて、\n「盗ってくれ」と言ってるようなものだ。
BossCharonEncounter02|Boss Charon Encounter 02|Charon|…
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|よくわかった。そういうことなら、今後もし俺がおまえの金を盗んだら、「ちょっと気晴らしに、殺し合いでもしようか」という意味だと思ってくれ。
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|…
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|…！
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|…！！
BossCharonMiscStart04|Boss Charon Misc Start 04|Charon|…！！
BossCharonMiscStart05|Boss Charon Misc Start 05|Charon|…！！
BossCharonMiscStart06|Boss Charon Misc Start 06|Charon|…！！
BossCharonMiscStart07|Boss Charon Misc Start 07|Charon|…！！
BossCharonMiscStart08|Boss Charon Misc Start 08|Charon|…！！
BossCharonMiscStart09|Boss Charon Misc Start 09|Charon|…！！
BossCharonOutro01|Boss Charon Outro 01|Charon|…！！
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Zagreus|よし！これで2連勝だ。賭けはヘルメスの勝ちだな。\nあいつに会ったら、「…！！」と伝えてくれ。
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Charon|…
CharonFirstMeeting|Charon First Meeting|Charon|…
CharonFirstMeeting|Charon First Meeting|Zagreus|カロン、また会えたな。特に用はないんだが、\n見物にきた。そこに並んでるのは、売り物か？\nちょっと見せてくれ。
CharonNoFastTravel01|Charon No Fast Travel 01|Zagreus|カロン… 地上まで一気に運んでほしいと頼んだ件、\n考えてみてくれたか…？おまえにとっては、\nべつに無理な相談でもないだろ…？
CharonNoFastTravel01|Charon No Fast Travel 01|Charon|…
CharonShopMeeting02|Charon Shop Meeting 02|Zagreus|カロン、また会えたな。なかなかいい品揃え\nじゃないか。ちょっとよく見せてくれ。
CharonShopMeeting02|Charon Shop Meeting 02|Charon|…
CharonShopMeeting03|Charon Shop Meeting 03|Charon|…
CharonShopMeeting03|Charon Shop Meeting 03|Zagreus|ああ、俺も会えてうれしいよ。売り物を見せて\nもらえるか？
CharonShopMeeting04|Charon Shop Meeting 04|Zagreus|カロン、死者の大半は、アスポデロスに送られるん\nだろう？じゃあ、おまえがこのあたりに舟をつける\nことは、多いんだろうな。
CharonShopMeeting04|Charon Shop Meeting 04|Charon|…
CharonShopMeeting05|Charon Shop Meeting 05|Zagreus|カロン、ここはアスポデロスだよな…？花の咲き乱れる草原だと聞いていたのに… こんなひどいところだとは、思いもしなかったよ。
CharonShopMeeting05|Charon Shop Meeting 05|Charon|…
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Zagreus|カロン、あの扉の向こうに、何か恐ろしいものが\n待ち受けているなら… 身振り手振りで\n教えてくれないか？
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Charon|…
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Zagreus|なあカロン、次の小島でどんな恐ろしい怪物が\n待ち受けているのか… よかったら、\n教えてくれないか？
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Charon|…
CharonHighRelationship01|Charon High Relationship 01|Zagreus|カロン、元気そうじゃないか！ちょっと感じが\n変わったか？どこが、と言われても困るんだが…\n髪型かな？俺の気のせいか？
CharonHighRelationship01|Charon High Relationship 01|Charon|…
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Zagreus|カロン、前に戦ったときのこと、怒ってないよな…？\n「得意客の証」をくれたということは、\n「気にしてなくていい」という意味だと解釈してるが…\n念のため、聞いておこうと思って…
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Charon|…
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Zagreus|カロン、この前の… “死闘”のこと、怒ってないよな？\nどっちにしろ俺はボロ負けしたし、そもそも、\nあれはほんの冗談だったんだ… わかってるよな？
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Charon|ノオオオォォアアァァ！
CharonAboutHermes01|Charon About Hermes 01|Zagreus|カロン、俊足の神ヘルメスに会ったぞ。死者の魂を、\nおまえの舟まで運ぶ仕事をしていると言っていた。\nおまえは「同僚」だそうだ。ヘルメスとは、\n長い付き合いなのか？
CharonAboutHermes01|Charon About Hermes 01|Charon|…
