Id|Description|Speaker|Text
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|よいか、ザグレウス。デメテルに関して誤解を\nしているのであれば、私が解いてやろう。デメテルは、\nわが姉も同然。とはいえ、じつの姉弟ではない。\n彼女の両親もわが父母もティタンであり、同じ最期を\n遂げたのは事実だがな。
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|ゼウス、あなたにしては、ずいぶん気の利いた\n心配りですこと。あたかも、私に聞こえていることを\n意識して、今だけは事実を述べざるを得なかった、\nと言わんばかりですね。
AresWithDemeter01|Ares With Demeter 01|Ares|死に際の寒さほど、女神デメテルに\nふさわしきものはない… そうは思わぬか？\nデメテル自身も、死を司る女神としての働きが\n板についてきたようだ。
AresWithDemeter01|Ares With Demeter 01|Demeter|アレス、あなたはお忘れのようですが、私はあなたよりずっと古い時代から、季節の女神として君臨している\nのです。私が起こした飢饉で、これまでにいったい\nどれだけの命が潰えたとお思いですか？
ArtemisWithDemeter01|Artemis With Demeter 01|Artemis|ザグレウス、おつかれさま！デメテルに、そろそろ\n雪をやませてほしいってお願いしてたんだけど、\n全然聞いてくれなくて。人間たちもウンザリしてるし、こんなに積もってちゃ、狩りもしにくいし…
ArtemisWithDemeter01|Artemis With Demeter 01|Demeter|アルテミス、人間たちは器用なものです。\n彼らの、数少ない長所のひとつと\n言ってよいでしょう。終わりなき冬を\n乗り切るすべも、おのずと見いだすでしょう。\nなにしろ、みずから招いたことなのですから。
AphroditeWithDemeter01|Aphrodite With Demeter 01|Aphrodite|偉大なる季節の女神デメテルは、威厳と風格に満ちた\n姿で顕れる… でも、私にはさっぱり理解できないわ。\nそもそも、顔に細かい線をあんなにたくさん\nつける意味がわからないもの。
AphroditeWithDemeter01|Aphrodite With Demeter 01|Demeter|アフロディテ、あなたには、マントで肌を覆う意味も\n理解できないのでしょう。あなたが選んだその姿には、女神としてのあなたの意図と、あなたの個人的な興味が如実に現れています。
DionysusWithDemeter01|Dionysus With Demeter 01|Dionysus|ザグ、ちょっと頼みがある…\nデメテルさんに、「作物枯れさせ放題政策」を\nやめてもらうように、頼んでもらえないか？
DionysusWithDemeter01|Dionysus With Demeter 01|Demeter|ディオニュソス、しばらくお酒を控えるのは、\nあなたにとって、よいことでは？いずれにせよ、\n良質な作物をあなたに独占させるわけにはいきません。
AthenaWithDemeter01|Athena With Demeter 01|Athena|今回は、女神デメテルを同伴した。\nおまえの件については我々がうまく対処しているゆえ、\n案ずることはないと伝えてある。\nもっとも、大いなる慈しみの心を持つデメテルのこと、\nいずれにせよ、おまえに助力しただろう。
