Id|Description|Speaker|Text
AresWithDionysus01|Duo - Ares and Dionysus (1)|Ares|今、ディオニュソスに尋ねていたところだ。\n人間たちの開く宴のうち、いかなる状況下に\n開かれるものが、最も盛大かと。私が思うに、それは…
AresWithDionysus01|Duo - Ares and Dionysus (1)|Dionysus|ああ、わかってる、わかってる。アレスの\n言うとおりさ。戦のあとに開かれる宴に勝るものは\nない！ただし、勝った側の場合だ。負けた側は冥界で、\nザグと杯を交わすことになるからな！
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Artemis|ザグレウス！ちょうどよかった！ディオニュソスと\n話してると、耳にタコが100個ぐらいできそうで…\nザグレウスも、話聞いてあげて。ディオニュソスと\nあたしで、いつもと違う祝福、授けてあげるから！
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Dionysus|なんだなんだ？オレがそんなにうるさいって？\n黙れって？なんでそんなこと言うんだよー、\n酷いじゃないかー、なあ？酷いと思わないか？
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Aphrodite|私の力は、ディオニュソスの力と相性がいいの。彼はね、心に働きかけて、美しさなんてないところにさえ、あるかのように見せることができるのよ！
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Dionysus|ハハハ！そんなふうに褒められると、照れるな！\n美しさというのは、おおかた心に宿るものだ！\nそれから、隆々とした筋肉と、顎の輪郭、\nそして魅力的な笑顔にも… っと、愛と美の女神\nアフロディテに、こんな説明は無用だったな。
DionysusWithZeus01|Duo - Dionysus and Zeus (1)|Dionysus|ザグ、うちの親父が、おまえに話があるらしい。\n大丈夫、落ち着いて、口答えしなければ\n問題ないからな。
DionysusWithZeus01|Duo - Dionysus and Zeus (1)|Zeus|ディオニュソス… あれはいつも一言多いが、\n少なくとも、私にしかるべき敬意は払っている。\nザグレウスよ、おまえもいずれ、あれから\nオリュンポスでのしきたりを学ぶことになろう。
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|ザグ… 今、おまえの叔父さんが来ててさ…\n俺の親父じゃなくて、もうひとりのほうな。\nおまえの様子を見たいって言ってるんだが…
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Poseidon|おー！ザグ坊！元気でやってるか！ディオニュソスに、いろいろ教えてもらってるか？言っておくが、\n派手な宴を開くことに関しちゃ、俺の方が上だぞ！\nさあ、俺からも祝福を授けてやろう！
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|…とにかく！みんなオリュンポスで待ってるからな！\nおまえならやれる！いつかは、な！\nみんな、そう信じてるぜ！
DionysusWithAthena01|Duo - Dionysus and Athena (1)|Dionysus|ザグがこっちに来たら、お祭り騒ぎ間違いなしだ！\nあの堅物のアテナでさえ、きっと多少は羽目外すぜ！\nいつもの鎧より、もうちょっとユルめの衣を着て、\nのんびりくつろぎながら宴を楽しむはずだ。\n楽しみだな！
DionysusWithAthena01|Duo - Dionysus and Athena (1)|Athena|酒神ディオニュソスは、じつは戦術の神でもあるの\nかもしれない。私がこの先、取ろうとしている行動が、\n的確に分かるようだ… ともあれ、私はいかなるときも、\nザグレウスの置かれた状況を慎重に観察している。宴に\nかまけて本分をおろそかにすることは決してない。
DionysusWithAres01|Duo - Dionysus and Ares (1)|Dionysus|ザグ、おまえがオリュンポスに着いたら、\nアレスに宴の楽しみ方を教えてやってくれよ。\nこいつはいつも、血なまぐさい話をして場を\nシラけさせるから困るぜ。
DionysusWithAres01|Duo - Dionysus and Ares (1)|Ares|ディオニュソス殿、私は、そうした話題が\n宴の場において不適切とされる理由を理解できない。\n戦における勝利ほど、祝宴を開く機会として\nふさわしいものはないのでは？
DionysusWithAphrodite01|Duo - Dionysus and Aphrodite (1)|Dionysus|ザグ、宴のことなら、オレに任せときゃ間違いない。\nおまえもとっくに承知だよな？\nでもな、じつはアフロディテ嬢にも、\nいろいろ手伝ってもらってるんだぜ？
DionysusWithAphrodite01|Duo - Dionysus and Aphrodite (1)|Aphrodite|葡萄酒をいただくと、誰もが皆、普段よりも美しく\n見えるもの… そうやって、末永く続く愛は生まれるの！…もちろん、一瞬で消えてしまう儚い愛も、\nたくさん生まれるけれど。
DionysusWithArtemis01|Duo - Dionysus and Artemis (1)|Dionysus|ザグ、アルテミスをなんとかオレの宴に来させたくて、口説き落とそうとしてるんだが… 狩りだかなんだかに\n出かけるから無理だって言うんだ。どうにかしてくれ。
DionysusWithArtemis01|Duo - Dionysus and Artemis (1)|Artemis|狩りの前に宴だなんて…！獲物を狩るときは絶対に音を立ててはいけないし、全神経を研ぎ澄ませて集中しないといけないのに… わかったら、あたしはもう行くよ。
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Dionysus|ザグ、ちょっと頼みがある…\nデメテルさんに、「作物枯れさせ放題政策」を\nやめてもらうように、頼んでもらえないか？
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Demeter|ディオニュソス、しばらくお酒を控えるのは、\nあなたにとって、よいことでは？いずれにせよ、\n良質な作物をあなたに独占させるわけにはいきません。
DionysusAboutOlympianReunionQuest01|Dionysus About Olympian Reunion Quest 01|Zagreus|酒神ディオニュソスを宴に誘うのは、\n緊張するな… ハデス神の名において、\nオリュンポスの神に、言づてを捧げん！\nディオニュソス、いっしょに楽しもう。
DionysusAboutOlympianReunionQuest01|Dionysus About Olympian Reunion Quest 01|Dionysus|おいおいザグ、こいつはどっからどう見ても、\n招待状じゃないか…！見ればすぐにわかるぜ！\n一通はオレ宛てで… 残りの連中、全員分もあるのか。\nハハッ、こりゃ、間違いなく特別な催しだな？\nオレにはわかるぜ！
DionysusPostEpilogue01|Dionysus Post Epilogue 01|Dionysus|なぁサグ、おまえがオレたちのために開いてくれた宴、ところどころ記憶が曖昧だが、たぶん、最初っから\n最後まで、最高だったと思うぜ！いやー、楽しかった！またやろう！な？絶対だぜ？
DionysusAboutZeus01|Dionysus About Zeus 01|Dionysus|ザグ、オレの親父に会ったな！ゼウスな！\nおまえの叔父さんな！基本的には、\n祭り好きの、気のいいおっさんだよ。\nま、怒らせないようにだけ、気をつけてな。
DionysusAboutPoseidon01|Dionysus About Poseidon 01|Dionysus|ザグ！ポセイドンから、なんかもらったな！？\nポセイドン、おもしろいヤツだよな！\nついでに、これももらってくれるか？
DionysusAboutAthena01|Dionysus About Athena 01|Dionysus|アテナから連絡あったって？あいつは一見、\nとっつきにくいかもしれんが、根はいいやつだ。\n今日はあいつの祝福と相性よさそうなのを用意したぜ。
DionysusAboutAphrodite01|Dionysus About Aphrodite 01|Dionysus|ザグ！麗しのアフロディテに会ったな？\nいいねえ、じつにいい！\n彼女の祝福とオレの祝福は、相性ぴったりだ！
DionysusAboutArtemis01|Dionysus About Artemis 01|Dionysus|ザグ、アルテミスと仲よくしてるな！\nおまえ、すごいな！あいつは誰とも仲よくしないのに…\nっと、悪い、悪い。今、祝福授けるな！
DionysusAboutAres01|Dionysus About Ares 01|Dionysus|アレスと仲よくしてるな？いいねえ、じつにいい。\nあれはなかなかに、なかなかな男だ。\nオレの祝福も、なかなかだぜ？
DionysusAboutDemeter01|Dionysus About Demeter 01|Dionysus|うー… 寒い…！ さては、デメテルに\n助けてもらったな？いや、普通に寒いだけか…？\nなにしろここは、山のてっぺんだからな！
