Id|Description|Speaker|Text
OrpheusWithEurydice01|Duo - Orpheus and Eurydice (1)|Orpheus|ザグレウス、訪ねてきてくれたんだね。\n今、エウリュディケとふたりで、離れて暮らしていた\n間に起きたことを報告しあっていたんだ。
OrpheusWithEurydice01|Duo - Orpheus and Eurydice (1)|Eurydice|そういうこと。まだまだ積もる話の途中だから、\nふたりきりにしてもらえるとありがたいね。\nでも、その前に…
OrpheusWithEurydice02|Duo - Orpheus and Eurydice (2)|Zagreus|こんな名演、初めてだ… 独唱でも聴き惚れるのに、\nふたりの歌声が合わさると、すばらしい音色になる…
OrpheusWithEurydice02|Duo - Orpheus and Eurydice (2)|Orpheus|そう言ってもらえるとうれしい。エウリュディケと\n僕は、運命の三女神に引き合わされたに違いない。\nなのに、無残にも、長きにわたり離ればなれになって…
OrpheusWithEurydice02|Duo - Orpheus and Eurydice (2)|Eurydice|まーたそうやってウジウジ言う！いいじゃないの、\nこれからふたりで、思う存分、死後生を\n送れるんだから！歌だって、共作し放題だよ。
OrpheusWithEurydice02|Duo - Orpheus and Eurydice (2)|Orpheus|たしかにそのとおりだ。ザグレウス、\nそういうわけだから、僕たちは創作作業に戻るよ。
OrpheusWithEurydice03|Duo - Orpheus and Eurydice (3)|Zagreus|ふたりとも、元気そうだな。またふたりで仲よく\n歌ってるか？
OrpheusWithEurydice03|Duo - Orpheus and Eurydice (3)|Orpheus|夢のような日々さ。僕は、もう二度とエウリュディケに会えないものと思っていた。なぜなら…
OrpheusWithEurydice03|Duo - Orpheus and Eurydice (3)|Eurydice|オルフィーはいまだに、こうやって済んだことを\nグジグジ言うけど、これでもだいぶマシに\nなったんだよ。このひと説得するのは、\n骨が折れただろ？苦労かけたね。
OrpheusWithEurydiceMiscChat01|Duo - Orpheus and Eurydice Misc Chat (1)|Eurydice|ああ、皇太子殿下じゃないか！たんと召し上がれ！
OrpheusWithEurydiceMiscChat02|Duo - Orpheus and Eurydice Misc Chat (2)|Eurydice|オルフィーもあたしも、おかげさまで\n仲よくやってるよ。あんたも気をつけて行くんだよ！
