Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|ハデスの館へようこそ！…あれ？キミのことは、\n知ってるぞ？てことはキミ、この館を出てったけど、\nやっぱり死んじゃった…？そっかー。でもまあ、\n気を落とさないで！みんないつかは死ぬんだから！
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|ああ、キミか！外はどうだった？\n…ま、戻ってきたってことは、聞くまでもないか！\nどうぞ、入って入って！
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|よかった！さっそく戻ってきれくれたね。じつは、\n何人かで賭けをしててさ。ボクは、ちゃーんと\nわかってたよ。キミはあっというまに戻ってくるって！
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|あっ…！おかえり… 入って。なんか、キミのパパ、\nすごく怒ってるみたいだけど…
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|今のところ、5回は死んでるよね？…でも、冥界の\n生態系のバランスが保たれてるのは、誰かが\n死んでくれるおかげだから、キミは冥界の環境維持に\n貢献してるってことだよ！
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|そうか。\n繰り返し死ぬだけでいいなら、おやすいご用だ。
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|ステュクスの泉の見張りは楽しいよ。真っ赤な血に\nさざ波が立つのはきれいだし、ときどき誰か上がって\nくるし。キミとかね！でも、泉から館に入れるのは、\nここの使用人と、特別なお客様だけなんだ。\nボクが館内へご案内して、お世話をするんだよ！
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|すごい！今回はアスポデロスまで行けたんだねえ！\nま、死んじゃったのは変わんないけど…\n前より長く持ちこたえるようになったんだから、\nちょっとは進歩してるよ！
HypnosRunProgress01_A|Hypnos Run Progress 01 A|Hypnos|すごいじゃない！ボクの記録によると、\nキミ、50回以上死んでるんだね！\nそれって、この館の誰よりも多いと思うよ！
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|おめでとうございます！ボクが記録を取りはじめてから\n今回で100回目の死です！ちゃんと数えててあげたよ。\n特に賞品とかはないけどね。でも、誰か偉い人が言って\nたよ。「旅の真の目的は、旅そのものにあり」って！
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|ねえ。聞いて…？すごいよ？なんと。300回！\nそう！キミが死んだ回数！\n村ひとつ分… いや、それ以上だな。\nそれをたったひとりで！信じられないよ！
HypnosRunProgress03|Hypnos Run Progress 03|Hypnos|ちょっと信じられないんだけど、\nボクの記録に間違いはないからなぁ…\nキミ、なんと、500回も死んだってさ！500って！\nそれよりデカい数字、ある！？
HypnosMegDefeated01|Hypnos Meg Defeated 01|Hypnos|ステュクスの泉の見張りって、だいたい暇なんだけど、最近はちょっと忙しくてさ。さっきも、てっきりキミが上がってきたのかと思ったら、見慣れない顔でさ！やー、びっくりしたなぁ…
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|ザグレウスってさ、しょっちゅう死ぬじゃない？\nうちのお兄ちゃんと、ばったり会ったりしない？\nもうずいぶん会ってないんだよねえ。\n長期の仕事だって聞いてるけど…
HypnosAboutThanatos01|Hypnos About Thanatos 01|Zagreus|たしか、地上で戦が起きているせいで、父上から命令を受けて、状況の調査に出たらしいな。言われてみれば、もうずいぶん長く戻っていない気がする。その間、この館ではいろいろあったな…
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|ねー！酒場が営業再開してー… それからー…\nえーっとー… とにかく！お兄ちゃんに会ったら、\n「館のことは心配いらないよ！」って伝えてくれる？
HypnosAboutThanatos02|Hypnos About Thanatos 02|Hypnos|知ってる？お兄ちゃん、帰ってきたんだよ！この館に！\nボクはまだ会えてないけど！いっつも忙しそうで、\nボクとはぜんぜんしゃべってくれないんだよね！\nザグレウスとパパと同じだね！
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|うわあああぁ！…って、なんだ、キミか。びっくりしたなぁ、もう。えと… その… なんでもないから、気にしないで…
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|どうかしたのか？大丈夫か？
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|うん、どうもしないし、大丈夫。\nただ… タナトス兄さんに言われたことが、ちょっと\n気になって。ボク、ちゃんとやれてるのかな、って、\n心配になってきちゃって…
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|タナトスもきっと、悪気があったわけじゃ…\nいや、あいつはたしかに、おまえにいちいち辛辣だが…\n今に始まったことじゃないだろ？
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|…ボク、やっぱり、嫌われちゃったのかな？\nお兄ちゃんを、他の弟たちに取られちゃうよぉ！
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|あ！キミ！えっと、その… ありがとう！\nタナトス兄さんに、ボクのこと話してくれたでしょ？\n最初は「なんだかお兄ちゃんの様子がおかしいな」\nなんて思ってたんだけど… 最近、ボクにずいぶん\nやさしくなってさ！
HypnosAboutThanatos04|Hypnos About Thanatos 04|Zagreus|ヒュプノス、それは俺のおかげじゃなくて、\nおまえが誰よりも一生懸命仕事をがんばったからだろ。\n館の利用者からの意見も真摯に受け止めて…\nタナトスはおまえのそういうところを、\nちゃんと認めてるはずだ。
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|そうなのかな… どっちにしても、ボクのために\nわざわざ、ありがとね。ボクなんて、ここにただ\n突っ立って、死者を出迎えて、登録してるだけなのに…\nキミみたいな友だちがいて、本当によかったよ！
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Hypnos|あ、キミ！ねえねえ、アレってホント？\nキミとタナトス兄さんのことだよ！お兄ちゃんが\n言ってたんだ。だから、ボク、「ええええ！」って\n言ったんだけど、よく考えてみたら、\nそりゃそうだよね、って思ってさ！
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Zagreus|ああ。タナトスが何を言ったにせよ、\nそれはきっと本当のことだ。
HypnosAboutSleeperSeat01|Hypnos About Sleeper Seat 01|Hypnos|ねえ、見た？誰かが、「ゆったりシート」を\n置いてくれたんだよー！ま、ボクが仕事中に\n横になることなんてないけどね。\n立ったままで、ぜんぜん眠れちゃうから！
HypnosPostFlashback01|Hypnos Post Flashback 01|Zagreus|廊下の先に、鍵のかかった扉があるよな？\nあの中に入れてもらえないか？
HypnosPostFlashback01|Hypnos Post Flashback 01|Hypnos|は…？アハ… アハハハハ！おもしろい冗談だね。\nパパの私室にはもう、入れてあげられないよ。キミは\n家出未遂をして、パパの信用ガタ落ちなんだから。\n悪いけど、主の命令は絶対だからさ！
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|ねえ、見た！？女王様が戻ってきたよ！\nこんなに長い間、どこをほっつき歩いてたんだか！
HypnosPostEnding01|Hypnos Post Ending 01|Zagreus|ヒュプノス、その女王様は、俺の母親だからな。\n言い方、気をつけてくれよ。
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|え、そうなの？へぇ！てことは、キミのママも、\nあんまりキミといっしょに過ごしてくれないんだね！\nボクたち、似たもの同士だね！
HypnosPostEnding02|Hypnos Post Ending 02|Hypnos|待って待って待って。キミ、ここで働くって、\nどういうこと？クビになったんじゃないの？\nだから出ていったんでしょ？
HypnosPostEnding02|Hypnos Post Ending 02|Zagreus|…俺が何度死んでもあきらめずに脱出しようと\nしてたのは、嫌々やらされてた仕事を\nクビになったからだと思ってたのか…？
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Hypnos|キミが開いた宴、すごく盛り上がったらしいね！\n神様みんなが集まって、殺し合うこともなく、\n仲よく飲んだり食べたりするなんて…\nあー、ボクも行きたかったなぁ。
