Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|…アステリウス、やはりおまえの見解は誤りだ。\nあの魔物が、王の一族に名を連ねる者だと？\n私の知る限り、あのような王も、貴族も、存在せぬ！\nあれは、遠い昔に忘れ去られた名も無き小神！\n奈落より生じ、永遠にそこにとどまるべき魔物だ！
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|私もかつて、そのような言葉で罵られた身。\nわれらはこの敵と、幾度となく戦ってきました。\n私の目には、この者の戦いぶりは、\n極めて勇猛に映ります。
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|勇猛だと！？柱の陰にこそこそと逃げ隠れる戦いぶりのどこが勇猛なものか！アステリウスよ、\nおまえは評価を誤っている。この戦いに勝利したのち、\n改めて話し合う必要があるぞ！
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|冥府の申し子よ、貴様は、さぞ満足している\nことだろう！アステリウスは今、私に立腹している！\n私が貴様のような輩を誤解しているなどと、\nたわけたことを申すのだ！
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|王は私の言葉を誤解しておられる。われらはこの敵に\nついて、理解が及んでいないと申しているまで。\n相まみえるたびに備えを変え、神々より授かった力も、\n武具も、多様に変化する。われらの全力で臨んでも、\nこの者の戦術を読むことは、困難を極めています。
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|アステリウスよ、おまえは、私に戦士としての\n力量が足りぬと申すのか？あの迷宮の最奥部で、\n私はおまえを難なくねじ伏せたのだぞ！\nこの戦いで、わが力をとくと見るがよい！
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|毒虫よ！貴様が望むのならば、われらと戦え！\n貴様の卑劣な企てにより生じた亀裂を、\n大いに悪用するがいい！アステリウスと私はもはや、\nこの場に同時に居合わせた個別の戦闘手にすぎぬ。\n共闘などありはしない。
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|王は、事を必要以上に重く受け取られている。\n冷静になられよ。私は決して、無理難題を\n強いているわけではない。一考すれば、\nご理解いただけるはずです。
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|おまえは無理難題を強いている！\n話が済んだのなら、戦いを始めるぞ。\nどだい、こたびも戦勝は見込めぬ。共闘できぬのなら、\nこの関係にいったいなんの意味があろうか…
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|小さき者よ、エリュシオンの覇者の非礼を詫びる。\n王は今、われを失っている。それでも、\nおまえとの戦いにおいて手を抜くことはないはずだ。
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Zagreus|あなたとの一対一の戦いでも、ひやりとさせられた。\n気遣いは無用だ。テセウスも、俺が2、3発殴れば\n正気に戻るかもしれない。
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|怪しいところだ。私もすでにやってみたが…\nしかし、おまえの力なら可能かもしれない。\nでは、始めよう。
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|アステリウスよ、どうかかつてのように、\n私と共に戦ってくれ。このところの非礼については…\n許せ。この忌々しき魔物が…\n妄言をもってわが心を愚弄するのだ！
