Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|ザグレウス… 君が僕を、永遠の刑罰から解放してくれたそうだね。ありがとう。君の父上にお仕えするために、僕は戻ってきたよ。
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|オルフェウス！それはよかった…\nまた父上の機嫌を損ねなければ、大丈夫だ。それに、\n父上は今、俺のほうに腹を立てるので忙しいからな。
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|それは気の毒に… だけどね、たとえ君の頼みでも、僕はもう二度と、歌うつもりはないんだ。
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|ザグレウス、君は、歌う心をなくした宮廷楽士を、\n他にも知らないかい？君の父上から、いったい\nどういう了見だと詰め寄られているけれど、\n自分でもうまく説明できなくて、困っているんだ。
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|気にするな。冥王神の謁見室に仕える不死者の\n宮廷楽士なら、きっと誰もが経験することだよ。\nおまえだけが特別ってわけじゃない。
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|君が不在の間、この館は火が消えたように静かになる。僕は一応、この館付きの宮廷楽士だから、\nなんだかいたたまれない気持ちになるよ…
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|またいつでも、リラをかき鳴らしてくれて\nかまわないんだぞ？もちろん、\nおまえがその気になれば、だ。無理は禁物だからな。
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|ザグレウス、浮かない顔をして、どうしたんだい？\n何か一曲、披露しようか？
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Zagreus|「オルフェウスの嘆き」は？\n前によく歌ってたじゃないか。
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|すばらしい… 残念ながら、\n僕にはもう、歌うことはできないけれど…\n気に入ってもらえてよかった。
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|単刀直入に聞く。どうして歌わないんだ？\nおまえの名前は伝説になってるし、\n仮にも今はこの館付きの宮廷楽士だろ？
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|僕が歌う活力の源は、ある女性だった。\nその“歌女神”を失った今、歌うことができなくなった。\nそれだけのことさ。君にも経験がないかい？\nある日突然、あらゆる情熱を失ってしまったことが。
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|まあ… 思い当たる節はある。\nでも、俺はまた力の源を見つけた。\nここを出ようとしているのも、そのためだ。
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|それは何より。あいにく僕は、見つけられなかったよ。\n探すことすら、とっくにあきらめた。\nだからずっと、ここにいるよ。
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|おまえが“歌女神”と再会できるように、\n俺にできることはないか？
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|ありがたい申し出だけれど、彼女のことは\nあきらめたんだ。きっとまだ、冥界のどこかに\nいるのだろうけどね。僕はかつて、彼女を探して\n冥界をさまよった。そして、彼女を見つけた。\nだけれどそれは、遠い昔のことさ。
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|「見つけた」！？なら、どうして…
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|僕がまだ生者だった頃の話さ。君の父上は、誰も\nこの冥界から出ることを許さない。だから僕も、\nここに足止めというわけさ。以来、彼女には\n会っていない。もう昔のように、あちこち旅できる\n身分ではないしね。
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|そうだったのか… よく話してくれたな。いつかまた、\nおまえがその“歌女神”に会えることを願うよ。
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|心遣いはうれしいけれど、彼女も僕も、\nもう死んでいるんだ。だからもう、いいんだ…
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|もしよかったら、おまえが探してる“歌女神”のこと、\n詳しく教えてくれないか。
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|僕の歌女神、エウリュディケ… 彼女ほどまばゆい\n存在を、僕は知らない… その心は、ときに柳のように\nたおやかで、それでいて岩石よりも強く…彼女のことを考えただけで、僕の心は痛みだす。僕が生み出した曲の大半は、彼女への想いを形にしたものだ。
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|そうか。おまえにとって、本当に\n大切な存在だったんだな…\n失って、さぞつらかっただろう。よく話してくれたな。
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|話を聞いてくれた君に感謝するよ。エウリュディケも、いつも僕の話に耳を傾けてくれた…
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Orpheus|タルタロスの先まで進んだそうだね。\nやっぱり君は、ただものじゃない。\n正直、僕も大いに感銘を受けたよ。
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Zagreus|感銘？それはつまり、また歌いたくなったってことか？
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Orpheus|ずいぶんはっきり嫌みを言うね。今の自分に\n歌う気力があるのか… 正直、自分でもよくわからない。\n少し、考えさせてくれるかい？
OrpheusAboutHades01|Orpheus About Hades 01|Zagreus|父上はおまえに、だいぶお冠みたいだな。\n本当に歌う気はないのか？\nそんな調子だと、さらに重い罰を科されるぞ？\n父上はこけ脅しはしないからな。
