Id|Description|Speaker|Text
MegaeraWithSisyphus01|Duo - Megaera and Sisyphus (1)|Megaera|…今度あの男に手を貸せば、おまえを1000回の\nむち打ち刑に処す。次に私が戻った際、\nこの岩がまだそこにあれば、さらに1000回だ。
MegaeraWithSisyphus01|Duo - Megaera and Sisyphus (1)|Sisyphus|そりゃあまた、たいそうな大盤振る舞いだ！\n承知いたしました。お約束ですよ？それじゃ！
MegaeraWithSisyphus02|Duo - Megaera and Sisyphus (2)|Megaera|…わが身がかわいければ、おとなしく岩を運んでいろ。小ずるいことを考えるな。私はいつでも見張っている。
MegaeraWithSisyphus02|Duo - Megaera and Sisyphus (2)|Sisyphus|それはそれは、ご苦労様なことです。ご安心ください。イワコフを坂のてっぺんに運ぶぐらい、造作もないことですよ。ま、一度もやり遂げたことはございませんが！
MegaeraWithSisyphus03|Duo - Megaera and Sisyphus (3)|Megaera|…王子の件が片づき次第、おまえの監視任務に\n復帰する。それまでの間も、おまえは定め通り、\nその岩を日々坂の上へ運搬すること。\nわかっているな？
MegaeraWithSisyphus03|Duo - Megaera and Sisyphus (3)|Sisyphus|ご安心ください、イワコフは…\nあー、イワコフというのはこの岩のことですが、\nこれまでどおり、定期的に、きちんと、わずかずつ、\n押し上げて参りますゆえ。では、失敬！
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|…それと。これ以上、ザグレウス王子に\n助力することは禁ずる。よいな？
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Sisyphus|それはもう、当然でございます！\nそんなこと、考えもいたしません。\n私の頭は、この岩をどうやって上へ運ぶか、\nその方法を考えるだけで精いっぱいでして。
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|フン… 私は仕事に戻る。\nおまえも、おのれの務めを果たせ。
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Sisyphus|承知いたしました、タナトス様。\n今後は決して、ザグレウス王子を手助けいたしません。今度こそは、誠にございます。
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Thanatos|おまえが前言を翻し、それが冥王の知るところと\nなれば、おまえも私もただでは済まぬ。\nよく肝に銘じておけ。
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Thanatos|…これでわかっただろう。死を免れようとすれば、\n恐ろしい結果を招く。今後は私の忠告に従うことだ。\nさもなくば、死後生において多大な苦痛を味わう\nことになる。
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Sisyphus|お言葉ですが、タナトス様、私は神々の皆様を、\n恐ろしいと思ったことがないのでございます。\n皆様、われわれ人間と同様、大変苦悩しておいでです。\n無論、死の恐怖とだけは、無縁でいらっしゃいますが。
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Thanatos|おまえに神々の苦悩の何がわかる。\nおのれの過ちが招いた結果を、じっくりと時間を掛けて\n省みるがいい。数千年、あるいは数万年の後にでも、\nその成果を確認しにきてやろう。
