Id|Description|Speaker|Text
InspectHouse01|Inspect House 01|Storyteller|{#DialogueItalicFormat}神々の取り決めにより、冥王の所領となった広大な\n暗き根城、「ハデスの館」。それは、冥王神ハデスが、\nわがままな嫡男とともに暮らす居城でもある。
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|{#DialogueItalicFormat}かつてはささやかな酒場だった一画は、現在封鎖されている。多頭の番犬ケルベロスが、姿を消した王子に\n会えぬ悲しみから、暴れて破壊し尽くしたためだ。
InspectShades01|Inspect Shades 01|Storyteller|{#DialogueItalicFormat}死して冥界に送られてきた亡霊たちは、\nみずからの因果な境涯を嘆き、愚痴を吐き出す相手を\n求めて、館内をあてもなく彷徨っている。
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|{#DialogueItalicFormat}ハデスの館に住まう、渋面の面々。\n彼らにささやかな娯楽の場をと設けられた酒場だが、\n皮肉にも、そこで過ごせばかえって気分がふさぐ。
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|{#DialogueItalicFormat}酒場の殺風景な壁の一角に、華やかな掲示板が\n備えられている。冥王ハデスにとりわけ\n貢献した者たちを褒めたたえるものだ。
InspectCellar01|Inspect Cellar 01|Storyteller|{#DialogueItalicFormat}冥王ハデスの館の奥部に隠された、古の酒樽。\nこれらの美酒を味わえる者は、ひと握りだ。\n貯蔵場所に近づくことを許される者にいたっては、\nさらに限られる。
InspectCellar01|Inspect Cellar 01|Storyteller|{#DialogueItalicFormat}ハデスの館に蓄えられた、酒樽の数々。中を満たして\nいた葡萄酒は、オリュンポスの神々が一堂に会する宴が開かれて以降、ほぼ空のままとなっている。
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|{#DialogueItalicFormat}オリュンポス山より切り出した石を使用し、技術の粋を尽くして彫り上げたオリュンポス神殿の彫刻は、薄暗いハデスの館でも、絶えず輝きを放つ。当主の一族に当たる神々より、餞別の品として贈られたものだ。
InspectMural01|Inspect Mural 01|Storyteller|{#DialogueItalicFormat}こまやかに描き上げられた、巨大なモザイク画。\n広大な領地を統べる冥王と、\n彼を畏怖する冥界の住人たちの姿をとらえたものだ。
InspectThrone01|Inspect Throne 01|Storyteller|{#DialogueItalicFormat}厳格な冥王ハデスが、権力の象徴ともいうべき玉座を\n空けることは、きわめて珍しい。館の使用人たちは\n不在の理由を尋ねようとすらせず、\n普段どおりめいめいの仕事に邁進している。
InspectHouseGarden01|Inspect House Garden 01|Storyteller|{#DialogueItalicFormat}ザグレウス王子が、生まれてこの方足を踏み入れる\nことの許されなかった、王妃ペルセポネの庭園。\nその美しき全貌が、ついにあらわとなった。
Flashback02|Flashback 02|Storyteller|{#DialogueItalicFormat}見とがめられることを半ば恐れつつ、\n冥王の荘厳な玉座に近づくザグレウス。\n彼はそこで、思いも寄らぬものを発見する。
Flashback03|Flashback 03|Storyteller|{#DialogueItalicFormat}明確に何かを探していたわけではない。\nただ、漠然と、違和感だけは抱きつづけてきた。\n自分はいったい、何者なのか。冥王ハデスに\n問うたところで相手にされるはずもなく、\n王子はみずから答えを探すことにしたのだった。
Flashback04|Flashback 04|Storyteller|{#DialogueItalicFormat}父王の私物を探る。特にめぼしい物はなさそうだ。\n台帳、書類、目を通した形跡のないオリュンポスからの書簡… 嫡男に関するものは見当たらない。
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}しかしひとつだけ… 王子には見覚えのない\n筆跡と調子でつづられた書き付けがあった。
Flashback05|Flashback 05|Persephone|{#DialogueItalicFormat}ハデス。もう耐えられません。死ぬことになっても\nかまわない。私は出ていきます。オリュンポスには、\n戻りません。この世界に私の居場所があるなら、\nきっと、天界と冥界の狭間のどこか。ささやかな\n庭のある、海辺の地でしょう。ケルベロスのこと、\nよろしくお願いします。
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}こうして冥界の王子ザグレウスは、みずからの母が\nしたためた秘密の手紙の内容を知ったのだった。
Flashback05|Flashback 05|Zagreus|「みずからの母」… ？ってことは… \nこの「ペルセポネ」が、俺の…？でも父上は、\n俺の母親はニュクスだと… 父上もニュクスも、\n俺をずっとだましてたのか…！
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}…。\nこうしてザグレウスは、厳重に隠匿されてきた、\nみずからの出自の真相を知ったのだった。\nそれは、完全なる偶然のできごとであった…
Flashback06|Flashback 06|Storyteller|{#DialogueItalicFormat}ペルセポネ… 一時は冥界全土を統べる王妃だった\n彼女は、なぜ館を去ったのか。今はいずこにいるのか。\n新たな疑問と怒りに駆られ、ザグレウスは父王に\n直接問いただすことを決意した。
Flashback_DayNightJob_02|Flashback Day Night Job 02|Storyteller|{#DialogueItalicFormat}ザグレウス王子は、おのれに課された責任の\n一切を放棄し、父王の館内を悠長に歩く。\nこうした状況下では早急な対応をと命じられている\nにもかかわらず、まるで意に介していない様子だ。
Flashback_DayNightJob_03|Flashback Day Night Job 03|Storyteller|{#DialogueItalicFormat}廊下の先で手招きする、執務室への扉。\nうまくやれば、中で働く者たちに気づかれる\nことなく、室内に入ることができるかもしれない。
Inspect_HousePillars_01|Inspect House Pillars 01|Storyteller|{#DialogueItalicFormat}地中に大量に秘された、玲瓏な宝珠の数々。\nその多くは、ハデスの館の装飾に使用されている。\n冥王ハデスは死者の神であると同時に、\n富の神でもあるのだ。
Inspect_NorthFountain_01|Inspect North Fountain 01|Storyteller|{#DialogueItalicFormat}生命の源である水は、闇に沈む冥界の片隅にも流れる。\n彷徨う亡霊たちはその様を眺め、\n水でのどを潤し空気を吸うことのできた、\n在りし日の儚いひとときを追憶する。
Inspect_SouthFountain_01|Inspect South Fountain 01|Storyteller|{#DialogueItalicFormat}ザグレウスはみずから集めた宝珠を費やし、\nかくも豪華な噴水を発注した。それを目の当たりにした亡霊たちは皆、いまだに王子に感謝している。
Inspect_Cauldron_01|Inspect Cauldron 01|Storyteller|{#DialogueItalicFormat}死者に食事は必要ない。にもかかわらず、\n彼らは料理を味わわんとする。生者の暮らしに\n思いをはせることで、心の平穏を得られるかのように。
Inspect_KitchenIsland|Inspect Kitchen Island|Storyteller|{#DialogueItalicFormat}ザグレウスは空腹である。しかし、\n厨房にあれほど多大な投資をしたにもかかわらず、\nそこにまっとうな食料は見当たらない。
Inspect_PoetBust_01|Inspect Poet Bust 01|Storyteller|{#DialogueItalicFormat}ギャラリーには、名高い詩人の胸像が飾られている。\n歳の割には精悍な顔だちだ。未来に運命づけられた\n名声をつかむには至っていないものの、\n彼はいつの日か、名を上げることだろう。
Inspect_AsphodelStatue_01|Inspect Asphodel Statue 01|Storyteller|{#DialogueItalicFormat}調度品として、永久に館を飾ることとなった、\nブラッドレスの白骨。館の主への務めを果たした、\n凶暴な従者への追悼の品である。
