Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|ザグレウス。\n妹たちと話し合い、互いに協力することにした。
FurySistersUnion01|Fury Sisters Union 01|Alecto|メガイラ、ティシポネ、準備はいいかい？
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*殺シィ…！*
FurySistersUnion01|Fury Sisters Union 01|Zagreus|三対一か… ちょっと卑怯じゃないか？
FurySistersUnion01|Fury Sisters Union 01|Megaera|お互い、いまさら公正な戦いに\nこだわる意味がどこにある？\nおまえを殺すためなら、私は手段を選ばない。\nわれわれエリニュス三姉妹が相手をしてやる。
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|見ろ、ティシポネ。“殺し”の犯人が現れたぞ。
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|*殺シィィ…*
Fury3SisterUnionSingleSis01_A|Fury 3 Sister Union Single Sis 01 A|Tisiphone|*殺シィ…！*
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*殺シ… 殺シィ…*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|メグの妹だな？ザグレウスだ。よろしく。俺の名前は\n「殺シ」じゃないし、人殺しもしてない。
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|殺シ… *殺シィ…！*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|いや… たしかに俺は、いろいろ悪いこともやらかして\nきた。でも、人殺しだけは、誓ってやってない。
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*殺… 殺シィィィィ…！*
Fury3PostEnding01|Fury 3 Post Ending 01|Zagreus|ティシポネ、今日は仕事で来たんだ。\nできれば、そこをどいて…\nいや、この仕事の目的を果たすには、君にも全力で\n俺を止めようとしてもらわないと、意味がないか…
Fury3PostEnding01|Fury 3 Post Ending 01|Tisiphone|殺、シ… シ… *シィィィ…*
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Zagreus|館での宴に参加してもらえなくて、残念だ。\nまあ、君はああいう席には興味がないかも…\nいや、アレスがいたか。あいつはたぶん、\n確実に何人か殺してる。
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Tisiphone|殺シ…？殺シィ。*殺シ！*
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|*殺… シ…？*
Fury3Encounter01|Fury 3 Encounter 01|Zagreus|…いや、「殺シ」は、ナシにしないか？\n殺シ、ナシ！
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|*殺… シ…*
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|殺シ…？殺シ、殺シィ…！
Fury3Encounter02|Fury 3 Encounter 02|Zagreus|なあ、せっかくだから、殺し以外の話をしないか？
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|殺シィ… *殺シィ…！*
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|コ…  コ…  殺…！
Fury3Encounter03|Fury 3 Encounter 03|Zagreus|「殺シ」、だろ？ 君の言いたいことはわかってるよ。
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|殺シ… 殺シィ…！！
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|殺… 殺… シィ…
Fury3Encounter04|Fury 3 Encounter 04|Zagreus|俺は誰も殺してない。そこをどいてくれ。
