Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|ザグレウス、こたびは勇敢なるアテナもやってきたぞ。知恵の女神らしい抜け目のなさで、他の神々はおろか、私への報告すらせずに、真っ先におまえと接触した。
ZeusWithAthena01|Zeus With Athena 01|Athena|父上、あのような些事はすべて私の裁量で対処し、真に重要な懸案のみを父上のお耳に入れるようにすれば、\n万事において、より迅速な対応が可能となるでしょう。とはいえ、ザグレウスも私も、父上がご介入くださったことに、心より感謝しています。
ZeusWithAres01|Zeus With Ares 01|Zeus|ザグレウス！わが権限をもって、\n息子のアレスに力添えをさせよう。\nアレスはなにかと誤解されがちな神だが、\nその力は必ずや、おまえの役に立とう！
ZeusWithAres01|Zeus With Ares 01|Ares|御意に。父上の望みは、私の望みゆえ。
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|ザグレウスよ、おまえも、麗しのアフロディテに\nまみえることを夢見ておるだろう。無論、会うか否かは\nザグレウスがいつかオリュンポスにたどり着いた際に、\nみずから決めればよい。そうであろう、アフロディテ？
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|まあ！ゼウス様が、そんな無粋なことをおっしゃる\nなんて… 私たち皆が手本とするお方ですのに。\nこの愛の女神アフロディテに、\n本気でそんなことをおっしゃるのですか？
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|ザグレウス、おまえは若く、男振りもよい。\nオリュンポスに到達した暁には、ふさわしき伴侶を\n見つけてやらねばな。幸い、候補には事欠かぬ。\nただし… わが娘アルテミスは例外だ。あれは\n誰に言い寄られても、決して伴侶を持とうとせぬ。
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|容姿じまんの求婚者たちからしょっちゅう\n言い寄られたり、失礼なことを言われたりするけど、\nあたしはひとりが好き。さみしくなったときは、\n友だちのニンフたちと森で過ごす方がぜんぜんいいよ。
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|よいか、ザグレウス。デメテルに関して誤解を\nしているのであれば、私が解いてやろう。デメテルは、\nわが姉も同然。とはいえ、じつの姉弟ではない。\n彼女の両親もわが父母もティタンであり、同じ最期を\n遂げたのは事実だがな。
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|ゼウス、あなたにしては、ずいぶん気の利いた\n心配りですこと。あたかも、私に聞こえていることを\n意識して、今だけは事実を述べざるを得なかった、\nと言わんばかりですね。
ZeusAboutLuciferAspect01|Zeus About Lucifer Aspect 01|Zeus|私が伝授した目覚めの呪文を、エクサグリフに\n唱えてみたか？おまえにその気がないのなら、\n私が直々に唱えてやってもよいぞ。「われは見る。\n業火の中へ、誇り高く堕天するそなたの姿を」！
ZeusAboutLuciferAspect02|Zeus About Lucifer Aspect 02|Zeus|エクサグリフ自体、奇怪な武具ではあるが、また一段と\n奇抜な意匠を帯びたな。私が伝授した目覚めの呪文が\n効いたか。それはたしか… ルシファーの態。\n主たる実父を武力にて討たんとした者と聞く。\nいつの時代にも、似た話はあるものだ。
ZeusAboutDemeter03|Zeus About Demeter 03|Zeus|すでに女神デメテルの凍てつく指先に触れたようだな。\n冷淡な印象を受けるかもしれぬが、\nどうかおおらかな目で見てやってほしい。\nあれは、なにかとつらい目に遭ったのだ。
ZeusAboutDemeter01|Zeus About Demeter 01|Zeus|ザグレウス、すでにわが姉デメテルに毒されて\nしまったようだな。…いや、「姉同然に育った」と\n明言せねば、デメテルはまた機嫌を損ねるか。\nわが偉大なる一族の一員であることを、\n彼女は頑として認めようとしないのだ。
ZeusAboutDemeter02|Zeus About Demeter 02|Zeus|デメテルの斜に構えた態度は、多めに見てやって\nほしい。娘が失踪した悲しみが、癒えていないのだ。\nあれからずいぶん経つが… あの娘はある日突然、姿を\n消した。私もなんとかデメテルを元気づけようと\nしているのだが… いまだにその話は禁句でな。
ZeusAboutPersephone01|Zeus About Persephone 01|Zeus|デメテルも哀れなことだ… 彼女の麗しき娘がどこへ\n消えたのか、いまだ知れぬ。人間と駆け落ちしたか…\nさらにばかげた噂も聞く。だが、何もかも鵜呑みに\nするでないぞ。デメテルの前でこの件を口にするのも\n控えることだ。姉の傷は、いまだ癒えてはおらぬ。
ZeusAboutPersephone02|Zeus About Persephone 02|Zeus|デメテルはいまだに、失踪した娘のことばかり口に\nする… あの娘はもう、戻らぬのだ。われらは喪に\n服した。デメテルが現実を受け入れれば、われらは\n一丸となって前を向き、進んでゆけるのだがな…\nそれで神々の絆も、一段と深まるというものだ。
ZeusAboutOlympianReunionQuest01|Zeus About Olympian Reunion Quest 01|Zagreus|よし、一か八かだ…\nハデス神の名において、オリュンポスの神に、\n言づてを捧げん！偉大なるゼウス叔父上に、\nぜひとも受け取ってもらいたい。
ZeusAboutOlympianReunionQuest01|Zeus About Olympian Reunion Quest 01|Zeus|これは… 言づてか。わが雷霆の印を帯びているところを\n見ると、私宛てだな。オリュンポスの他の神々宛てにも\n一通ずつあるようだが… 彼らはすでに受け取ったのか？\n差出人は… なるほど、おまえの父か。\nでは、内容を改めるとしよう。
ZeusAboutOlympianReunionQuest02|Zeus About Olympian Reunion Quest 02|Zeus|ザグレウスよ、おまえが届けてくれた\n謎めいた言づて、その全内容が明らかになる時を\n待ちわびている。他の者に宛てた分についても、\n届き次第、留意しておこう。
ZeusPostEpilogue01|Zeus Post Epilogue 01|Zeus|ザグレウスよ、ついにおまえにまみえることが叶い、\n喜ばしいことだ！ペルセポネの無事も判明し、\nニュクスも噂に違わぬ麗しさであった。おまえが\n両親の素性を偽っていた件、思うところはあるが、\n神々の世の事情は複雑… 所詮、過ぎたことだ！
ZeusAboutPoseidon01|Zeus About Poseidon 01|Zeus|どうやら、ポセイドンに先を越されたようだな。\nあの男は、二言目には自慢話であろう？\nハデスも、私以上にあの男を嫌っている。\n海王神の嵐を、私が派手に色づけてやろう！
ZeusAboutAthena01|Zeus About Athena 01|Zeus|わが剛毅なる娘、アテナに先を越されたようだな。\nかまわぬ。わが祝福も加われば、\nおまえは向かうところ敵なしとなろう。
ZeusAboutAphrodite01|Zeus About Aphrodite 01|Zeus|ザグレウス、おまえはすでに、美神アフロディテの\n魅力の虜か？彼女の力は、敵に破滅をもたらそう。\nだがそこにわが力も加われば、恐るるものはない！
ZeusAboutArtemis01|Zeus About Artemis 01|Zeus|わが娘、アルテミスに気に入られたか。\nあれはあのとおりの跳ねっ返りで、\n他者を敬うことを知らぬ。父である私さえな！\nまあよい。わが祝福で、その力を高めてやろう。
ZeusAboutAres01|Zeus About Ares 01|Zeus|わが息子、アレスと親しくしているようだな。正直、\nあれの代わりにおまえが息子であればと… いやいや、\n冗談だとも！さあ、わが祝福を受けるがよい！
ZeusAboutDionysus01|Zeus About Dionysus 01|Zeus|ディオニュソスと、ずいぶん親しくしているようだな。じつに結構。しらふの友がついていれば、私も安心だ。礼として、おまえには私の祝福を授けてやろう！
ZeusAboutHermes01|Zeus About Hermes 01|Zeus|ここまでの道のり、ずいぶん速く踏破したな。\n速いといえば… 近頃ヘルメスの姿が見えぬ。\nきっとまたどこかで油を売っているに違いない！
ZeusAboutHades01|Zeus About Hades 01|Zeus|ザグレウス、折り入って相談がある。おまえがまた\n父君に会う機会があれば、「弟ゼウスは兄を許す」と\n伝えてもらえぬか？兄を再び一族の一員として\n迎え入れたいと、言付けしてはもらえぬか？
ZeusBackstory01|Zeus Backstory 01|Zeus|わが甥よ、おまえは、ハデスが夜母神ニュクスとの\n間にもうけた子であるな…？冥界で出会うことの\nかなう者のうち、后にふさわしき女神は、彼女ぐらい\nしかおらぬのだろうが… 私としては、兄上を\n今少し健全な女と引き合わせたいところだった。
ZeusBackstory02|Zeus Backstory 02|Zeus|女神ニュクスより、おまえの存在と窮状を知らされ、\nわれらオリュンポスの神々は、総力を結して\nおまえに助力することを決めたのだ。\nわが一族は決して、身内を捨て置きはしない。
ZeusBackstory03|Zeus Backstory 03|Zeus|ハデス兄とポセイドン兄はかつて、\nティタンとの戦いで私と肩を並べ戦った。\n戦はわれらの勝利となり、われらが地上を平定した。\nその後おまえの父は冥府へと下り、\n以来、互いに顔を合わせることもほぼなくなった…
ZeusBackstory04|Zeus Backstory 04|Zeus|おまえの父はおそらく、こう主張していることだろう。\n自分が冥界を統べることとなったのは、おのれの\n意志ではなく、運命の三女神の定めによるものだと。\nたしかに、不運でないとは言い切れぬな。ポセイドンと\n私は、これといって不満のない暮らしだ。
ZeusBackstory05|Zeus Backstory 05|Zeus|わが兄ハデスは、かねてより孤立しがちだった。\n気の毒だとは思ってはいたが、\nあの男もこちらと打ち解けようとはしない。\n今ではひとり冥界で鬱々と暮らしているが、\nおまえがその怒りのはけ口に甘んじるいわれはない。
ZeusBackstory06|Zeus Backstory 06|Zeus|兄ハデスとは、再三接触を試みているのだが、あちらは無視を決め込んでいてな。頑固にもほどがある… 天界の身内を頼ることにしたおまえの判断、じつに賢明だ。
ZeusAboutNyx01|Zeus About Nyx 01|Zeus|ザグレウス、ぶしつけを承知で言うが… 噂によれば、\nおまえの母君ニュクスはじつに麗しいと聞く。おまえの\n父親は伴侶に関してあまり頓着せぬ男と思っていたが…\nあの妾の存在が、あの男を変えたのかもしれぬな！
ZeusRunProgress01|Zeus Run Progress 01|Zeus|ザグレウス、地上に到達した暁には、すぐに私を\n頼るがよい。おまえをオリュンポスの頂へ導くよう、\n私がじきじきに手配してやろう。
ZeusRunProgress02|Zeus Run Progress 02|Zeus|おまえがいかに冥界からの脱出をせつに望んでいるか、\n私も承知している。それは、私の望みでもあるのだ。\n私は、望んだことは必ず実現させる。\nゆえに、おまえの望みは必ず叶う！
ZeusHasWeapon01|Zeus Has Weapon 01|Zeus|おまえは「永遠の長槍ヴァラサ」で、\n父ハデスの軍勢と戦っているのか…\nなんという皮肉。遠い昔、ハデスはその槍を携え、\n私と肩を並べ、ティタンに立ち向かったのだ。
ZeusHasWeapon02|Zeus Has Weapon 02|Zeus|その弓は、コロナハトだな？おまえの手中に\nあるのなら、私も安心だ。しかし、こうして\n実物を見るのは、いつぶりであろうか！
ZeusHasWeapon03|Zeus Has Weapon 03|Zeus|その盾は、アイギスだな。遠い昔、私が携えたものだ。\n今の私には必要のない武具だが、おまえがそれを\nどこで手にしたかは、気になるところだ。\nオリュンポスに到着した暁には、ぜひ聞かせてほしい。
ZeusHasWeapon04|Zeus Has Weapon 04|Zeus|それは… アダマント電磁砲！やはり、\n敵は離れた場所より撃ち倒すにかぎる！\nおまえに稲妻を扱うことは叶わぬが、\n次善の武具であることは間違いなかろう。
ZeusHasWeapon05|Zeus Has Weapon 05|Zeus|それは、双拳マルフォンだな？\nはるか昔に、デメテルが愛用した籠手だ。当時は、\nわが姉も闘志に燃える戦士だった。うしろ向きな\n発言ばかりする今の姿からは、想像できぬだろうがな！
ZeusAboutZeusAspect01|Zeus About Zeus Aspect 01|Zeus|それは… わが最愛のアイギス！いや…“かつての”、\nとするべきか。今の私には、この雷霆があるからな。\nとはいえ、わが名を冠した盾がおまえの手中にある\nとは、じつに誇らしい！
ZeusRevealsLuciferAspect01|Zeus Reveals Lucifer Aspect 01|Zeus|ザグレウスよ、とくと聞け。エクサグリフの目覚めの\n呪文と、それにまつわる幻影を見た。「われは見る。\n業火の中へ、誇り高く堕天するそなたの姿を」。\nエクサグリフに、この言葉を掛けよ。その武具の過去\nあるいは未来の使い手も、神に手向かったようだ。
ZeusRunCleared01|Zeus Run Cleared 01|Zeus|ザグレウスよ、おまえが脱出に成功したかに思われた\n瞬間、必ず、われらとの接触が断たれる。いわゆる、\n“運命の悪戯”というものか？あるいは… 冥界の番犬\nケルベロスは、噂以上に恐ろしい獣なのかもしれぬな！
ZeusPostEpilogue02|Zeus Post Epilogue 02|Zeus|おまえの母ペルセポネは、聡明な女神だ。おまえの\n父以上といえよう。おまえがペルセポネとハデスの\n仲を取り持ち、館でも新たな職務を得た由、私に\nとっても喜ばしい知らせだ。今後も助力を続けよう。\nいつか再びまみえる日が来ることを願っているぞ！
ZeusPostEpilogue03|Zeus Post Epilogue 03|Zeus|ザグレウス！おまえの父の国が\n本来あるべき姿に戻った件は、喜ばしい。\nだが、ここだけの話… 私にとっては、\nおまえが今後もハデスを倒しつづけるということが、\n何より愉快だ！引き続き、励むがよい。
ZeusPostEpilogue04|Zeus Post Epilogue 04|Zeus|ザグレウス、おまえの母君ペルセポネは、じつに聡明な女神だ。傲慢なハデスとは、似合いの夫婦といえよう。ヘラと私と、よい勝負だな！
ZeusHighAffinity01|Zeus High Affinity 01|Zeus|オリュンポスと世界を統べる王として、ユーモアの\nセンスは必須の才。しかし、ここオリュンポスには\nささやかなユーモアすら理解せぬ者が多すぎる。\n私はあの者たちの母親全員と知った仲だというのに！\nこうなったら、冗談のかぎりを尽くしてやろう！
ZeusAboutRumors01|Zeus About Rumors 01|Zeus|冥界にも私の逸話の数々は聞こえている\nだろうが、すべてでたらめだぞ！とはいえ、\nわが勇名をたたえたものは、すべて事実だ。\n大半は、多少控えめに語られているがな…
ZeusAboutKeepsake01|Zeus About Keepsake 01|Zeus|それは… 私が贈った「雷霆の印判」だな！\nその印判より響く“呼び声”は、\nオリュンポスの山頂までしかと届いたぞ。
ZeusLowHealth01|Zeus Low Health 01|Zeus|ザグレウス、なんというひどい有様だ！\n冥界の軍勢に手を焼いているようだな。\n私が手当をしてやろう。
ZeusLowHealth02|Zeus Low Health 02|Zeus|わが甥の危難とみて、対処中の件を中断し、\nすぐに駆けつけてやったぞ。私が助力しよう。
ZeusLowHealth03|Zeus Low Health 03|Zeus|どうした、ザグレウス！\n体内の血を、館に忘れてきたか？*ハーッハッハッハ！*\n…冗談はさておき、ひどいけがではないか。
ZeusLowHealth04|Zeus Low Health 04|Zeus|好きこのんで死ぬ者はおらぬが… おまえはいつ死んでもおかしくない状態だな。だが、気を落とすでないぞ！
ZeusLowHealth05|Zeus Low Health 05|Zeus|ザグレウス、率直に言っておまえは今、\n死んだも同然だ。だがおまえには、ステュクス川より\n這い上がり、再度挑戦する気骨があろう？
ZeusLowHealth06|Zeus Low Health 06|Zeus|よいか、ザグレウス！おまえは人間ではない。\nくれぐれも死に癖をつけぬようにな！\nだが、どうしても死なねばならぬときは、\n英雄らしく、最期まで戦い抜いて死ね！
ZeusLegendaryPickUp01|Zeus Legendary Pick Up 01|Zeus|わが甥よ、雷神ゼウスの祝福を授かる心構えは\nできているか？絶大な力ゆえ、心して受け、\n賢明に振るうがよい。
ZeusLegendaryPickUp02|Zeus Legendary Pick Up 02|Zeus|ザグレウス、取るに足りぬ雑魚どもを、逐一相手に\nするのは時間の無駄だ。冥界に大嵐を起こし一気に\n片づけてはどうか？今回は、特に強力な祝福を\n授けてやろう。父の鼻を明かしてやるのだ！
ZeusFirstPickUp|Zeus First Pick Up|Zagreus|これはまさか… あの神…？よし… ハデス神の名に\nおいて、オリュンポスの神の御言葉を賜らん！
ZeusFirstPickUp|Zeus First Pick Up|Zeus|よくぞ参った！おまえの父は気難しい男で、\nもうずいぶん音沙汰がない。おまえは冥界に\nとどまるより、オリュンポスに昇ることで、\nより幸多き日々を送れるだろう。私も助力するぞ。
ZeusMiscPickup01|Zeus Misc Pickup 01|Zeus|また会ったな！おまえの脱出劇に関しては、\n私のあずかり知らぬこと。しかし、甥の窮状を\n気にかけずにはいられぬ。おまえの父にくじ運が\nなかったからといって、息子に当たるのは筋違いだ。
ZeusMiscPickup02|Zeus Misc Pickup 02|Zeus|ザグレウス！天界の恵みを分けてやろう。\nただし、おまえの父には、くれぐれも内密に頼むぞ？\n甥を甘やかしていると知れれば、面倒なことになる。
ZeusMiscPickup03|Zeus Misc Pickup 03|Zeus|私を始めとするオリュンポスの神々は皆、\nおまえの脱出の成功を望んでいる。\n私も助力するとしよう。
