Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|만나서 반갑군. 요즘 아주 바빠 보이는데. 내가 도울 일이 있다면 알려주시게. 하긴 내가 보니 자네 혼자서도 아주 잘 해결하고 있는 것 같군.
AchillesGrantsCodex|Achilles Grants Codex|Achilles|나가서 직접 해 보면 느낌이 올 거야. 대련 연습을 많이 했지만, 아무렴 실전만한 건 없지. 자, 널 위해 준비한 게 있다.
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|잠깐만요. 저한테 그 고서를 주시는 거예요? 제가 그걸 감히 어떻게 받습니까!
AchillesGrantsCodex|Achilles Grants Codex|Achilles|내가 꼭 주고 싶어서 그러니 거절하지 마라. 전쟁뿐만이 아니라 역사에 대한 너의 애정이 계속 커져 나가기를 바라는 마음에서 주는 거야. 혹시 알아? 네가 그 역사를 마무리 짓는 장본인이 될지.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|아킬레우스, 제가 떠난 뒤 케르베로스가 휴게실을 난장판으로 만들어 놓았다는 게 사실인가요? 사실이라면 엄청난 벌을 받았을 것 같은데.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|네가 그 모습을 봤어야 하는데. 마치 태풍이 휩쓸고 간 포도밭을 보는 것 같더군! 네 아버지의 분노는 이루 말할 수 없었지. 하지만 개한테는 절대 화를 내지 않는 분이잖아. 정작 불쌍한 건 그곳을 치워야 하는 두사지.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|아, 두사가 어떻게 됐는지 궁금하던 참이었는데. 이런 일이 벌어지지 않았을 때도 아버지가 자길 해고할까 봐 늘 불안해했거든요.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|말이 나와서 말인데, 그곳은 요즘 들어 평소보다 활기가 넘치더군. 오래된 설비가 수리를 거치고, 새로운 가구가 들어오고... 보기 좋더라고. 다 네 덕분 아니겠냐.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|아, 그거요? 제가 뭘 했다고요. 그래도 저를 계기로 좋은 변화가 생겼다니 기쁘네요. 실제 일은 집 계약자가 다하고 있는걸요. 전 그냥 지시만 내릴 뿐이에요.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|자금도 마련하고. 너희 아버지는 지하세계를 자신만의 방식으로 다스리지. 원래 꽤 호화로운 곳인데 언젠가부터 네 아버지가 집을 꾸미는 데 전혀 신경을 안 쓰더라고. 그런 의미에서 아주 반가운 변화야.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Achilles|계속 정진해라. 내 평생을 살아오며 많은 위대한 인간을 만나 봤다. 그 경험을 바탕으로 자신에게 닥친 상황을 극복할 수 있는 사람을 알아보는 혜안이 생겼지. 내가 그랬듯 너도 끝까지 싸워라.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Zagreus|아킬레우스, 당신을 본받아 저들에게 지옥을 보여 주겠습니다. 물론 타르타로스에 도달한 많은 혼령들은 저보다는 당신을 맞서다 왔겠지만 말이죠.
AchillesMiscMeeting02|Achilles Misc Meeting 02|Zagreus|아킬레우스, 제 방 밖에 놓여 있던 무기에 대해 감사할 분이 누구인지 알 수 있을까요?
AchillesMiscMeeting02|Achilles Misc Meeting 02|Achilles|글쎄 모르겠구나. 하지만 혹시 내가 그자를 만나게 된다면 네 마음을 전하마.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Achilles|네가 싸워야 할 적은 죽은 자도, 네 아버지도 아니다. 지하세계 전체이다. 지하세계는 네 탈출을 막도록 설계되었어. 너도 지금쯤이면 모든 방이 그 목적에 맞게 다시 정렬되었다는 걸 눈치챘을 거야.
