Id|Description|Speaker|Text
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Zeus|이제 자그레우스 네가 도착했으니, 자네 같이 훌륭한 젊은이에겐 적절한 짝을 찾아줘야지 않겠는가! 보통은 이 주변에도 선택할 여지가 아주 많다네. 약간의 예외는 있지만 말일세... 예를 들면 내 교활한 딸 아르테미스가 있지. 누구하고도 짝을 맺으려 하지 않는다네!
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Artemis|맞아, 자그레우스. 이 조각한 듯한 완벽한 신체 덕분에 결혼해 달라는 요청이 빗발치지만, 그럼에도 나는 왠지 숲에서 님프 친구들과 어울리거나 혼자 시간을 보내는 쪽을 선호하지!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Artemis|쳇, 음. 자그레우스... 이번에는 네게 눈부시고, 친절하고, 관대하신 아버지, 위대하신 너의 삼촌 제우스님을 소개할게!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Zeus|*음*. 소개해 줘서 고맙다, 딸아. 이제 넌 가서 님프인지 뭔지하고 시간을 보내거라. 나는 조카와 이야기를 좀 해야겠다. 가기 전에 필요하다면 네 미약한 축복이라도 좀 내려 줘라.
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Artemis|우리 아버지와 삼촌은 이미 잘 알 테고. 자그레우스? 둘 중 어느 쪽이 더 별로인지는 모르겠어요. *아니*, 내 말은... 더 뛰어난지 모르겠어요! 올림포스 아래 바다에서 일생의 거의 대부분을 보냈는데도 여전히 대단한 분이시죠. 안 그래요, 삼촌?
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Poseidon|오, 아르테미스. 하데스에게 날 위해 자랑질까지 할 필요는 없단다! 게다가 바다에 있든 육지에 있든 그 아래 세상에 있든, 신의 능력에는 아무런 차이가 없어! 너희 둘은 아직 참 어리구나! 계속 노력해라. 조만간 나만큼 위대해질 수 있을 테니까!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|저기, *어*, 자그레우스! 전부터 궁금한 게 있었는데, 오해하진 말고 들어, 알았어? 아, 이런. 그녀가 왔네.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Aphrodite|아르테미스, 어째서 말문이 막힌 거야! 지하세계에 있는 저 작은 신 때문인가? 아니면 나 때문인 거야? *흠흠*, 그건 너 자신이 누구보다 잘 알겠지만!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|*으*, 내가 뭐라 말하려 했더라. 신경 쓰지 마. 나중에 다시 얘기하든 할게.
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Artemis|*저기*, 자그레우스. 이번에는 내 사냥꾼 본능으로 숨었는데도 아프로디테를 피하지 못했어, 왠지 모르겠지만 아프로디테가 우리 둘이 너 앞에 동시에 나타나야 한다나 뭐라나.
