Id|Description|Speaker|Text
ChaosAboutBeowulfAspect01_A|Chaos About Beowulf Aspect 01 A|Chaos|네가 이지스라고 부르는 그 만물을 꿰뚫어 보는 유물에 대해서는 아직 이야기하지 않았다. 운명의 세 자매가 설계한 그 모습이 좋다면 그대로 두라. 하지만 생각이 바뀐다면 이렇게 말하라. *나 그대가 뱀의 화염에 맞서는 모습을 보았노라.*
ChaosAboutBeowulfAspect01|Chaos About Beowulf Aspect 01|Chaos|아직 내가 전한 주문을 사용하지 않았나? 어쩌면 내게 결과를 보여주지 않기로 한 것일지도. 언젠가는 그 결과를 보고 싶다. 기억하라, 하데스의 아들. 모든 것을 보는 유물에 말하라: *나 그대가 뱀의 화염에 맞서는 모습을 보았노라.*
ChaosAboutBeowulfAspect02|Chaos About Beowulf Aspect 02|Chaos|무한한 가능성을 뚫고 하데스의 아들이 내 앞에 섰다. 그가 들고 있는 나의 만물을 꿰뚫어 보는 유물은 아직 태어나지 않은 저 북쪽의 베오울프란 자의 양상을 띄고 있다. 얼마나 기상천외한 일인가.
ChaosSurfaceQuestComplete|Chaos Surface Quest Complete|Chaos|내 작고 둥근 매개체를 들고서 네 아버지와 맞서는 모습을 희미하게 감지했다. 나의 바람과 너의 성공이 운명의 세 자매의 설계 속에 조화를 이루는 듯하다. 결과는 기대한 것보다 즐거웠다. 그러므로 고맙다.
ChaosAboutNyx05|Chaos About Nyx 05|Chaos|지하 세계에서 이상한 활동이 탐지되었다, 하데스의 아들아... 막대한 어둠이 고대의 매개체에 응축되어 마치 밤에 빛을 내는 봉화처럼 보이는도다. 닉스 또는 그대의 작업이리라. 결과를 기대하고 있다.
ChaosAboutNyx06|Chaos About Nyx 06|Chaos|여신 닉스를 다시 만나는 것은 큰 즐거움이다, 하데스의 아들이여. 마지막 만남 이후로 흐른 상당한 시간이 오랜 상처를 아물게 하기에 충분하였다. 시간이 지날수록 우리 관계의 근간이 다시 형태를 취해가리라.
ChaosAboutResponding01|Chaos About Responding 01|Chaos|우리가 점차 가까워지고 있으니 한 가지는 분명히 해두겠다, 하데스의 아들이여. 나는 대화를 견디지 못하니, 찾아오면 듣기만 하고 표식을 받은 다음 떠나라. 필요할 때만 대답하라. 아니면 시켰을 때에만. 알겠는가?
ChaosAboutResponding01|Chaos About Responding 01|Zagreus|...듣기만 하라니, 마치 올림포스의 신들이 보낸 메시지를 받았을 때와 같군요. 잠깐, 지금 저한테 말을 시키신 겁니까, 카오스님? 아니면 계속 입을 다물고 있어야 할지요?
ChaosAboutResponding01|Chaos About Responding 01|Chaos|난 그대에게 충고를 할 수 없다. 그러나 방금은 말을 시킨 것이 맞다. 그렇다면 그대 마음껏 언제든 말하도록 하라. 비록 내 의사는 그걸 원하지 않으나. 나는 절대적 침묵을 선호한다. 그대의 선호는 아니겠지.
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|제우스와 올림포스 산에 사는 그의 친족들은 네가 하데스와 여신 닉스 사이에서 태어났다고 생각하는 건가? 그 얘길 듣고 얼마나 놀랍던지. 닉스는 지하세계에서 태어난 많은 이들을 자기 자식처럼 보살폈어. 너도 그중 하나가 아니란 법 있겠어?
