Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|메가이라. 오. 누가 올 거라 기대 안 했는데. 혹시 너 그냥 기웃거리고 있던 거야... 아니면 나한테 뭐 볼일 있는 거야?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...막 가려던 참이었어, 자그레우스. 너 때문은 아니고, 그냥 지나던 길에 남아 있는 내 물건 가지고 가려고 들렀어. 그나저나 여길 아주 엉망으로 만들어 놨던데.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|...가 버렸네. 미치겠네. 그럼 그렇지! 결국 서로 끊임없이 죽고 죽이는 짓을 다시 반복하게 되겠군.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|내 침실에 있는 그거. 그건 잊어 줘. 응, 메가이라?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|안 돼. 우리 얘기 좀 해. 이제 내 자매들이 이번 일에 관여하게 됐어. 너 아주 난장판을 만들어 놨더라.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|미안해. 어머니가 저 바깥 어딘가에 계셔. 찾을 때까지는 마음을 놓을 수가 없어. 넌 이해 못할 거야.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|넌 모를 걸. 내가 하려는 말은... 내 자매들이 끼어들면서 상황이 바뀌었다는 거야. 내 부담이 줄어들었어.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|무슨 말이지?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|그러니까... 네가 어머니를 찾으려 한다는 거 알아, 자그레우스. 나도 할 일이 있지만, 널 도울 방법을 알아볼게.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|메가이라...! {#DialogueItalicFormat}아{#PreviousFormat}.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|나도 알아. 미안해. 하지만 내가 해야 하는 일이야. 넌 이해 못하겠지만.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|부담이 줄다니... 잠깐, 그럼 넌 이제 뭘 하려고?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|그러니까... 너한테 할 일이 있다는 건 나도 알아, 자그레우스. 나랑 내 자매들은 널 막으려 하겠지. 하지만 내가 널 막는 건 그게 내 일이기 때문이야. 내 말 알겠어?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|메가이라... 이렇게 놀라울 데가. 다시. 뭔가? ...무슨 일이야? 잠깐. 왜 그런 눈으로 보는 거야?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|자그레우스, 그런 멍청한 질문은 그만하고 이쪽으로 올래? 지금 당장.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...난... 넌 정말... 아...
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...네가 물어볼 줄은 몰랐어. 그래도 물어봐 줘서 기뻐.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|음, 메가이라, 나는... 그러니까 내가 하려는 말은, 너... 우리 괜찮은 거지...?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|정신 사납게 굴지 마, 자그레우스. 지금쯤이면 나를 좀 잘 알아야 되는 거 아니니. 그래, 네가 정 알고 싶다면... 우리 괜찮은 것 같아. 하지만 네가 다른 살아 있는 영혼, 아니 죽은 영혼한테라도 이걸 말하면 죽인다. 알겠어?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|난... 그럼, 메가이라. 아주 잘 알겠어. 그럼... 이제 어떻게 되는 거야?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|어떻게 되냐고? 타르타로스 끝자락에서 만나겠지, 아마. 아니면 여기서 만나거나. 이걸 얼마나 오래 할 수 있을까.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|이걸 얼마나 오래 할 수 있을까?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|넌 질문이 너무 많아, 자그레우스. 나한텐 네게 줄 답이 없어. 게다가 막무가내로 사는 건 나보다 네가 더 잘하잖아. 또 보자.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...또 보자! ...그래.
Text|Text|Zagreus|...난... 메가이라, 난 정말 기뻐. 넌 내게 아주 소중한 존재야. 다만... 내가 우리 관계에서 원하는 건 이런 게 아니야. 내가 너를 착각하게 만들었을까 봐 두려워. 용서해 줘. 그래도 친구로 남아 줄 거지?
Text|Text|Megaera|...그게 다야...? 내 친구가 되는 게? {#DialogueItalicFormat}허. {#PreviousFormat}가끔은 종잡을 수가 없단 말이야. 그치만 지금까지 온갖 짓을 다 해봤으니, 네가 말한 대로 한들 안 될 거 있겠어? 그럼 밖에서 보자고.
Text|Text|Megaera|...괜찮겠어? 그래, 난... 정말 괜찮아. 그럼 밖에서 보자.
Text|Text|Zagreus|...내가 그랬어. 때로는 하던 일을 늦출 필요가 있어. 요새 우리 사이가 좋아져서 다행이야. 하지만 내가 너무 강하게 다가간 것 같아. 용서해 줘. 넌 내 소중한 친구야. 네가 상처받는 건 싫어. 그런 일은 없었으면 좋겠어.
Text|Text|Thanatos|아... 그래. 알겠어. 너도 내 소중한 친구지. 하지만 최근에는 우리 관계를 망칠 만한 일들을 많이도 저질렀군. 안 그래? 몸 조심해, 자그레우스. 또 보자.
Text|Text|Zagreus|그래, 또 보자.
Text|Text|Zagreus|타나토스... {#DialogueItalicFormat}하하하{#PreviousFormat}, 정말 기쁘다! 근데... 메가이라도 여기 온 거 알고 있어...?
Text|Text|Thanatos|{#DialogueItalicFormat}쯧쯧. {#PreviousFormat}난 너보다 메가이라를 훨씬 오래 알고 지냈다고. 누가 나를 여기로 보냈을 것 같아?
Text|Text|Zagreus|하! 메가이라가 널 설득했구나? 그거 좋다! 그거 좋네.
Text|Text|Thanatos|확실해? 글쎄... 알겠어. 일을 하러 가보는 게 좋겠어.
Text|Text|Zagreus|...또 보자, 타나토스.
