Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|...가 보시오, 이방인. 바깥에는 당신과 싸우고 싶어 하는 혼령이 널리고 널렸으니.
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|그냥 지나가는 길일 뿐이에요. 다른 혼령들에 비해 호전적으로 보이지 않는군요. 이름을 물어봐도 될까요? 전 자그레우스라고 하는데.
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|이름은 결국 잊히기 마련이오. 당신은 여기 있어서는 아니 되오. 운명이 당신의 여정에 호의를 베풀기를. 하지만 그 반대의 상황이 닥칠 수도 있으니 이걸 가지고 가는 게 어떻겠소?
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|무슨 문제가 있는 건가요? 그러니까 제 말은, 영원한 자부심, 영광, 이런 것들을 들먹이며 싸우려 해야 하는 거 아닌가요?
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|그게 무슨 소용이 있겠소? 누가 물어보면 싸웠다고 칩시다. 그러니 가 보시오. 그리고 내겐 당신과 다툴 이유가 없소. 난 그냥 여기서 편히 쉬고 있을 테니. 수백만 년 동안 그랬듯이 말이오. 좋은 낮, 밤... 뭐든 보내시오.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|아직도 엘리시움 안에서 헤매고 있군. 영광이라는 명목으로 내 형제들과 싸우고 있는 거요?
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|전 지상으로 향하는 길이에요. 지적하셨듯 그쪽 형제들이 제 발목을 잡고 있긴 하지만요. 영광인지 제 아버지의 명령인지 명분은 제 알 바 아니고.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|당신의 아버지...? 아, 그렇겠지. 당신은 왕자니까. 그렇다면 누구보다 잘 알겠군. 당신이 어떤 특권을 갖고 태어났든 여기서는 우리보다 나을 게 없는 존재요. 자, 가시오.
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|또 당신이로군. 내 앞에 나타나지 말라고 하지 않았던가? 그쪽 아버지가 여기서 워낙 유명 인사라 말이지. 그렇지만 나에겐 아무 의미 없소. 가서 아버지께 원한다면 날 타르타로스 구덩이에 가둬도 좋다고 전하시오. 여기 초원에 오래 있었으니 나름 신선한 변화가 될지도 모르겠군.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|지난번에는 내가 불쾌하게 굴었소. 내 무례를 용서하시오. 용서 안 해도 할 수 없지만 사과하고 싶었소.
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|신경 안 써도 돼요. 그런데 혹시 제가 도움이 될 만한 일이 있다면 꼭 알려 주셨으면 합니다.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|실망스럽겠지만 당신에게는 날 이 고리에서 풀어 줄 힘이 없소. 그러니 가서 하던 일이나 계속하고 난 그냥 내버려 두시오.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|이방인이여, 내 경고하는데, 자꾸 이런 식으로 나타나면 새로 별명을 지어 줄 수밖에 없다는 걸 명심하시오.
PatroclusMeeting06|Patroclus Meeting 06|Zagreus|뭘 또 그렇게까지 하세요. 무리하실 필요 없어요. 우린 그냥 아는 사이일 뿐인데. 나도 당신에 대해 아무것도 모른다고요.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|모르는 편이 나을 거요. 이곳은 위대한 그리스인들을 위한 곳이오. 내가 그 기준에 맞는다고 보시오? 가서 테세우스나 그런 부류와 대화를 나누는 게 훨씬 나을 거요.
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|이방인이여, 괜찮다면 말해 보시오. 어째서 자꾸 나와 마주치는 거요...? 이곳은 엘리시움에서도 가장 구석진 곳인데.
PatroclusMeeting07|Patroclus Meeting 07|Zagreus|지하세계의 방이 계속 이동하다 보니 종종 그렇게 되네요. 우리가 만나는 건 그저 우연일 뿐이에요.
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|터무니없는 우연의 연속은 운명의 세 자매가 개입했다는 뜻일 거요, 아마도. 당신을 믿어야 할지 말아야 할지 모르겠지만 확실한 건 지금 당장 당신이 떠났으면 하는 거요.
PatroclusMeeting07B|Patroclus Meeting 07 B|Patroclus|터무니없는 우연의 연속은 운명의 세 자매가 개입했다는 뜻일 거요, 아마도.
PatroclusMeeting08|Patroclus Meeting 08|Patroclus|이번엔 또 뭐요? 날 찾아내는 실력은 뛰어난데 날 편히 쉴 수 있게 내버려 두는 건 전혀 소질이 없나 보군.
PatroclusMeeting08|Patroclus Meeting 08|Zagreus|천상을 유람하고 있는 것일 뿐이에요. 목적지로 향하는 길목에 당신이 있었을 뿐이고요.
PatroclusMeeting08|Patroclus Meeting 08|Patroclus|이곳이 천상이라고 생각하시오? 심연으로 내려가 보면 고통에 몸부림치는 영혼들이 얼마나 많은 줄 아시오? 기분 나쁘라고 한 말은 아니오. 그냥 행인일 뿐이니.
PatroclusMeeting09|Patroclus Meeting 09|Patroclus|이방인이여, 요즘 반항은 어떻게 되어 가고 있소? 나도 한때 신을 거역하려 반항한 적이 있었다오.
PatroclusMeeting09|Patroclus Meeting 09|Zagreus|아, 그거요, 계속 진행 중이에요. 이 멀리까지 왔다는 건 그래도 뭔가 발전이 있다는 뜻이겠죠. 엘리시움에 있는 그쪽 형제들의 방해에도 불구하고.
PatroclusMeeting09|Patroclus Meeting 09|Patroclus|여기 있는 내 형제들에게 논리적으로 따져 봤자 아무 소용 없소. 당신이 지금까지 만난 많은 혼령은 살아생전에 자신의 삶을 내던졌던 자들이오. 그런데도 여전히 자신들이 위대한 전사임을 자신과 서로에게 증명하려 애쓰고 있소.
PatroclusMeeting10|Patroclus Meeting 10|Zagreus|근처에 레테의 강이 있지 않나요? 그렇게 힘든 일을 겪었으면... 그냥 강물을 깊이 들이키고 잊어버리면 될 텐데요?
PatroclusMeeting10|Patroclus Meeting 10|Patroclus|아주 끌리는 말이로군. 가끔은 한 모금씩 마시기도 하오. 하지만 아직은 포기할 수 없는 기억이 있지.
PatroclusMeeting11|Patroclus Meeting 11|Zagreus|이 빈터를 떠나고 싶은 생각은 안 들었나요? 엘리시움은 아름다운 곳인데... 볼 것이 많아요. 계속 여기 있을 건가요?
PatroclusMeeting11|Patroclus Meeting 11|Patroclus|그럴 생각은 없소, 이방인. 살아 숨쉴 적에 많은 곳을 여행했소. 덕분에 방랑벽은 사라졌지. 지금은 이 구석이 내게 잘 맞는다오. 저기 석상도 있고, 강도 있고... 제법 괜찮은 곳이오.
