Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...이 정원을 돌보느라 얼마나 많은 나날을 보냈는지... 밤이라고 할까? 여기선 시간을 알기가 어려워. 하지만 내 생각보다 더 오래 돌보았을 거다...
Ending01|Ending 01|Hades|...페르세포네... 나는...
Ending01|Ending 01|Persephone|케르베로스! 정말 보고 싶었어. 넌 여전히 충직하구나.
Ending01|Ending 01|Hades|...미안하다. 진심으로 미안해.
Ending01|Ending 01|Persephone|하데스... 당신 피곤해 보여. 하지만 당신이 사과해야 할 대상은 나뿐만이 아닐 텐데.
Ending01|Ending 01|Hades|알지, 알아... 당신은 왜 돌아왔지? 만약 올림포스에서, 당신 어머니가 무슨 일이 일어났는지 안다면, 설령 {#DialogueItalicFormat}제우스{#PreviousFormat}라 할지라도 여기서 일어날 일을 막지 못할 텐데!
Ending01|Ending 01|Persephone|{#DialogueItalicFormat}아{#PreviousFormat}, 그건 어떻게 할지 나름 생각이 있지. 하지만 당신과 자그레우스의 협조가 필요해. 아니면 나 그냥 돌아갈까?
Ending01|Ending 01|Hades|협조라고? 암브로시아라도 건네서 협상하자는 건가? 설령 당신이라도 망가진 가정을 고칠 수는 없어, 페르세포네.
Ending01|Ending 01|Persephone|맞아, 하데스! 난 못해. 나 혼자서는 말이야. 그래서, 나 도와줄 거야, 말 거야?
Ending01|Ending 01|Hades|...당신이 부탁하는 뭐든지.
Ending01|Ending 01|Persephone|그럼 우선 당신 아들하고 얘기 좀 해.
Ending01|Ending 01|Hades|...{#DialogueItalicFormat}음{#PreviousFormat}. 자그레우스? 우리의 왕비 페르세포네는 이미 만나보았구나. 어머니에게 항상 경의를 표하도록 해라!
Ending01|Ending 01|Zagreus|우와, 아버지. 저를 이름으로 부르시다니! 이 묘한 기분은 뭘까요? 이게 아버지가 말씀하신 {#DialogueItalicFormat}경의{#PreviousFormat}라는 걸까요?
Ending01|Ending 01|Persephone|둘 다 그만해. 내가 후회하게 만들지 마, 하데스. 아들한테 솔직하게 얘기해. 나 말고 당신에 대해서 말이야. 어서.
Ending01|Ending 01|Hades|그래, 자그레우스... 내가 너를 함부로 대했던 때가 있었지. 너를 인내심을 가지고 대하지 못했어. 내 판단이 틀렸을 때조차 네 판단에 의문을 제기했지. 사과하고 싶구나, 아들아. 네게 할 말이 없다. 용서를 구하지는 않으마.
Ending01|Ending 01|Zagreus|어머니에 대해서 거짓말하신 건요? 그것도 사과하실 건가요? 항상 저한테 화를 내셨죠... 이젠 아버지를 뵈면 또 뭘로 트집을 잡으실까 궁금할 지경이에요. 그래서 화가 나요. 하지만 적어도... 아버지는 정직한 분이라고 생각했어요.
Ending01|Ending 01|Hades|처음 만났을 때 네 어머니는 여기를 자발적으로 온 게 아니다. 그리고 네가 사산됐다고 믿은 네 어머니는 떠났지... 그리고 다시는 돌아오지 않겠다고 했다. 난 우리가 없으면, 올림포스의 신들이 끼어들지 않으면 네 어머니가 더 나은 삶을 살 거라고 생각했다. 너희 두 사람을 속이면서... 내 마음도 찢어지는 것 같았어. 하지만 그래야만 했다.
Ending01|Ending 01|Zagreus|그렇다고 그 울분을 평생 저한테 쏟으실 필요는 없었을 텐데요. 하지만 이제 이해했어요. 좀 더 빨리 이해했으면 좋았겠지만요. 그래서... 이제 어떡하죠? 아버지 영역을 약탈하는 게 너무 익숙해졌는데. 그리울 거예요.
Ending01|Ending 01|Hades|그것에 대해서 말이다만... 네가 {#DialogueItalicFormat}어질러놓은 {#PreviousFormat}덕에 우리 보안의 문제를 알 수 있었단다. 보고서에는 절대 올라가지 않는 것들이지. 우리 명성은 여기서 탈출은 없다는 것에 달려 있다. 앞으로도... 탈출해 보려 하지 않겠느냐? 나를 위해서가 아니다. 이 세계를 위해서다. 왕비를 위해서.
Ending01|Ending 01|Persephone|자그레우스... 네가 밖에서 계속 싸우면... 모든 게 예전과 같다는 인상을 주는 데 도움이 될 거다.
Ending01|Ending 01|Zagreus|질문이 있습니다, 아버지. 제가 받아들인다고 치죠. 다음에 제가 지상에 도달하면... 그때도 아버지가 거기 계실 건가요?
Ending01|Ending 01|Hades|아, 얘야. 네가 한순간이라도 내가 이 일 때문에 널 봐줄 거라고 믿었다면, 다시 생각해야 할 게다.
