Id|Description|Speaker|Text
AresWithPoseidon01|Duo - Ares and Poseidon (1)|Ares|내 지옥의 혈족아, 네 아버지와 좀 더 가까웠으면 좋겠다고 생각하던 시절이 있었다. 내가 이렇게 말하는 것을 용서하라. 네 아버지와 여기 내 삼촌은... 나하고 성향이 매우 다르거든.
AresWithPoseidon01|Duo - Ares and Poseidon (1)|Poseidon|자네가 그렇게 이상하게 굴지 말고 좀 더 가까워지려고 노력을 했으면 됐을 텐데, 아레스. 그랬으면 우리가 좀 더 비슷했을 거야! 혹시 지금이라도 그렇게 하고 싶다면 나한테 말하라고!
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Artemis|우리 아버지와 삼촌은 이미 잘 알 테고. 자그레우스? 둘 중 어느 쪽이 더 별로인지는 모르겠어요. *아니*, 내 말은... 더 뛰어난지 모르겠어요! 올림포스 아래 바다에서 일생의 거의 대부분을 보냈는데도 여전히 대단한 분이시죠. 안 그래요, 삼촌?
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Poseidon|오, 아르테미스. 하데스에게 날 위해 자랑질까지 할 필요는 없단다! 게다가 바다에 있든 육지에 있든 그 아래 세상에 있든, 신의 능력에는 아무런 차이가 없어! 너희 둘은 아직 참 어리구나! 계속 노력해라. 조만간 나만큼 위대해질 수 있을 테니까!
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Aphrodite|우리 가족에 대해 한 가지 알아 둬야 할 게 있어, 자기. 각자 별난 점이 하나씩은 있다는 거. 그래도, 우린 언제나 함께 하며 서로를 사랑하는 건 변함 없지만!
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Poseidon|오, *오호*! 이게 무슨 일이지, 꼬마 하데스? *둘이 *함께 있다니! 둘만의 시간을 갖도록 내 자리를 비켜주지. 내 입은 전함의 닻보다 무거우니 걱정 말고!
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Aphrodite|굳이 안 가도 돼요, 포세이돈! 당신이 얼마나 멍청한지 설명하려던 참이었는데. 뭐, 같이 있어 보면 바로 깨닫겠지만! 그건 그렇고, 내가 무슨 말을 하고 있었더라...?
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*어*, 자그레우스. *음*... 네 삼촌이 지나가거든. 아버지 말고, *그*, 다른 삼촌 말이야. 잠깐 네가 어떤지 보겠다고...
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Poseidon|*아하*, 내 꼬마 조카가 거기 있었군! 디오니소스가 이것저것 가르쳐 주던 중이었나 봐? 그래도 제대로 된 연회를 원한다면 *나*한테 붙는 게 좋을 거야. *자*, 내 축복을 받으라고!
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*어*, 아무튼 여기서 널 기다리고 있다고! 언젠가는 네가 해내리라고 믿어.
AthenaWithPoseidon01|Duo - Athena and Poseidon (1)|Athena|주인이신 아버지 제우스와 다른 우리 가족이 자그레우스, 너의 존재를 처음 알았을 때, 가장 처음 바다와 땅의 힘을 너에게 내려주겠다고 하신 것이 포세이돈 님이었지. 그렇지 않습니까, 삼촌?
AthenaWithPoseidon01|Duo - Athena and Poseidon (1)|Poseidon|그렇지, 아테나. 기억력이 어찌나 좋은지! 우리 우울한 형제 하데스가 이렇게 훌륭한 아들을 낳았다니! 얼마나 훌륭한지도 모른단 말이야! *너*, 조카야. 넌 더 잘할 수 있어. *자*!
PoseidonWithZeus01|Duo - Poseidon and Zeus (1)|Poseidon|작은 하데스야, 내 형제인 제우스를 만났다면서! 신 중의 신이라 불리기도 하지! 하지만 여러 면에서 나만큼 강력하진 않아! 늠름하지도 않고. 내가 말이지, *앗*--!
PoseidonWithZeus01|Duo - Poseidon and Zeus (1)|Zeus|형제여... 나에 대해서 함부로 입을 놀릴 만큼 어리석진 않은 것으로 알고 있는데! 눈치가 없다는 건 알고 있지만, 우리 조카랑 대화할 땐 각별히 조심해야 할 거야.
PoseidonWithZeus01|Duo - Poseidon and Zeus (1)|Poseidon|*그*, *어*, 아무튼 내가 말했지, 꼬마 하데스! 우리 형제 제우스는 모든 신들의 왕이야! 가장 강력하고, 늠름하고, 무엇보다 *신적*이지 않느냐!
PoseidonWithAthena01|Duo - Poseidon and Athena (1)|Poseidon|지금은 자네도 알겠지만 우리는 아주 크고 영리한 가족이야, 작은 하데스! 여기 내 조카 아테나는 그중에서도 가장 영리한 아이지. 이렇게 우리 가족을 잘 돌보는 이 친구에게 아이가 없다는 것은 참 놀라운 일이지 않나.
