Id|Description|Speaker|Text
Text|Text|Zagreus|...난... 메가이라, 난 정말 기뻐. 넌 내게 아주 소중한 존재야. 다만... 내가 우리 관계에서 원하는 건 이런 게 아니야. 내가 너를 착각하게 만들었을까 봐 두려워. 용서해 줘. 그래도 친구로 남아 줄 거지?
Text|Text|Megaera|...그게 다야...? 내 친구가 되는 게? {#DialogueItalicFormat}허. {#PreviousFormat}가끔은 종잡을 수가 없단 말이야. 그치만 지금까지 온갖 짓을 다 해봤으니, 네가 말한 대로 한들 안 될 거 있겠어? 그럼 밖에서 보자고.
Text|Text|Megaera|...괜찮겠어? 그래, 난... 정말 괜찮아. 그럼 밖에서 보자.
Text|Text|Zagreus|...내가 그랬어. 때로는 하던 일을 늦출 필요가 있어. 요새 우리 사이가 좋아져서 다행이야. 하지만 내가 너무 강하게 다가간 것 같아. 용서해 줘. 넌 내 소중한 친구야. 네가 상처받는 건 싫어. 그런 일은 없었으면 좋겠어.
Text|Text|Thanatos|아... 그래. 알겠어. 너도 내 소중한 친구지. 하지만 최근에는 우리 관계를 망칠 만한 일들을 많이도 저질렀군. 안 그래? 몸 조심해, 자그레우스. 또 보자.
Text|Text|Zagreus|그래, 또 보자.
Text|Text|Zagreus|타나토스... {#DialogueItalicFormat}하하하{#PreviousFormat}, 정말 기쁘다! 근데... 메가이라도 여기 온 거 알고 있어...?
Text|Text|Thanatos|{#DialogueItalicFormat}쯧쯧. {#PreviousFormat}난 너보다 메가이라를 훨씬 오래 알고 지냈다고. 누가 나를 여기로 보냈을 것 같아?
Text|Text|Zagreus|하! 메가이라가 널 설득했구나? 그거 좋다! 그거 좋네.
Text|Text|Thanatos|확실해? 글쎄... 알겠어. 일을 하러 가보는 게 좋겠어.
Text|Text|Zagreus|...또 보자, 타나토스.
Text|Text|Zagreus|...내 말 좀 들어 봐. 너희 둘 다 내겐 참 소중해. 우리가 이렇게 가까워져서 기뻐... 너희가 예전처럼 서로 죽이려 들지 않고 가까워져서 말이야. 하지만 이건 내가 당장 받아들이기엔 좀 과한 것 같다.
Text|Text|Megaera|...확실해? 야... 난 완전 괜찮아. 그럼 밖에서 보자고.
Text|Text|Thanatos|나중에 또 이야기하자, 알겠지?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|타나토스....! 들어오라고 하려고 했는데... 이미 들어왔네. 만나서 정말 좋다.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|한 가지만 말해 줘, 자그레우스. 지난번에 네가 한 말... 우리 시간을 좀 갖자고 한 거... 그 말 진심이었어?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|난 그냥... 네 대답을 강요하고 싶지 않았어, 타나토스. 대답하기 쉬운 일이 아니라는 거 알아. 난 그냥... 내가 충동적으로 이러는 게 아니라는 걸 알려주고 싶었어. 얼마가 걸리든 기다릴게.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|{#DialogueItalicFormat}크흐흐! {#PreviousFormat}넌 따라야 할 충동과 억눌러야 할 충동을 전혀 분간하지 못하는군. 기다린다고 하니까 이렇게 물어볼게. 뭘 기다리는 거야? 뭘 기다리냐고. 내가 이렇게 여기 왔잖아. 안 그래...?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|타나토스...! {#DialogueItalicFormat}하하하{#PreviousFormat}, 그래, 네 말이 맞아!
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|이봐, 타나토스... 말을 좀 해 봐. 네가 너무 오래 침묵하면 불안하다고. 무슨 생각을 하고 있어?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|여러 가지. 이 침묵을 좋아하게 될 거야, 자그레우스. 내 말은... 내 침묵을 나쁘게 생각하지 말라는 거야. 알겠지? 그건 그렇고 가봐야겠다. 하던 일이 있어서... 또 보자. 그래도 괜찮다면 말이야.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|괜찮아. 괜찮아.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|자그레우스, 너는 문도 없잖아. 왜 그렇게 항상 놀라는 거야?
