Id|Description|Speaker|Text
ZeusWithAthena01|Duo - Zeus and Athena (1)|Zeus|봐라, 자그레우스. 여기 용맹한 아테나가 내 혈족 가운데 가장 먼저 내게 다가가는구나. 어찌나 선구적인지 내게 말도 안 하고 자그레우스를 만났어!
ZeusWithAthena01|Duo - Zeus and Athena (1)|Athena|아버님, 그렇게 함으로써 더 많은 문제를 빠르고 조용하게 해결할 수 있기 때문입니다. 그래서 아주 중요한 문제만이 아버지의 귀에 들어갈 수 있도록 말이지요. 물론 자그레우스와 저는 아버님께서 개입하셨다고 해도 기뻐했을 것입니다.
ZeusWithAres01|Duo - Zeus and Ares (1)|Zeus|조카야! 자주 오해를 받는 나의 아들 아레스가 너에게 작게나마 힘을 보태 주도록 내 신성한 권위로 허락하겠다. 너에게 꼭 도움이 되도록 만들어 주마!
ZeusWithAres01|Duo - Zeus and Ares (1)|Ares|아버지, 분부대로 하겠습니다. 아버지가 원하는 것이 바로 제가 원하는 것 아니겠습니까.
ZeusWithAphrodite01|Duo - Zeus and Aphrodite (1)|Zeus|젊은이, 자네가 어여쁜 아프로디테와 직접 만나보고 싶을 거라 생각했네. 아니면 네가 직접 여기 도착해서 결정할 수도 있겠지. 그렇지 않느냐, 나의 아프로디테, 응?
ZeusWithAphrodite01|Duo - Zeus and Aphrodite (1)|Aphrodite|어머, 제우스 님! 어쩜 그렇게 무례한 말씀을 하시나요! *제우스 님*께서 그런 말씀을 *제게 *하시면 나머지 신들의 규율이 얼마나 흔들리겠어요!
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Zeus|이제 자그레우스 네가 도착했으니, 자네 같이 훌륭한 젊은이에겐 적절한 짝을 찾아줘야지 않겠는가! 보통은 이 주변에도 선택할 여지가 아주 많다네. 약간의 예외는 있지만 말일세... 예를 들면 내 교활한 딸 아르테미스가 있지. 누구하고도 짝을 맺으려 하지 않는다네!
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Artemis|맞아, 자그레우스. 이 조각한 듯한 완벽한 신체 덕분에 결혼해 달라는 요청이 빗발치지만, 그럼에도 나는 왠지 숲에서 님프 친구들과 어울리거나 혼자 시간을 보내는 쪽을 선호하지!
ZeusWithDemeter01|Duo - Zeus and Demeter (1)|Zeus|자, 젊은이. 자네가 착한 데메테르에 대해 무슨 이야기를 들었는지 모르겠지만 내 설명을 좀 해 줌세. 데메테르는 내게 누이와 같지만 그뿐이야. 비록 데메테르의 티탄 부모와 나의 부모가 똑같은 운명을 맞이했지만 말일세.
ZeusWithDemeter01|Duo - Zeus and Demeter (1)|Demeter|저런, 내 이복 동생 제우스! 웬일로 제법 솔직하잖아! 마치 내 귀에 들리는 소리만큼은 진실만 말하기로 한 것처럼 생각될 정도야.
ZeusAboutLuciferAspect01|Zeus About Lucifer Aspect 01|Zeus|내가 알려준 주문을 엑사그리프에게 읊어보았나? 내가 직접 읊어보고 싶군! 기억하거라, '*나 그대가 천국에서 불길로 떨어지는 오만한 모습을 보았노라*'.
ZeusAboutLuciferAspect02|Zeus About Lucifer Aspect 02|Zeus|엑사그리프가 전혀 낯선 모습이 되었구나! 주문이 먹힌 모양이야. 그 양상의 주인이 루시퍼였던가? 자기 아버지를 공격했다지! 별로 새로울 것은 없는 이야기야.
ZeusAboutDemeter03|Zeus About Demeter 03|Zeus|데메테르가 자네를 혹독하게 대하고 있더군. 분명 우리 가문에서 아주 쌀쌀맞은 편이긴 하지. 안 그런가? 하지만 인내를 갖고 대해 주게. 힘든 일을 많이 겪었거든.
ZeusAboutDemeter01|Zeus About Demeter 01|Zeus|내 착한 누이 데메테르가 네가 나를 거스르도록 조종했다는 게 사실인가, 젊은이? 아, 데메테르 말로는 *이복 누이*라고 해두어야겠지, 우리 가족의 일원이 되기를 어찌나 싫어하는지 말이야.
ZeusAboutDemeter02|Zeus About Demeter 02|Zeus|데메테르의 혹독함을 용서해야 하네, 조카. 아직도 딸이 갑자기 사라진 충격에서 헤어나오지 못하고 있으니 말이야. 그 아이가 *휙*! 갑자기 사라진지 한참이 지났거늘. 그 이후로 내가 항상 분위기를 누그러뜨리려 애를 쓴다만, *소용이 없네.*아직도 가시방석이야!
ZeusAboutPersephone01|Zeus About Persephone 01|Zeus|가엾은 데메테르. 데메테르의 딸이 어떻게 되었는지 아직도 의문이야. 필멸자와 도망이라도 간 건지? 더 가당찮은 소문도 있더군. 듣는 대로 다 믿지 말고 주의 깊게 걸러 들어. 데메테르는 이미 충분히 힘들어했으니까.
ZeusAboutPersephone02|Zeus About Persephone 02|Zeus|데메테르는 지금도 잃어버린 딸 이야기를 하고 있어, 자그레우스. 그치만 이해하길 바라. 그 아이는 죽었어. 우리 모두 슬퍼했지. 어쩌면 데메테르도 언젠가는 그 사실을 받아들일 날이 오겠지. 그러면 우리는 더 끈끈한 가족이 되어 앞으로 나아갈 수 있을 거야.
ZeusAboutOlympianReunionQuest01|Zeus About Olympian Reunion Quest 01|Zagreus|이걸로 돼야 할 텐데... 하데스의 이름으로! 올림포스여, 공식적인 메시지를 전합니다! 찬란한 제우스 님, 나의 제우스 삼촌을 위하여.
ZeusAboutOlympianReunionQuest01|Zeus About Olympian Reunion Quest 01|Zeus|이런, 뭘 가져온 건가, 젊은이? 무슨 메시지 같은데, 내 천둥 인장이 찍혀 있군! 올림포스의 모든 이에게 메시지가 하나씩 있다고? 다들 받기는 한 건가? 뭐라고 적혀 있는지 봐야겠어... 네 아버지가 보낸 거구나. 이런 걸 보낼 만한 자가 또 누가 있겠어? 내용을 확인해 봐야겠군.
ZeusAboutOlympianReunionQuest02|Zeus About Olympian Reunion Quest 02|Zeus|네가 이곳까지 보낸 그 흥미로운 메시지의 내용이 무엇인지 너무나도 궁금하구나. 조카야! 참으로 신비롭구나. 전달되는 다른 모든 메시지도 꼭 받아 볼 수 있게 주의 깊게 살펴보마.
ZeusPostEpilogue01|Zeus Post Epilogue 01|Zeus|자그레우스, 뒤늦게나마 널 만나서 정말 기뻤다! 페르세포네가 무사하다니 얼마나 기쁜지 모른다! 그리고 닉스는 소문만큼이나 아름답더구나. 네 혈통에 대해 거짓말을 한 건 잘못된 행동이었다만, 상황이 워낙 복잡하기도 하고 이미 지나간 일이니 이제 와서 왈가왈부해 봐야 소용없겠지.
ZeusAboutPoseidon01|Zeus About Poseidon 01|Zeus|포세이돈이 이미 널 찾아왔다면서? 자만감에 부푼 내 형제가 나보다 하데스와 더 사이가 안 좋나 보더군. 그래서 널 위해 포세이돈의 폭풍에 번개를 약간 넣어 줄까 해!
ZeusAboutAthena01|Zeus About Athena 01|Zeus|내 용맹한 딸 아테나가 이번에 나보다 먼저 너에게 찾아갔다지? 어찌 됐든, 그 애의 축복과 나의 축복을 받은 널 막을 수 있는 자는 아무도 없다!
ZeusAboutAphrodite01|Zeus About Aphrodite 01|Zeus|아름다운 아프로디테 때문에 벌써 바빠진 게냐, 자그레우스? 아니면 올림포스의 축복을 내려 그 애의 파멸의 힘에 내 힘을 더한다면 어떻겠느냐?
ZeusAboutArtemis01|Zeus About Artemis 01|Zeus|신출귀몰한 아르테미스가 너에게 호의를 보였다지? 그 누구에게도 존중이란 없는 아이인데, 심지어 나에게도 말이야! 어찌 됐건 그 애의 축복에 힘을 실어 주겠다.
ZeusAboutAres01|Zeus About Ares 01|Zeus|아레스하고 잘 지내고 있느냐, 조카야? *허허*. 네가 그 친구 아들이 아니라 내 아들이었다면... 하하, 농담이다! 자, 내 축복을 받거라!
ZeusAboutDionysus01|Zeus About Dionysus 01|Zeus|너와 디오니소스가 사이좋게 지내고 있다니 기분이 좋구나. 분별력 있는 친구가 생겼으면 했는데, 그런 의미에서 너에게 축복을 내리마!
ZeusAboutHermes01|Zeus About Hermes 01|Zeus|흠, 여기까지 아주 빨리 도달했군. 마치 나를 떠올리게 하는 걸. 헤르메스가 빠르다는 건 다 옛말이네! 얼마나 꾸물대는지!
ZeusAboutHades01|Zeus About Hades 01|Zeus|조카야, 너에게 꼭 부탁하고 싶은 게 하나 있는데 말이다. 네 아버지와 마주칠 일이 또 생긴다면 제우스가 용서하겠다고, 그리고 관계를 회복해 가족으로 받아들이고 싶어 한다고 전해다오. 그렇게 해 주겠느냐?
ZeusBackstory01|Zeus Backstory 01|Zeus|하데스가 밤의 여신인 닉스 사이에서 낳은 아들이 너라고? 조카야, 그게 사실이냐...? 너희 아버지가 저 아래 세상에서 왕비라고 여길 만한 존재는 닉스밖에 없었겠지. 좀 더 괜찮은 타입의 여자와 맺어 주려 노력했건만, 결국 이렇게 되었구나.
ZeusBackstory02|Zeus Backstory 02|Zeus|우리 올림포스의 신들은 네가 겪은 곤경과 네가 닉스의 자식이라는 사실을 알았을 때 한데 모여 최대한 널 돕기로 했다. 우리 가문은 스스로를 지켜야 하니까!
ZeusBackstory03|Zeus Backstory 03|Zeus|하데스와 포세이돈은 한때 친형제인 내 편에서 용감하게 싸웠다. 조카야, 너도 그건 알고 있겠지? 티탄을 상대로 승리해 이 땅에 질서를 확립했지. 그런데 어느 날 너희 아버지가 죽은 자의 땅으로 내려갔고, 그 이후로 우린 서로를 거의 보지 못했다.
