Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...Spędziłam wiele dni pielęgnując ten ogród... albo nocy? Dość ciężko określić tu czas. Ale przetrwał dłużej, niż bym się tego mogła spodziewać...
Ending01|Ending 01|Hades|... Persefono... ja...
Ending01|Ending 01|Persephone|Cerber! Tak bardzo za tobą tęskniłam! Obowiązkowy jak zawsze, czyż nie?
Ending01|Ending 01|Hades|... Przepraszam. Wiedz, że przepraszam.
Ending01|Ending 01|Persephone|Hadesie... wyglądasz na zmęczonego. Choć to nie tylko mnie należą się przeprosiny.
Ending01|Ending 01|Hades|Wiem. Wiem, ja.... Dlaczego wróciłaś? Jeśli Olimp... jeśli twoja matka odkryje, co się stało, to nawet Zeus, nawet *on * nie byłby w stanie powstrzymać tego, co mogłoby się tutaj wydarzyć!
Ending01|Ending 01|Persephone|*Och*, mam pomysł lub dwa na to, jak możemy się tym zająć. Ale ty i Zagreus musicie pomóc mi w kwestii rozwiązania tej sprawy. Albo, jeśli wolisz, może powrócę tam, skąd przybyłam?
Ending01|Ending 01|Hades|Rozwiązania? Co, zamierzasz rozdać im wszystkim *Ambrozje*? Nawet ty nie możesz naprawić zepsutej rodziny, Persefono.
Ending01|Ending 01|Persephone|Masz rację, Hadesie! Nie mogę. A na pewno nie sama. A zatem pomożesz mi, czy co?
Ending01|Ending 01|Hades|...Zrobię wszystko, o co mnie poprosisz.
Ending01|Ending 01|Persephone|A zatem, najpierw porozmawiaj ze swoim synem.
Ending01|Ending 01|Hades|...*Mm*. Zagreusie? Poznałeś już Persefonę, naszą Królową. Oczekuję, że będziesz okazywał jej szacunek, zawsze!
Ending01|Ending 01|Zagreus|Łał, Ojcze, nazwałeś mnie po imieniu! Cóż to za dziwne doznanie, które odczuwam? Być może to ten *szacunek*, o którym mówisz?
Ending01|Ending 01|Persephone|Och, przestańcie, oboje. Nie każ mi tego żałować, Hadesie. Porozmawiaj z nim szczerze. O sobie, nie o mnie. No dalej.
Ending01|Ending 01|Hades|Tak. Ja... Zagreusie. Wiem, że były czasy... kiedy pozwoliłem moim nastrojom odbijać się na tobie. Okazywałem bardzo mało cierpliwości. Podważałem twoje zdanie, często, gdy moje było błędne. Zatem, przepraszam cię, mój synu. Nie mam żadnych wymówek. I nie proszę o wybaczenie.
Ending01|Ending 01|Zagreus|A co z tym, kiedy kłamałeś na temat Matki, przepraszasz też za to? Twoje głupie nastroje i kierowanie ich na mnie... już dawno nauczyłem się tego po tobie spodziewać. I żywiłem do ciebie z tego powodu urazę. Ale zawsze myślałem... że jesteś uczciwy.
Ending01|Ending 01|Hades|Twoja matka nie przybyła tu dobrowolnie, kiedy się pierwszy raz poznaliśmy. Kiedy odeszła... wierzyła, że urodziłeś się martwy... jej decyzja była ostateczna. Wierzyłem, że będzie jej lepiej bez większości z nas, wliczając Olimp. Oszukiwanie was obojga... rozrywało mnie wewnętrznie. Ale musiało tak być.
Ending01|Ending 01|Zagreus|Cóż, nie musiałeś kierować na mnie tych swoich wewnętrznych zmagań przez całe moje życie. Chociaż, myślę, że rozumiem. Żałuję tylko, że nie mogłem zrozumieć wcześniej. A zatem, uch... co teraz? Przyzwyczaiłem się do plądrowania twojego królestwa, chyba naprawdę będę za tym tęsknić.
Ending01|Ending 01|Hades|Odnośnie tego... twoje *plądrowanie *ujawniło wiele wad w naszych zabezpieczeniach. Takich, które nigdy nie trafiają do raportów. Nasza reputacja opiera się na tym, że nie ma stąd ucieczki. Czy mógłbyś... nadal próbować się uwolnić? Nie dla mojego dobra. Ale dla tego królestwa. Dla Królowej.
Ending01|Ending 01|Persephone|Zagreusie... jeśli wciąż będziesz walczył tam w terenie... pomoże to zachować pozory, że wszystko jest jak zawsze.
Ending01|Ending 01|Zagreus|Pytanie, Ojcze. Powiedzmy, że się zgodzę. Kiedy znów dotrę na powierzchnię... czy to nadal ty będziesz tam na mnie czekał?
Ending01|Ending 01|Hades|Ach, chłopcze. Jeśli choć przez chwilę myślałeś, że z powodu tej całej sytuacji będzie ci lżej, to wkrótce przekonasz się, że wprost przeciwnie.
Ending01|Ending 01|Zagreus|A zatem, po prostu walczę, aby dostać się na powierzchnię i raz za razem zabijam swojego ojca, tak?
Ending01|Ending 01|Hades|Prawie masz rację!
Ending01|Ending 01|Persephone|Być może zajmiesz się również moją mała chatką, gdy będziesz już w okolicy? Ogrodowi wcale wiele nie potrzeba. Chciałabym utrzymać to miejsce w przyzwoitym stanie. W razie gdybym nie mogła tego znosić zbyt długo.
Ending01|Ending 01|Zagreus|*Hahaha*, cóż! Myślę, że zobaczę, co mogę zrobić.
Ending01|Ending 01|Persephone|Po prostu daj z siebie wszystko. I najwyraźniej ja również mam pracę do wykonania. Powiedziałabym, że sporo jej przed sobą mamy. A zatem, może zaczniemy?
Ending01|Ending 01|Zagreus|*Po tym całym czasie*, to było tylko kilka dni! Ale jedne z tych lepszych. Matka i Ojciec znów razem, zawarłem kilka nowych przyjaźni, zdobyłem ten ładny obraz! Łatwizna. Wszystko w porządku w Podziemiach!
InspectHouse01|Inspect House 01|Storyteller|*Dom Hadesa: Ta ciemna i wystawnie urządzona jama Króla Podziemi jest domem nie tylko dla niego, ale również dla jego nieposłusznego potomka.*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*To co niegdyś było niewielkim salonem w Domu Hadesa, jest teraz zamknięte - całkowicie pogrążone w kompletnym bałaganie po tym, jak wielogłowy Cerber rozniósł to miejsce na strzępy w rozpaczy po zaginionym Księciu.*
InspectShades01|Inspect Shades 01|Storyteller|*Zjawy umarłych nieustannie przetaczają się przez Dom, narzekając na swoje nieszczęścia i poszukując audiencji u każdego, kto gotów jest ich wysłuchać.*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*Salon w Domu Hadesa to ponure miejsce - pomimo jego zamierzonego celu, jakim było ożywienie posępnych mieszkańców Domu.*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*Tablica pamiątkowa zdobi jedną ze stoickich ścian na terenie salonu, celebrując i obwieszczając osiągnięcia tych, którzy najlepiej służą Lordowi Hadesowi.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Starożytne beczki z winem ukryte w zakamarkach domu Lorda Hadesa... niewielu skosztowało odurzającego rocznika, który zawierają, a jeszcze mniej może przebywać w ich pobliżu.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Beczki z winem w Domu Hadesa są teraz prawie całkowicie pozbawione zawartości, po odważnym przeciwstawianiu się połączonemu pragnieniu bogów Olimpu podczas pewnej uczty.*
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|*Majestatyczna, pozłacana struktura Olimpu wykonana z największą dbałością ze skały pochodzącej z samej góry, obecnie lśni wiecznym blaskiem nawet pośród ciemnego oświetlenia Domu Hadesa, jako prezent pożegnalny od rodziny Pana i Władcy.*
InspectMural01|Inspect Mural 01|Storyteller|*Rozległa i zawile wykonana mozaika przedstawia Króla Podziemi, który stoi na czele ogromu swojej posiadłości, oraz jego chtonicznych mieszkańców patrzących na niego z podziwem.*
InspectThrone01|Inspect Throne 01|Storyteller|*Rzadko przytłaczający tron posępnego Lorda Hadesa pozostaje pusty, dlatego mieszkańcy Domu zajmują się swoimi sprawami, nie mając nawet odwagi spytać o przyczynę tego stanu.*
InspectHouseGarden01|Inspect House Garden 01|Storyteller|*Ogród Królowej Persefony niedostępny dla Księcia przez całe jego życie, został mu wreszcie ujawniony w całej swej okazałości.*
Flashback02|Flashback 02|Storyteller|*Zapuszcza się w stronę majestatycznego tronu swego Lorda Ojca, na wpół oczekując przyłapania, a na wpół obawiając się tego, co tam znajdzie.*
