Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|Dobrze cię widzieć, młodzieńcze. Byłeś ostatnio okropnie zajęty, czyż nie? Daj mi znać czy jest coś, co mogę zrobić, choć z tego co jestem w stanie stwierdzić, całkiem dobrze sobie radzisz.
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Dasz sobie radę, młodzieńcze. Pomimo wszystkich naszych treningów sparingowych, nie ma lepszego nauczyciela niż rzeczywistość. A teraz, mam coś dla ciebie.
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|Co, moment, dajesz mi swój Kodeks? Nie mogę przyjąć czegoś takiego!
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Proszę, nalegam. Chcę, by rosło także twoje zamiłowanie do historii, a nie tylko do walki. Poza tym, może uda ci się dokończyć resztę wpisów.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Achillesie, czy to prawda, że Cerber rozerwał salon zaraz po moim odejściu? Musiał wpaść w niezłe tarapaty.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|Szkoda, że tego nie widziałeś, młodzieńcze. Pokój wyglądał jak winnica po przejściu tajfunu! Twój lord ojciec był wściekły. Choć nigdy nie złości się tak na psa. Biedna Duza - w końcu to ona sprząta całe to miejsce.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Och, nie...! Zastanawiałem się, co się stało z Duzą. Zawsze martwi się, że Ojciec ją zwolni nawet bez tego typu wydarzeń.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Muszę przyznać, chłopcze! Ostatnio to miejsce ma w sobie więcej życia niż zwykle. Niektóre ze starych elementów wyposażenia Domu zostały naprawione, pojawiły się nowe meble... jest całkiem miło, naprawdę. Tobie to zawdzięczamy, czyż nie?
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|A, to? To nic takiego. Ale cieszę się, że jest to pozytywna zmiana. Nasz wykonawca wykonuje całą pracę, ja tylko zapewniam napływ zleceń.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Oraz funduszy. Twój ojciec zarządza Zaświatami w pewien określony sposób. Można chyba powiedzieć, że to stare Domostwo jest wystawne, ale on sam już dawno przestał się starać, by lepiej się w nim żyło. Zatem wszyscy doceniają te zmiany.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Achilles|Tak trzymaj, młodzieńcze. Znałem w swoim życiu wspaniałych ludzi i zawsze jestem w stanie stwierdzić, gdy ktoś jest lepszy niż otaczające go okoliczności. Walcz tak, jakbym ja tam walczył.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Zagreus|Zgotuję im piekło, jak niegdyś ty zgotowałeś, Achillesie. Choć bez wątpienia wiele zjaw, którym będę stawiał czoła, trafiło do Tartaru z twojego powodu.
AchillesMiscMeeting02|Achilles Misc Meeting 02|Zagreus|Czy wiesz może komu powinienem dziękować za te bronie znajdujące się na zewnątrz mojej komnaty, Achillesie?
AchillesMiscMeeting02|Achilles Misc Meeting 02|Achilles|Niestety nie, młodzieńcze. Ale jeśli na tego kogoś wpadnę, to dam mu znać.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Achilles|Twoim wrogiem nie są nędzni umarli ani nawet twój ojciec, młodzieńcze. Są nim same Podziemia. Zostały zaprojektowane tak, aby uniemożliwić ucieczkę. Musiałeś już do tej pory zauważyć, jak wszystkie komnaty zdają się zmieniać swoje położenie.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Zagreus|Same Podziemia moim wrogiem... zrobię co w mojej mocy, aby przewidywać ich niespodzianki, szanowny panie.
AchillesMiscMeeting04|Achilles Misc Meeting 04|Achilles|Te trzymane pod kluczem bronie obok twojej komnaty - nie wydaje mi się, aby twój ojciec zauważył ich brak. Przypominają mu o czasach, gdy stanął ramię w ramię ze swoimi braćmi oraz siostrami. Nie chce mieć z nimi wspólnego nic ponad to. Myślę, że to pasuje, iż to właśnie ty odziedziczyłeś ich moc.
AchillesMiscMeeting04|Achilles Misc Meeting 04|Zagreus|Moc, która niegdyś ujarzmiła Tytanów... może jest to moc, która pozwoli mi się stąd wydostać. Dziękuję, że mi pomagasz, Achillesie.
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Zagreus|Zapoznałem się ostatnio z Malfonem, Bliźniaczymi Pięściami. Jeszcze nigdy nie czułem takiej żądzy walki jak ta, którą mnie wypełniają. Pomyśleć, że puste ręce mogą być tak niebezpieczną bronią.
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Achilles|Puste ręce są najniebezpieczniejszą możliwą bronią, młodzieńcze. To jedyna broń, która może dzierżyć wszystkie pozostałe. A bez niej wszystkie pozostałe są praktycznie bezużyteczne. Bliźniacze Pięści są tego świadectwem. Używaj ich z głową. I nie strać jej tam w terenie.
AchillesAboutGunWeapon01|Achilles About Gun Weapon 01|Zagreus|Na dziedzińcu czekała na mnie kolejna broń, Achillesie. {#DialogueItalicFormat}Eksagryf{#PreviousFormat}. Nigdy do końca nie wierzyłem, że jest prawdziwy.
AchillesAboutGunWeapon01|Achilles About Gun Weapon 01|Achilles|Tak między nami, młodzieńcze... chciałbym, żeby nie był. Gdyby był dostępny dla moich wrogów w dniach walki, na pewno przybyłbym tu jeszcze prędzej. Ale ufam, że masz przeszkolenie, by dobrze go wykorzystać. Niech ci służy, tak jak służyła ognistej bogini Hestii... nie potrzebowała go od jakiegoś czasu.
