Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Moje siostry i ja. Miałyśmy szansę porozmawiać i doszłyśmy do porozumienia, Zagreusie. Jak widzisz.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megajra, Tyz - gotowe?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmorrrderca{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Trzy na jednego. Nie wydaje się to być zbyt sportową zagrywką.
FurySistersUnion01|Fury Sisters Union 01|Megaera|Wszystkie już dawno straciłyśmy ochotę na jakikolwiek sport. Zabijemy cię - niezależnie od tego, ile nas to będzie kosztować. Erynie! {#DialogueItalicFormat}Teraz{#PreviousFormat}.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|Widzisz, Alekto? Jest na czas, tak jak mówiłam.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|Megajro, {#DialogueItalicFormat}wykrwaw {#PreviousFormat}go!
Fury2SisterUnion01|Fury 2 Sister Union 01|Alecto|Gotowa Megajro? Tyzyfone? Zaczynajmy.
Fury2SisterUnionSingleSis01|Fury 2 Sister Union Single Sis 01|Alecto|Patrz, Siostro! Bóg śmieci tu jest. Zabierajmy się do pracy.
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Alecto|{#DialogueItalicFormat}Uch{#PreviousFormat}, no po prostu {#DialogueItalicFormat}popatrzcie {#PreviousFormat}tylko na niego! To zadziorne spojrzenie, ta postawa, {#DialogueItalicFormat}wszystko{#PreviousFormat}! Proszę, powiedz mi, że nie tracisz głowy dla tego śmieciowego boga, Siostro.
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Megaera|Daj spokój, Alekto. Kiedy ostatnio pytałyśmy się wzajemnie o zdanie? Poza tym, dopóki go zabijamy, dlaczego miałoby cię to w ogóle obchodzić?
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Alecto|Wiesz co, słuszna uwaga, Siostro. Bardzo ładnie powiedziane. {#DialogueItalicFormat}Zabijmy go, teraz{#PreviousFormat}!
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Alecto|Spójrz na tego okropnego śmiecia, który ponownie przyszedł tu, by krwawić wszędzie po tej naszej ładnej, błyszczącej podłodze. Gotów, by walczyć z moją kochaną siostrą, czerwonokrwisty?
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Megaera|Nie jest taki okropny, gdy pozna się go lepiej, Siostro. Nie żeby to miało jakieś znaczenie wobec tego, co mamy zamiar zrobić.
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Alecto|Wy oboje napawacie mnie wstrętem, Meg, wiesz o tym? Weź się w garść i {#DialogueItalicFormat}zabij {#PreviousFormat}go tym razem, niech cię szlag!
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|Musiałeś najwyraźniej podpisać Pakt! Nie jest tak, czerwonokrwisty? Powiedz mi, natychmiast.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Zagreus|Cóż, w rzeczy samej, tak. Choć nie widzę jak to może być twoja sprawa, Alekto.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|Lubię pracować {#DialogueItalicFormat}sama{#PreviousFormat}! A wcale nie wygląda na to, żeby teraz tak było, czyż nie? Więc powiedziałabym, że to jest moja sprawa. Tak jak i zabijanie {#DialogueItalicFormat}ciebie{#PreviousFormat}!
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|{#DialogueItalicFormat}Uff{#PreviousFormat}, myślałam, że już nigdy nie zaznam odrobiny ciszy, wiesz, czerwonokrwisty? Ten cholerny Pakt, na który głupio przystałeś, zmusza mnie do ponownej współpracy z moimi siostrami. Dopadnę cię za to!
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Zagreus|Wyczuwam pewien schemat, według którego nie potrzeba ci tak naprawdę zbyt wiele, abyś chciała mnie {#DialogueItalicFormat}dopaść{#PreviousFormat}, czyż nie?
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|Och, jakie to zabawne! Jakże to mądre z twojej strony, jesteś {#DialogueItalicFormat}mądry{#PreviousFormat}! Wiesz co? Za to również cię dopadnę.
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|{#DialogueItalicFormat}Ach, ha ha, hohohohooo. {#PreviousFormat}Nareszcie. Czekałam na to! Naprawdę.
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|Musisz być jedną z uroczych sióstr Megajry - nie wydaje mi się, żebyśmy mieli przyjemność się poznać. Na co dokładnie czekałaś?
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|...Mam już tego serdecznie dosyć, no wiesz - wykonywania swojej codziennej pracy, bezustannie. Bez konieczności sprzątania bałaganu po Meg!
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|Coś czuję, że chyba nie zaczęliśmy zbyt pomyślnie.
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|Tak czy inaczej. Zawsze chciałam zabić boga. Ty musisz mi wystarczyć.
Fury2PostEnding01|Fury 2 Post Ending 01|Alecto|Słyszałam pogłoski o nowościach w Domu twojego tatusia, czerwonokrwisty. Więc jego wspaniała, uprowadzona Królowa wróciła do domu?!
Fury2PostEnding01|Fury 2 Post Ending 01|Zagreus|Czekaj, skąd ty to wszystko wiesz tak w ogóle? I czy naprawdę powinnaś mówić o Królowej w taki sposób?
Fury2PostEnding01|Fury 2 Post Ending 01|Alecto|Nie podlegam jej! Ona może przychodzić i odchodzić jak sobie chce jeżeli o mnie chodzi. A chcesz wiedzieć, kto nie może?! Taa, ty.
Fury2PostEnding02|Fury 2 Post Ending 02|Alecto|Muszę zapytać, dlaczego ciągle się tu pojawiasz, czerwonokrwisty? Myślałam, że za ten czas będziesz miał już dość batów.
Fury2PostEnding02|Fury 2 Post Ending 02|Zagreus|Cóż, no wiesz, tak bardzo spodobały mi się spotkania z tobą, Alekto, że zrobiłem z tego coś w rodzaju regularnych wizyt. Wyrób dobre nawyki i się ich trzymaj, jak to mawiam!
Fury2PostEnding02|Fury 2 Post Ending 02|Alecto|Nazywasz to dobrym nawykiem, co? Może dla mnie tak jest. Cóż, przychodź tu ile chcesz, a ja będę tu czekała, {#DialogueItalicFormat}za każdym razem{#PreviousFormat}! Albo przynajmniej jakoś tak raz na trzy spotkania.
Fury2PostEpilogue01|Fury 2 Post Epilogue 01|Alecto|Słyszałam, że miałeś niezłą balangę w Domu twojego tatusia, czerwonokrwisty. Tak mi przykro, że nie mogłam tam być. Następnym razem, dobrze?
Fury2PostEpilogue01|Fury 2 Post Epilogue 01|Zagreus|Następnym razem, zdecydowanie, Alekto. Brakowało nam tam ciebie i szkoda, że nie udało ci się dotrzeć!
Fury2PostEpilogue01|Fury 2 Post Epilogue 01|Alecto|{#DialogueItalicFormat}Hohoho{#PreviousFormat}, z pewnością. Ale wiesz, praca przede wszystkim! Więc przejdźmy do rzeczy.
Fury2EndOfDiscussion01|Fury 2 End Of Discussion 01|Alecto|Hej, czerwonokrwisty, dużo myślałam i doszłam do wniosku, że chcę, abyś już {#DialogueItalicFormat}nigdy {#PreviousFormat}więcej się do mnie nie odzywał. {#DialogueItalicFormat}Przenigdy{#PreviousFormat}. Załapałeś?
Fury2EndOfDiscussion01|Fury 2 End Of Discussion 01|Zagreus|...{#DialogueItalicFormat}Yyy{#PreviousFormat}, nie wiem jak na to odpowiedzieć bez lekceważenia twojej prośby, Alekto. Ale na przyszłość - dobrze, będę posłuszny.
Fury2EndOfDiscussion01|Fury 2 End Of Discussion 01|Alecto|Będziesz {#DialogueItalicFormat}martwy{#PreviousFormat}! Nie ma sensu tak stać i kłapać naszymi dziobami, kiedy to możemy od razu przejść do zabijania się nawzajem. Dawaj!
Fury2LowHealth01|Fury 2 Low Health 01|Alecto|{#DialogueItalicFormat}Ach{#PreviousFormat}, spójrz na siebie, czerwonokrwisty. Jesteś już praktycznie martwy! To odbiera całą frajdę.
Fury2LowHealth01|Fury 2 Low Health 01|Zagreus|Przykro mi, że cię rozczarowałem, Alekto. Wiem, że lubisz być odpowiedzialna za sto procent mojej rozlanej krwi.
Fury2LowHealth01|Fury 2 Low Health 01|Alecto|Och, nic nie szkodzi, nic się nie stało! Po prostu upewnij się, aby być w lepszym zdrowiu przed następnym razem, gdy to będę miała okazję cię zabić, co?
Fury2LowHealth02|Fury 2 Low Health 02|Alecto|Wiesz, że wyczułam twoją krew z dystansu trzech komnat? Mam nadzieję, że trochę jej dla mnie zostawiłeś.
Fury2LowHealth02|Fury 2 Low Health 02|Zagreus|Zachowałem trochę krwi, tak! Choć tak sobie myślałem, że póki co nie będę się nią dzielić, jeśli nie masz nic przeciwko.
Fury2LowHealth02|Fury 2 Low Health 02|Alecto|Czy wyglądam na kogoś, kto nie ma nic przeciwko, śmieciowy bogu? Wezmę sobie twoją krew, ile jej tam masz.
Fury2LowHealth03|Fury 2 Low Health 03|Alecto|O co chodzi, czerwonokrwisty? Wyglądasz bardziej blado niż zwykle. Sporo krwawiłeś, zanim tu dotarłeś?
Fury2LowHealth03|Fury 2 Low Health 03|Zagreus|Natrafiłem na pewne komplikacje, jeśli musisz wiedzieć. Ale nie martw się, jestem pewien, że mam spory zapas do krwawienia.
Fury2LowHealth03|Fury 2 Low Health 03|Alecto|Och, {#DialogueItalicFormat}uff{#PreviousFormat}, co za ulga! Tak bardzo się martwiłam, że tym razem to nie ja będę miała okazję cię zabić.
Fury2LowHealth04|Fury 2 Low Health 04|Alecto|Wyglądasz już na porządnie obitego, czerwonokrwisty. Dobiję cię więc.
Fury2LowHealth05|Fury 2 Low Health 05|Alecto|Następnym razem nie trać tyle krwi, zanim tu dotrzesz, śmieciu! Lubię ci ją odbierać osobiście.
Fury2MiscEncounter01|Fury 2 Misc Encounter 01|Alecto|Nie jesteś bogiem! Jesteś niczym innym, jak tylko zwykłym śmieciem. Urodziłeś się pośród tego wszystkiego. I nawet tego nie chcesz!
Fury2MiscEncounter01|Fury 2 Misc Encounter 01|Zagreus|Wygląda na to, że mnie rozgryzłaś. A myślałem, że wciąż się nawzajem poznajemy.
Fury2MiscEncounter01|Fury 2 Misc Encounter 01|Alecto|{#DialogueItalicFormat}Tsk{#PreviousFormat}. Cóż. Chcesz wiedzieć, czego chcę? Proszę, pokażę ci.
Fury2MiscEncounter02|Fury 2 Misc Encounter 02|Alecto|Wiesz, co w tobie lubię? To jak krwawisz. {#DialogueItalicFormat}Mmm{#PreviousFormat}.
Fury2MiscEncounter02|Fury 2 Misc Encounter 02|Zagreus|To... nie jest typ pochlebstwa, do którego przywykłem. Musisz wiedzieć, że wprawiasz mnie w drobne zakłopotanie.
Fury2MiscEncounter02|Fury 2 Misc Encounter 02|Alecto|Jeszcze nie spotkałam boga, który by krwawił tak jak ty. Na czerwono. Jak bezwartościowy śmiertelnik. No dalej! Wykrwawmy cię na śmierć.
Fury2MiscEncounter03|Fury 2 Misc Encounter 03|Alecto|Zabierajmy się do roboty, czerwonokrwisty - co ty na to? Uważam, że kazałeś tej dziewczynie zbyt długo czekać.
Fury2MiscEncounter03|Fury 2 Misc Encounter 03|Zagreus|Cóż, a ja na to, że nie podoba mi się, gdy nazywasz mnie czerwonokrwistym. Sprawiasz, że zaczyna mnie to krępować, wiesz.
Fury2MiscEncounter03|Fury 2 Misc Encounter 03|Alecto|{#DialogueItalicFormat}O hoho{#PreviousFormat}, jesteś zabawny. Ale pękniesz. Wszyscy pękają.
Fury2MiscEncounter04|Fury 2 Misc Encounter 04|Alecto|Muszę przyznać, że jesteś naprawdę wkurzający, wiesz, czerwonokrwisty? Czego potrzeba, żebyś zaczął krzyczeć, co?
Fury2MiscEncounter04|Fury 2 Misc Encounter 04|Zagreus|Co, chcesz powiedzieć, że Meg ci nigdy nie powiedziała? A myślałem, że jesteście ze sobą blisko.
Fury2MiscEncounter04|Fury 2 Misc Encounter 04|Alecto|{#DialogueItalicFormat}Ech{#PreviousFormat}, dowiemy się i tak. Zostało mi jeszcze wiele pomysłów, które chciałabym wprowadzić w życie.
Fury2MiscEncounter05|Fury 2 Misc Encounter 05|Alecto|Wiesz co, czerwonokrwisty? Z perspektywy czasu powinnam była wiedzieć, że to nie będzie szybka robota.
Fury2MiscEncounter05|Fury 2 Misc Encounter 05|Zagreus|Mawiają, że zarówno bogowie, jak i śmiertelnicy notorycznie mylą się przy szacowaniu czasu potrzebnego na wykonanie jakiejś czynności.
Fury2MiscEncounter05|Fury 2 Misc Encounter 05|Alecto|Zwykle, gdy wykonuję swoją pracę, moi podopieczni płaszczą się, a następnie krzyczą. W końcu się zamykają, ale nie ty. Przynajmniej na razie.
Fury2MiscEncounter06|Fury 2 Misc Encounter 06|Alecto|{#DialogueItalicFormat}Hm{#PreviousFormat}! Musisz naprawdę bardzo lubić ból, czerwonokrwisty. A może tylko mi się wydaje.
Fury2MiscEncounter06|Fury 2 Misc Encounter 06|Zagreus|Widzisz, Alekto? Okazuje się, że jednak mamy jedno wspólne zainteresowanie.
Fury2MiscEncounter06|Fury 2 Misc Encounter 06|Alecto|Czy ty właśnie--? {#DialogueItalicFormat}Nigdy {#PreviousFormat}nie próbuj się ze mną więcej porównywać, ty śmieciu. Chcesz więcej bólu, z przyjemnością pomogę.
Fury2MiscEncounter07|Fury 2 Misc Encounter 07|Alecto|Mam za co być wdzięczna, wiesz, czerwonokrwisty? Twój tatuś mógł cię po prostu zamknąć w najbardziej nędznej norze, a wtedy nigdy byśmy się nie poznali!
Fury2MiscEncounter07|Fury 2 Misc Encounter 07|Zagreus|Odrzuć tę myśl, Alekto. Co ty byś ze sobą zrobiła, gdyby nie te nasze narzucone przez Mojry potyczki?
Fury2MiscEncounter07|Fury 2 Misc Encounter 07|Alecto|Nie wiem! Znaczy się, zanim się poznaliśmy, skórowałam różnego rodzaje śmieci tam na dole! Ale ostatnio kazałam im czekać, ze względu na ciebie.
Fury2MiscEncounter08|Fury 2 Misc Encounter 08|Alecto|Dobra robota, czerwonokrwisty! Dotarłeś aż tutaj! Ale muszę teraz odesłać cię z powrotem do twojego tatusia. Nic osobistego!
Fury2MiscEncounter08|Fury 2 Misc Encounter 08|Zagreus|Chciałbym, żebyś mogła do mnie dołączyć, Alekto. Chcesz, abym następnym razem szepnął Ojcu dobre słówko na twój temat, abyś mogła przyjść i sama odwiedzić nas w Domu?
Fury2MiscEncounter08|Fury 2 Misc Encounter 08|Alecto|Och, wiesz co, wolałabym raczej dać sobie wydłubać oczy, ale dziękuję za propozycję! A teraz, czas wracać do domu.
Fury2MiscEncounter09|Fury 2 Misc Encounter 09|Alecto|Wiesz co, czerwonokrwisty, moje zlecenia zazwyczaj nie przychodzą {#DialogueItalicFormat}do mnie{#PreviousFormat}, a tym bardziej nie raz za razem! Można by pomyśleć, że jestem tu, by dostarczyć ci rozrywki, co?!
Fury2MiscEncounter09|Fury 2 Misc Encounter 09|Zagreus|Alekto, po prostu lubię widzieć, jak się złowieszczo uśmiechasz. I hej, walka z tobą od czasu do czasu bije na głowę nieustanną walkę z Meg.
Fury2MiscEncounter09|Fury 2 Misc Encounter 09|Alecto|{#DialogueItalicFormat}Cooo{#PreviousFormat}?! Uważasz, że walka {#DialogueItalicFormat}ze mną {#PreviousFormat}bije na głowę walkę z tym {#DialogueItalicFormat}słabeuszem{#PreviousFormat}? {#DialogueItalicFormat}Graaah{#PreviousFormat}!
Fury2MiscEncounter10|Fury 2 Misc Encounter 10|Alecto|Ile to jeszcze razy, czerwonokrwisty? {#DialogueItalicFormat}Ile{#PreviousFormat}?! Powiedz mi! Jak możesz znosić to ciągłe natykanie się na mnie, wciąż i wciąż?
Fury2MiscEncounter10|Fury 2 Misc Encounter 10|Zagreus|Cóż, czasami trudno przełamać pewne nawyki. A co do tego ile razy, to naprawdę nie mam pojęcia. Choć wydaje mi się, że jest jeden sposób, aby się przekonać.
Fury2MiscEncounter10|Fury 2 Misc Encounter 10|Alecto|Jedno ci przyznam... lubię, jak moja ofiara się odgryza. Dawaj, zobaczmy znowu trochę krwi.
Fury2AboutTisiphoneSpeech01|Fury 2 About Tisiphone Speech 01|Alecto|Tyzyfone zaczęła mówić ostatnio dziwne rzeczy, czerwonokrwisty. Czy może przypadkiem wiesz coś na ten temat?
Fury2AboutTisiphoneSpeech01|Fury 2 About Tisiphone Speech 01|Zagreus|Och, nie martw się. Chciałem jedynie pomóc w poszerzeniu jej ograniczonego słownictwa.
Fury2AboutTisiphoneSpeech01|Fury 2 About Tisiphone Speech 01|Alecto|Trzymaj się z daleka od jej głowy!! Naprawdę uważasz, że może się czegoś od ciebie nauczyć? Naucz się trzymać przy niej dziób na kłódkę!
Fury2AboutMegaeraRelationship01|Fury 2 About Megaera Relationship 01|Alecto|{#DialogueItalicFormat}Uch{#PreviousFormat}, wciąż nie mogę uwierzyć, że Megajra się z tobą zadaje, czerwonokrwisty. Ze wszystkich jej słabości zawsze myślałam, że przynajmniej swoją pracę traktuje poważnie. {#DialogueItalicFormat}Ech{#PreviousFormat}, uczymy się całe życie!
Fury2AboutMegaeraRelationship01|Fury 2 About Megaera Relationship 01|Zagreus|Nie jestem zainteresowany twoimi nieprzyjemnymi przytykami na jej temat, Alekto. Choć jeżeli nadal będziesz je czynić, to ostrzegam cię, mogę się wściec.
Fury2AboutMegaeraRelationship01|Fury 2 About Megaera Relationship 01|Alecto|{#DialogueItalicFormat}Ooo{#PreviousFormat}, możesz się {#DialogueItalicFormat}wściec{#PreviousFormat}? Chcesz bronić honoru Megajry, jako że jest zbyt słaba, by sama to robić? Myślisz, że jest taka nieskazitelna, {#DialogueItalicFormat}hahaha{#PreviousFormat}! Jesteście obrzydliwi! Oboje.
Fury2WinStreak01|Fury 2 Win Streak 01|Alecto|O, cześć, czerwonokrwisty! Wróciłeś po dokładkę. Podoba mi się w tobie ta uparta głupota - serio! Gdyby tylko udało mi się utrzymać cię przy życiu trochę dłużej niż ostatnio.
Fury2WinStreak01|Fury 2 Win Streak 01|Zagreus|Co, tym razem planujesz mnie zabić swoimi zniewagami?
Fury2WinStreak01|Fury 2 Win Streak 01|Alecto|Jeszcze nie zdecydowałam jak. Ta dziewczyna lubi odrobinę... spontaniczności.
Fury2WinStreak02|Fury 2 Win Streak 02|Alecto|{#DialogueItalicFormat}Że jak{#PreviousFormat}! Zwykle moje cele nie mają w zwyczaju próbować odszukać mnie po tym, jak z nimi skończę.
Fury2WinStreak02|Fury 2 Win Streak 02|Zagreus|Cóż, potrafię to sobie wyobrazić. Problem w tym, że bardzo przywykłem do tych naszych małych wymian zdań.
Fury2WinStreak02|Fury 2 Win Streak 02|Alecto|{#DialogueItalicFormat}Uch{#PreviousFormat}, cóż, nie chciałabym cię zawieść, czerwonokrwisty. Ale po prostu nie jesteś w moim typie. Może tym razem wreszcie wbiję ci to do łba.
Fury2LoseStreak01|Fury 2 Lose Streak 01|Alecto|Wiesz co, czerwonokrwisty? Jakkolwiek bym się nie starała, to nadal nie jestem w stanie wybaczyć ci tego, że mnie ostatnim razem pokonałeś. To chyba taka skaza charakteru, sama nie wiem...
Fury2LoseStreak01|Fury 2 Lose Streak 01|Zagreus|Wybaczenie może zabrać trochę czasu. Choć samokrytyka to zdrowy krok. Robimy postępy!
Fury2LoseStreak01|Fury 2 Lose Streak 01|Alecto|Myślisz, że robimy postępy? Tutaj? {#DialogueItalicFormat}A hah ha-hah ha-hah ha-hah{#PreviousFormat}, och ty śmieciu! Już ja ci pokażę postępy.
Fury2LoseStreak02|Fury 2 Lose Streak 02|Alecto|Czerwonokrwisty, zaczynam mieć dosyć widywania twojej zadowolonej twarzy wciąż i wciąż, i wciąż.
Fury2LoseStreak02|Fury 2 Lose Streak 02|Zagreus|Czy w takim razie przemyślałaś może kwestię... zostawienia mnie w spokoju i powrotu tam, skąd przyszłaś?
Fury2LoseStreak02|Fury 2 Lose Streak 02|Alecto|Widzisz? To jest {#DialogueItalicFormat}dokładnie {#PreviousFormat}to, co mam na myśli. Pomyśleć, że Megajra musiała cię znosić przez nie wiadomo jak długo.
Fury2LoseStreak03|Fury 2 Lose Streak 03|Alecto|Niech cię szlag, czerwonokrwisty. Sprawiasz, że źle wyglądam, wiesz? Sprawiasz, że źle się {#DialogueItalicFormat}czuję{#PreviousFormat}.
Fury2LoseStreak03|Fury 2 Lose Streak 03|Zagreus|Alekto, nie prosiłem cię o to, żebyś raz za razem próbowała mnie zabić. Czego po mnie oczekiwałaś?
Fury2LoseStreak03|Fury 2 Lose Streak 03|Alecto|{#DialogueItalicFormat}Ah-hahah-hahaha hahah{#PreviousFormat}, wiesz co się dzieje, gdy sprawiasz, że źle się {#DialogueItalicFormat}czuję{#PreviousFormat}, prawda...?
Fury2LoseStreak04|Fury 2 Lose Streak 04|Alecto|{#DialogueItalicFormat}Ho{#PreviousFormat}, oto i bóg śmieci, po raz kolejny przybywa, by splugawić to miejsce! Stajesz się naprawdę przewidywalny, wiesz.
