Id|Description|Speaker|Text
ZeusWithAphrodite01|Duo - Zeus and Aphrodite (1)|Zeus|Młodzianie, wiem, że chciałbyś poznać urodziwą Afrodytę twarzą w twarz, albo nie wiem, możesz zdecydować, jak już tu dotrzesz, może zdecydować, nie jest tak, moja Pani Afrodyto, hm?
ZeusWithAphrodite01|Duo - Zeus and Aphrodite (1)|Aphrodite|Och, doprawdy, Lordzie Zeusie! To brzmiało jak prostacka uwaga i to od *ciebie*! Jakże zdumiewające, że złocisty wzór dla nas wszystkich obdarza tego typu słowami *mnie*!
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Ares|Już nie mogę się doczekać dnia, gdy wreszcie dotrzesz na Olimp. Niewielu jest tu pośród nas z takimi zainteresowaniami jak te, które jak mniemam podzielamy.
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Aphrodite|Jest nas tu przynajmniej kilkoro z podobnymi zainteresowaniami, czyż nie, Lordzie Aresie? A jeśli chodzi o *ciebie*, najdroższy, nie musisz się spieszyć!
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Ares|Wojny toczyły się o miłość, krewny mój... wyobrażasz to sobie? Pani Afrodyta i ja możemy bez końca dyskutować o takich okolicznościach. Ufam, że od czasu do czasu przystajesz, by zadać sobie pytanie, dlaczego wybrałeś, aby walczyć. Nie żebyś potrzebował powodu, rzecz jasna.
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Aphrodite|O, Lordzie Aresie, doprawdy, nie ma takiej potrzeby, ażeby spowijać myśli i osądy naszego małego bożka tego typu komentarzami, czyż nie, *hm*? Dajmy mu czego chce, a my możemy kontynuować tę rozmowę na osobności.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Hej, *uch*, Zagreusie! Tak się nad czymś zastanawiałam i nie zrozum mnie źle, ani nic z tych rzeczy, okej? O nie. To ona.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Aphrodite|O proszę, Artemido, kompletnie zaniemówiłaś! Czy to ze względu na naszego małego bożka w Podziemiach, czy też trochę przeze mnie? *Hm-hm*, z pewnością uda ci się tego domyślić!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Słuchaj, co to ja, *uch*, już nieważne. Porozmawiamy innym razem.
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Artemis|*Umm*, Zagreusie, pomimo moich łowieckich zdolności, wydaje mi się, że w tym konkretnym przypadku nie udało mi się wymknąć Afrodycie, która nalegała, abyśmy z jakiegoś powodu przedstawiły się tobie w tym samym czasie...
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Aphrodite|Och, daj spokój, Artemido! Jestem pewna, że jesteś zdolna do ukrywania się przed zwykłą zwierzyną, ale ja widzę cię jak na dłoni. Może następnym razem będziesz ze sobą szczera?
AphroditeWithZeus01|Duo - Aphrodite and Zeus (1)|Aphrodite|Najdroższy, twój lord wuj pragnie przemówić do ciebie ze szczytu góry, choć zapewniłam go, że my dwoje mamy wszystko doskonale pod kontrolą!
AphroditeWithZeus01|Duo - Aphrodite and Zeus (1)|Zeus|Daj spokój, Zagreusie, jedyne co Pani Afrodyta ma pod kontrolą to jej długa lista śliniących się zalotników, mam rację? Afrodyto, może obdarzysz go swymi błogosławieństwami i sobie pójdziesz, a ja to dalej poprowadzę.
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Aphrodite|Co należy wiedzieć o tej rodzinie, najdroższy, to że każde z nas ma swoje małe dziwactwa. Jednakże zawsze trzymamy się razem, a nasza wzajemna miłość wciąż trwa!
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Poseidon|*Oho*! A co my tu mamy, mały Hadesie? Wygląda na to, że masz *towarzystwo*! Cóż, zostawię was samych. Moje usta są zamknięte szczelniej niż kadłub statku wojennego!
AphroditeWithPoseidon01|Duo - Aphrodite and Poseidon (1)|Aphrodite|Och, nie krępuj się i zostań, Posejdonie! Wyjaśniałam właśnie, jakim jesteś idiotą, choć sam najlepiej będziesz w stanie to wyartykułować. W każdym razie, najdroższy, o czym to ja mówiłam...?
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Aphrodite|Musisz nam wybaczyć, mały bożku, znaczy się całej swej rozległej rodzinie tu na Olimpie! Niektórzy z nas są niezwykle zadufani w sobie i muszą wszystko komplikować bardziej niż to potrzebne.
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Athena|Zastanawiam się, najdroższa Afrodyto, czy byłabyś skłonna powtórzyć mi takie rzeczy prosto w twarz?
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Aphrodite|Och, musisz doskonale zdawać sobie sprawę, że zrobiłabym z twoją twarzą o wiele więcej niż tylko to, droga Ateno! Szczerze mówiąc, sporo tam trzeba poprawić!
AphroditeWithAthena02|Duo - Aphrodite and Athena (2)|Aphrodite|Najdroższy, musisz wiedzieć, że Bogini Atena i ja nie zawsze mamy wspólny punkt widzenia, być może dlatego, że ona nieustannie zbyt dużo myśli o pewnych sprawach, podczas gdy mnie prowadzi moje serce!
AphroditeWithAthena02|Duo - Aphrodite and Athena (2)|Athena|Cieszę się zatem, że się rozumiemy. Byłoby to niezwykle zawstydzające, gdybyśmy zostały przyłapane na kłótni w obecności Zagreusa.
AphroditeWithAres01|Duo - Aphrodite and Ares (1)|Aphrodite|Myślę, że dla wielu z nas, najdroższy, może być zaskoczeniem, że miłość i wojna często idą ramię w ramię. Przeciwne moce, jednak właśnie to je łączy, czyż nie. Najbardziej zapalczywe namiętności bogów i śmiertelnych! Nie jest tak, Lordzie Aresie?
AphroditeWithAres01|Duo - Aphrodite and Ares (1)|Ares|Śmiertelni są tak bardzo pochłonięci kurczowym trzymaniem się ich żyć, że wielu spośród nich z chęcią za to zabije. Przypływ emocji, który czują... jedna namiętność nie różni się od drugiej, droga Pani Afrodyto.
AphroditeWithArtemis01|Duo - Aphrodite and Artemis (1)|Aphrodite|Och najdroższy! Przyprowadziłam ci olśniewającą Artemidę, która w swoim skupieniu na łowach nie rozwinęła odpowiedniej ogłady społecznej, aby sama do ciebie przyjść!
AphroditeWithArtemis01|Duo - Aphrodite and Artemis (1)|Artemis|Ogłady społecznej, powiada! Gdy sama zachowuje się w *taki *sposób! Jestem pewna, że wiesz, iż znajdę cię, gdy będzie trzeba, Zagreusie. Chociaż nie mam pomysłu jak uciec od Afrodyty.
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Aphrodite|Moje moce, najdroższy, idą ramię w ramię z tymi od Dionizosa - z jego mocą, by przekonać umysł do postrzegania piękna tam, gdzie go tak naprawdę nie ma!
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Dionysus|*Ach, haha*, nie ma potrzeby mi tak schlebiać, Pani Afrodyto! Piękno niemal całkowicie leży w umyśle, jestem pewien! I w mięśniach, i w rysach twarzy, i w czarującym uśmiechu, i, cóż, kim ja jestem, by ci to mówić, co nie?
AphroditeWithDemeter01|Duo - Aphrodite and Demeter (1)|Aphrodite|Sędziwa bogini pór roku, Demeter, wybiera, by wyglądać tak dostojnie, jak się tylko da, jesteś w stanie w to uwierzyć, najdroższy? Choć czemu ktoś chciałby naznaczyć swoją twarz tak widocznymi liniami, tego nie wiem.
AphroditeWithDemeter01|Duo - Aphrodite and Demeter (1)|Demeter|Och, droga Afrodyto, nie rozpoznałabyś istoty sprawy nawet gdyby przeszła obok ciebie. Oblicze, które pokazujesz, nie pozostawia wątpliwości w kwestii twoich celów i zainteresowań.
AphroditeAboutOlympianReunionQuest01|Aphrodite About Olympian Reunion Quest 01|Zagreus|Okej, myślę, że jestem gotowy. W imię Hadesa! Olimpie, to jest oficjalna wiadomość! I mam nadzieję, że ci się spodoba, Pani Afrodyto!
AphroditeAboutOlympianReunionQuest01|Aphrodite About Olympian Reunion Quest 01|Aphrodite|Och, *to *jest dopiero coś, najdroższy! Tak bardzo enigmatyczną wiadomość mi wysłałeś. Jak wielce urzekające; muszę dowiedzieć się, co oznacza. Nosi znaki innych na Olimpie, więc... może powinniśmy się podzielić jakąś wspólną wiedzą na ten temat, hm?
AphroditePostEpilogue01|Aphrodite Post Epilogue 01|Aphrodite|Och, najdroższy, nie masz pojęcia, jak miło spędziłam czas, gdy cię ostatnio odwiedziłam! Tyle nowych widoków, dźwięków i zapachów, och, to było cudowne! A ty jesteś obarczony dużą odpowiedzialnością, czyż nie? Pozwolisz, że nadal będę obdarzać cię moją łaską od czasu do czasu...?
AphroditeAboutZeus01|Aphrodite About Zeus 01|Aphrodite|Lord Zeus już się z tobą zapoznał? Och, czasem zapominam, że jest twoim wujem! Jego łaskę warto mieć, zapewniam cię.
