Id|Description|Speaker|Text
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Zeus|No, Zagreusie, jak tylko tu dotrzesz, to będziemy musieli znaleźć ci odpowiednią partnerkę, nieprawdaż? Jesteś wszak urodziwym młodzianem! Zazwyczaj jest tu z czego wybierać, poza nielicznymi wyjątkami, rzecz jasna... jak chociażby moją cwaną córką, Artemidą, bez jakichkolwiek skłonności do znalezienia partnera!
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Artemis|Tak, Zagreusie, pomimo tych wspaniałych kandydatów o wyrzeźbionych sylwetkach wszędzie wokół, którzy to pragną się ze mną ożenić, bądź mnie upokorzyć, z jakiegoś powodu, ja głównie wolę spędzać czas samotnie lub w towarzystwie mych zaprzyjaźnionych nimf, w lasach!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Artemis|*Tsk*, *umm*, Zagreusie... zamiast powitać cię, jak to zazwyczaj robię, pozwól, że przedstawię ci mego znamienitego, łaskawego i hojnego lorda ojca - twego najwspanialszego Wuja Zeusa!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Zeus|*Yyy*, dziękuję ci za ten wstęp, Córko! Teraz zmykaj, idź poharcuj z tymi swoimi nimfami czy coś, pozwól mi wesprzeć mego bratanka! Możesz obdarzyć go swym nikłym błogosławieństwem, jeśli musisz.
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Artemis|Znasz już mojego ojca i mojego wuja, racja, Zagreusie? Nie wiem, który z nich jest gorszy. *Uch*, to znaczy... potężniejszy! Potężniejszy, mimo że technicznie większość czasu spędza w morzach pod Olimpem, czyż nie jest tak, Wuju?
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Poseidon|Och, Artemido, nie musisz przechwalać się przed małym Hadesem w moim imieniu! Poza tym! To czy jesteś na morzu, nad nim, czy też pod nim nie ma większego znaczenia dla twojej miary jako boga! Wy dwoje jesteście jeszcze młodzi! Trzymajcie się tego, a wkrótce będziecie praktycznie tak samo wielcy jak ja!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Hej, *uch*, Zagreusie! Tak się nad czymś zastanawiałam i nie zrozum mnie źle, ani nic z tych rzeczy, okej? O nie. To ona.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Aphrodite|O proszę, Artemido, kompletnie zaniemówiłaś! Czy to ze względu na naszego małego bożka w Podziemiach, czy też trochę przeze mnie? *Hm-hm*, z pewnością uda ci się tego domyślić!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Słuchaj, co to ja, *uch*, już nieważne. Porozmawiamy innym razem.
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Artemis|*Umm*, Zagreusie, pomimo moich łowieckich zdolności, wydaje mi się, że w tym konkretnym przypadku nie udało mi się wymknąć Afrodycie, która nalegała, abyśmy z jakiegoś powodu przedstawiły się tobie w tym samym czasie...
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Aphrodite|Och, daj spokój, Artemido! Jestem pewna, że jesteś zdolna do ukrywania się przed zwykłą zwierzyną, ale ja widzę cię jak na dłoni. Może następnym razem będziesz ze sobą szczera?
ArtemisWithAres01|Duo - Artemis and Ares (1)|Artemis|Zagreusie, jakże bym chciała, żebyśmy mogli cię usłyszeć, abyś mógł przekonać zacnego Lorda Aresa, że moje moce mają zupełnie inne zastosowanie, niż jego!
ArtemisWithAres01|Duo - Artemis and Ares (1)|Ares|Być może niegdyś nasze umiejętności miały inne zastosowanie, droga Artemido, ale kimże jesteśmy, by wątpić w rezultat końcowy? Spójrz, cóż się objawi, gdy tylko obdarzymy naszego krewnego połączonymi siłami nas obojga.
ArtemisWithAres02|Duo - Artemis and Ares (2)|Artemis|Zagreusie, miałam nadzieję na odrobinę prywatności przed tym polowaniem, co zawsze preferuję, jednak, jak widzisz, Lord Ares zawsze wydaje się wtrącać, jak tylko pojawią się jakiekolwiek narzędzia łowieckie!
ArtemisWithAres02|Duo - Artemis and Ares (2)|Ares|Och, ma droga Artemido, polowanie jest wszak niczym innym jak wstępem do wojny, czyż nie jest tak? Gdyby śmiertelni nic nie wiedzieli o polowaniu, to nie byliby tak wprawni w zabijaniu się nawzajem.
ArtemisWithAres02|Duo - Artemis and Ares (2)|Artemis|Słuchaj, Lordzie Aresie - jeśli pożyczę ci lepsze umiejętności strzeleckie, to myślisz że mógłbyś pozawracać głowę komuś innemu?
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Artemis|Och, świetnie, to ty, Zagreusie! Proszę, pozwól mi zaoferować ci kilka moich wybornych Darów, tak jak i obecny tutaj Lord Dionizos, który z pewnością chciałby zagadywać na śmierć również i ciebie!
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Dionysus|*Ech*, mówi mi, że jestem strasznie głośny i żebym się odczepił, i tego typu okropne rzeczy, no ale co zrobisz, prawda?
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Artemis|O, cześć, Zagreusie, właśnie nie udawało mi się przekonać Pani Demeter, aby złagodziła śnieżną ciągłość, którą doświadczamy już jakiś czas. Niektórzy ze śmiertelnych są już nią całkiem zmęczeni, a z pewnością nie ułatwia to wcale polowania!
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Demeter|Śmiertelni są zaradni, Artemido. To chyba ich jedyna zaleta! Poradzą sobie z naszą długą zimą. Muszą - w końcu sami ją na siebie sprowadzili.
ArtemisAboutRamaAspect01|Artemis About Rama Aspect 01|Artemis|Um, Zagreusie, czy próbowałeś porozmawiać już z Koronachtem? Pamiętaj, powiedz łukowi: *Widzę cię napiętego w rękach siódmego awatara! *Coś dobrego powinno nastąpić, jeśli to zrobisz - aspekt osoby boskiego łucznika, tak myślę? Zamierzasz wkrótce tego spróbować czy nie?
ArtemisAboutRamaAspect02|Artemis About Rama Aspect 02|Artemis|Hej, patrzcie tylko! Wiadomość musiała zadziałać! Praktycznie stąd jestem w stanie zobaczyć ten błyszczący łuk! Nigdy sama nie dzierżyłam Koronachta, a przynajmniej jeszcze nie. Ale jeśli Mojry wysyłają mi wizje jego przeszłych i przyszłych posiadaczy... cóż, myślę, że przyjdzie kolej i na mnie!
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Zagreus|Znalazłem cię, Łowczyni. W imię Hadesa! Olimpie, to jest oficjalna wiadomość! Specjalnie dla ciebie, Pani Artemido!
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Artemis|To pewnego rodzaju specjalna wiadomość, dla mnie...! Och, wygląda na to, że jest po jednej dla każdego na Olimpie. Przez chwilę czułam się wyjątkowa. A teraz muszę spotkać się z pozostałymi. Świetnie!
ArtemisPostEpilogue01|Artemis Post Epilogue 01|Artemis|Muszę przyznać, że całkiem przyjemnie spędziłam ze wszystkimi czas podczas naszej ostatniej małej wizyty! Poznałam ciebie, Wuja Hadesa, a nawet wielkiego Achillesa! Nadal nie zaakceptowałam, że nas oszukałeś, ale *ech*! W końcu się z tym pogodzę. W każdym razie, nadal przyda ci się moja pomoc, prawda?
ArtemisAboutZeus01|Artemis About Zeus 01|Artemis|Ach, stary, poczciwy Ojciec Zeus - musiał cię pobłogosławić swymi piorunami, czyż nie? Zawsze się o wszystkich troszczy.
ArtemisAboutPoseidon01|Artemis About Poseidon 01|Artemis|Wuj Posejdon cię pobłogosławił, jak widzę. Pomyślałby kto, że ten wielki, spasiony dureń jest bratem twego ojca. Powiedziano mi, bym zwracała się do niego z szacunkiem, ale nie jest to łatwe.
ArtemisAboutAthena01|Artemis About Athena 01|Artemis|Zdaje się, że spotkałeś wcześniej Atenę? Nigdy nie zamieniłabym mego łuku dla tego całego przepychu i zbroi, ale to chyba kwestia gustu.
ArtemisAboutAres01|Artemis About Ares 01|Artemis|Jesteście blisko z Aresem, czyż nie? A tu stwierdzili, że to niemożliwe. Na twoim miejscu pilnowałabym się przy nim.
ArtemisAboutAphrodite01|Artemis About Aphrodite 01|Artemis|A więc Afrodyta odnalazła cię jako pierwsza, jak widzę? To do niej bardzo podobne. Ma smykałkę do problemów. Więc lepiej się tu skoncentrujmy!
